month,link_id,lane_direction,from_node,to_node,mode,source,confidence,faf_state,faf_zone,border_state_1,border_state_2,faf_country,faf_stfips,faf_county_name,capacity,unit_cost,transit_days,reliability
2022-01,1000460,AB,FAF_LINK_1000460_A,FAF_LINK_1000460_B,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,EMMET,0.0786409,0.20916723994766084,1,0.180860616683028
2022-01,1000460,AB,FAF_LINK_1000460_A,FAF_LINK_1000460_B,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,EMMET,0.000180939,0.16015894859593566,1,0.009225359457176174
2022-01,1000460,BA,FAF_LINK_1000460_B,FAF_LINK_1000460_A,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,EMMET,0.790989,0.22786284006477966,1,0.180860616683028
2022-01,1000460,BA,FAF_LINK_1000460_B,FAF_LINK_1000460_A,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,EMMET,0.0390455,0.1596957395858678,1,0.009225359457176174
2022-01,1000464,AB,FAF_LINK_1000464_A,FAF_LINK_1000464_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,MARTIN,0.0786409,0.20916723994766084,1,0.180860616683028
2022-01,1000464,AB,FAF_LINK_1000464_A,FAF_LINK_1000464_B,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,MARTIN,0.000180939,0.16015894859593566,1,0.009225359457176174
2022-01,1000464,BA,FAF_LINK_1000464_B,FAF_LINK_1000464_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,MARTIN,0.790989,0.22786284006477966,1,0.180860616683028
2022-01,1000464,BA,FAF_LINK_1000464_B,FAF_LINK_1000464_A,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,MARTIN,0.0390455,0.1596957395858678,1,0.009225359457176174
2022-01,1000473,AB,FAF_LINK_1000473_A,FAF_LINK_1000473_B,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,EMMET,0.160151,0.20757285311986814,1,0.2928523623703063
2022-01,1000473,AB,FAF_LINK_1000473_A,FAF_LINK_1000473_B,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,EMMET,0.00108827,0.1596111259154438,1,0.08063537955355526
2022-01,1000473,BA,FAF_LINK_1000473_B,FAF_LINK_1000473_A,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,EMMET,0.933581,0.201911778410229,1,0.2928523623703063
2022-01,1000473,BA,FAF_LINK_1000473_B,FAF_LINK_1000473_A,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,EMMET,0.0259041,0.16186124976355093,1,0.08063537955355526
2022-01,1000475,AB,FAF_LINK_1000475_A,FAF_LINK_1000475_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,MARTIN,0.160151,0.20757285311986814,1,0.2928523623703063
2022-01,1000475,AB,FAF_LINK_1000475_A,FAF_LINK_1000475_B,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,MARTIN,0.00108827,0.1596111259154438,1,0.08063537955355526
2022-01,1000475,BA,FAF_LINK_1000475_B,FAF_LINK_1000475_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,MARTIN,0.933581,0.201911778410229,1,0.2928523623703063
2022-01,1000475,BA,FAF_LINK_1000475_B,FAF_LINK_1000475_A,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,MARTIN,0.0259041,0.16186124976355093,1,0.08063537955355526
2022-01,1000976,AB,FAF_LINK_1000976_A,FAF_LINK_1000976_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,LINCOLN,2.4398,0.19672801049266334,1,0.9208477778008428
2022-01,1000976,AB,FAF_LINK_1000976_A,FAF_LINK_1000976_B,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,LINCOLN,0.144133,0.1715693144526236,1,0.09625739364002317
2022-01,1000976,BA,FAF_LINK_1000976_B,FAF_LINK_1000976_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,LINCOLN,2.85923,0.1626661723610902,1,0.9208477778008428
2022-01,1000976,BA,FAF_LINK_1000976_B,FAF_LINK_1000976_A,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,LINCOLN,0.00728768,0.15782114472644243,1,0.09625739364002317
2022-01,1000981,AB,FAF_LINK_1000981_A,FAF_LINK_1000981_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,LINCOLN,0.0636127,0.14582371130293165,1,0.07658170904074246
2022-01,1000981,BA,FAF_LINK_1000981_B,FAF_LINK_1000981_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,LINCOLN,1.59769,0.22591992188722468,1,0.07658170904074246
2022-01,1000981,BA,FAF_LINK_1000981_B,FAF_LINK_1000981_A,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,LINCOLN,0.00888868,0.17673377824378872,1,0.0
2022-01,1000997,AB,FAF_LINK_1000997_A,FAF_LINK_1000997_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,YELLOW MEDICINE,0.16885,0.25720698845128814,1,0.3765640653874036
2022-01,1000997,AB,FAF_LINK_1000997_A,FAF_LINK_1000997_B,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,YELLOW MEDICINE,0.000787197,0.16367059325683406,1,0.02399306286384284
2022-01,1000997,BA,FAF_LINK_1000997_B,FAF_LINK_1000997_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,YELLOW MEDICINE,0.0391656,0.13687291909226465,1,0.3765640653874036
2022-01,1000997,BA,FAF_LINK_1000997_B,FAF_LINK_1000997_A,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,YELLOW MEDICINE,9.5583e-06,0.152342989862214,1,0.02399306286384284
2022-01,1000998,AB,FAF_LINK_1000998_A,FAF_LINK_1000998_B,truck,faf5_domestic_2022_observed,high,SD,460,MN,SD,USA,46,DEUEL,0.16885,0.25720698845128814,1,0.3765640653874036
2022-01,1000998,AB,FAF_LINK_1000998_A,FAF_LINK_1000998_B,truck,faf5_import_2022_observed,high,SD,460,MN,SD,USA,46,DEUEL,0.000787197,0.16367059325683406,1,0.02399306286384284
2022-01,1000998,BA,FAF_LINK_1000998_B,FAF_LINK_1000998_A,truck,faf5_domestic_2022_observed,high,SD,460,MN,SD,USA,46,DEUEL,0.0391656,0.13687291909226465,1,0.3765640653874036
2022-01,1000998,BA,FAF_LINK_1000998_B,FAF_LINK_1000998_A,truck,faf5_import_2022_observed,high,SD,460,MN,SD,USA,46,DEUEL,9.5583e-06,0.152342989862214,1,0.02399306286384284
2022-01,1000999,AB,FAF_LINK_1000999_A,FAF_LINK_1000999_B,truck,faf5_domestic_2022_observed,high,SD,460,MN,SD,USA,46,DEUEL,6.71253,0.18828668177274438,1,0.7248548193148725
2022-01,1000999,AB,FAF_LINK_1000999_A,FAF_LINK_1000999_B,truck,faf5_import_2022_observed,high,SD,460,MN,SD,USA,46,DEUEL,1.07212,0.17311215162481813,1,0.019624214033972853
2022-01,1000999,BA,FAF_LINK_1000999_B,FAF_LINK_1000999_A,truck,faf5_domestic_2022_observed,high,SD,460,MN,SD,USA,46,DEUEL,3.81573,0.16803914323078414,1,0.7248548193148725
2022-01,1000999,BA,FAF_LINK_1000999_B,FAF_LINK_1000999_A,truck,faf5_import_2022_observed,high,SD,460,MN,SD,USA,46,DEUEL,0.010624,0.15885259789156628,1,0.019624214033972853
2022-01,1001000,AB,FAF_LINK_1001000_A,FAF_LINK_1001000_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,YELLOW MEDICINE,6.71253,0.18828668177274438,1,0.7248548193148725
2022-01,1001000,AB,FAF_LINK_1001000_A,FAF_LINK_1001000_B,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,YELLOW MEDICINE,1.07212,0.17311215162481813,1,0.019624214033972853
2022-01,1001000,BA,FAF_LINK_1001000_B,FAF_LINK_1001000_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,YELLOW MEDICINE,3.81573,0.16803914323078414,1,0.7248548193148725
2022-01,1001000,BA,FAF_LINK_1001000_B,FAF_LINK_1001000_A,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,YELLOW MEDICINE,0.010624,0.15885259789156628,1,0.019624214033972853
2022-01,1001005,BA,FAF_LINK_1001005_B,FAF_LINK_1001005_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,LAC QUI PARLE,0.964412,0.1696028253485025,1,0.0
2022-01,1001005,BA,FAF_LINK_1001005_B,FAF_LINK_1001005_A,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,LAC QUI PARLE,0.00037514,0.23613770858879352,1,0.0
2022-01,1001006,AB,FAF_LINK_1001006_A,FAF_LINK_1001006_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,LAC QUI PARLE,1.96262,0.20404816011250268,1,0.04461482736947442
