event_key,discovery_provider,discovery_query,title,source,published_at,url
baltimore_bridge_collapse_2024,google_news_rss,Baltimore bridge collapse port shipping channel after:2024-03-20 before:2024-05-01,Second channel opened allowing some vessels to bypass wreckage at the Baltimore bridge collapse site,AP News,2024-04-02T07:00:00+00:00,https://news.google.com/rss/articles/CBMinAFBVV95cUxNUzFNN0psQ1BCTFlYR1k1VHEtX1pIUEpuR3A0a2t4dUFia3ZqS3NnR250YURpaHBLQ2xhc2JKRl85OXA4Zi16RndHWER3V04xaTdIaWFmOUEzcjYzdThfZU94Ml9NeEtBNlYtdUNxeVUzY1NTQVctcnQzZzZxSTBRcUpQek56Mmk0WE1nRWlJUDd6eTI2LTY4amhxSmQ?oc=5
baltimore_bridge_collapse_2024,google_news_rss,Baltimore bridge collapse port shipping channel after:2024-03-20 before:2024-05-01,Baltimore bridge collapse and port closure send companies scrambling to reroute cargo,AP News,2024-03-26T07:00:00+00:00,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQM3dmWnZnSXVEeENZOWxpa1NoS3lSMVZQekpzV3JTV2lnbnNqZlBQWS1YZGhpV2hrb3diTTRMX2RwRm1NeVZXZFFnMVdSc2VoSndtTmd1SFc2SFdISHhCM2dfMGhTSGJVd3BhMmwwR0pfdnluMEVkbjlqbmF6a0xVTHFWbTB5elc4em1mNjVSOC1iUmpKbUEyNEhXZVRmUVVKdlpFcWx4aDg1dw?oc=5
baltimore_bridge_collapse_2024,google_news_rss,Baltimore bridge collapse port shipping channel after:2024-03-20 before:2024-05-01,Baltimore bridge collapse reveals a critical gap in federal government's port protection powers,CNBC,2024-04-02T07:00:00+00:00,https://news.google.com/rss/articles/CBMirwFBVV95cUxPVUdwaGVldUVYaDZERjRoaHdRUkpsYWhaUDBPalFtajdvanNLNWVobFlyRTcwdk1tSkRvQ0lHaWxJWXl5ZExYQy1jVTVCdjREY0s4cjJEUlI2bFpkVnBOWFRMaG9TZ1JwX2hZMVpOUUo1cGNRSi0xc1pXRzUyc1UyTmVsRUJqV2pScFVobVlxM3hySU1nYk5LMUJUd1djR0VpbEVwTm5WcksyWnp2S09Z0gG0AUFVX3lxTFBNM1ZwRXdjaW0xSUZrRXQtSXlTRWNYb01wT21nZlg5WGxyMnBraWdsdm9CQmEwaGp1N2xjOUZDYTN1VXdMdkRnaElxTDdhOVFFeHU0ZndjYUh3alQzZ1oxSjlRQlZISllQX1BTYmpURm1qMVMxVC1pcGtpNklpQ0syNEZteHg0Q2VzNGNKU3l1UE9fQzBxeUQ1NENobEZXOG9CbmVlSjdWOTRrMXozUDB4N3ZJWg?oc=5
baltimore_bridge_collapse_2024,google_news_rss,Baltimore bridge collapse port shipping channel after:2024-03-20 before:2024-05-01,"Key Bridge collapse: Port channel reopening on target, recovery efforts continue, Gov. Moore says",Baltimore Sun,2024-04-30T07:00:00+00:00,https://news.google.com/rss/articles/CBMizwFBVV95cUxPTUFLd1E1SVp1Qk5xN3hRcVE3b2FFSTJXSXFpcU5DRUZmUVRFbFJmZUVucXFPWk11ZDBaZnh0MEhhN01KeFhPNXFXS2VxVDNfVWxuQXp3Z1BFOWoyWnh2cVlqOF9qTFQwUmc3b1Z0cHk1V1oxQ1pQbUFTREZsaUFJQ0lOOUhNY1pqU19zbEFpcWZSVzk1U2MySEJKSC13VllOTHpNOTFHNGVDX2dCLVlOeUhOVlB4YUtiMkxzcThKc01pQlJ2LWJvNDFpSUthWk0?oc=5
baltimore_bridge_collapse_2024,google_news_rss,Baltimore bridge collapse port shipping channel after:2024-03-20 before:2024-05-01,Key Bridge collapse: First large ships leave Port of Baltimore using deeper temporary channel,Baltimore Sun,2024-04-25T07:00:00+00:00,https://news.google.com/rss/articles/CBMigAFBVV95cUxPRjFBLVBubmRIYnFRU0ZjNmJWTnJ6eV9Pd3NMOGVrdWJNdmJJQXMxQXRsMEYwRmxJUEJ1c294b3czNnpfZk5FS0NoSTdpUnhGMWs1TGtNckNGSVZjT2k2aVZROWVIZlkwU2U5cVQyTTVzMGhkZlFaMGRmMzFJRDE5Xw?oc=5
baltimore_bridge_collapse_2024,gdelt_doc_api,"near15:""Baltimore bridge collapse"" ","Ground News - Baltimore port to open deeper channel , enabling some cargo ships to pass after bridge collapse",ground.news,20240424T074500Z,https://ground.news/article/baltimore-port-to-open-deeper-channel-enabling-some-ships-to-pass-after-bridge-collapse_001420
baltimore_bridge_collapse_2024,google_news_rss,Baltimore bridge collapse port shipping channel after:2024-03-20 before:2024-05-01,How the Coast Guard is carefully letting ships back into Baltimore port for bridge cleanup,CNBC,2024-04-01T07:00:00+00:00,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPQ2tDcHhjeVdiRFRDZ2NkOWZ2VUZCeGVaQzdyY0RqdlA0M3FxWDZ3NE5vLW4tYlEyRlRWVWxjM0dna1RQVXZ6Z0h0ZzlrVVJzclNwREdRTkx4SDhvN3Y5MnZhUnp1Z0ZacFE1aWR4WUwzVkRtU3lZVEg0WC1sUy1WOTRuNGNMVkNfeEg3cllYaU16bE91RTROU2U2X1RBQmdQRm85MGk0Q2ozd9IBrwFBVV95cUxNam1CZzk3TUJ3TFpBbGJzRzYwWWY0MXB3M1VpODM4UGRPcWpqSDBPZjB2N0RYcDBDNHhJN1VubDlEU0dxS19zbGZxc040Z3FaLUtFbmQxXzhLd19IMEtsNnN6UE9ocUoyMjZPXzhILXVBbmJnRFlaWnhCeUJkYU5kLTBtUWpmVlFjbDNvR0w5VmptT1lZSFNMZ0RheXpsZmRvV3pWWTNxVjNBeW43UEY0?oc=5
baltimore_bridge_collapse_2024,google_news_rss,Baltimore bridge collapse port shipping channel after:2024-03-20 before:2024-05-01,Baltimore bridge collapse: Ships carrying cars and heavy equipment need to find a new harbor,AP News,2024-03-27T07:00:00+00:00,https://news.google.com/rss/articles/CBMinAFBVV95cUxQakJXOWowUUVuVTN0dUFLYWRDYjM2QnhmdmwyRFdDZFR4N0pKUWVRZ3ZhLXptUXJaNUd5bjZEdWtSNWc5ZUthMU8wNDJDSTI3bnFVXzFUSTFxV0FQUDR0ZTJESXVFQTNLTzFtRkFzX21qYWxnS2Vlb3lRbFVQTnVQREp1bmtPWExlYWtOX1ZVNnRqcHlPVk9CUndVRkM?oc=5
baltimore_bridge_collapse_2024,google_news_rss,Baltimore bridge collapse port shipping channel after:2024-03-20 before:2024-05-01,Trapped vessels start moving out of Baltimore after bridge collapse,Reuters,2024-04-01T07:00:00+00:00,https://news.google.com/rss/articles/CBMirAFBVV95cUxQaE1CRml5WTJKbEpEQlY0cHpuMnpYMzBIeG5DMXJSbW9vdktROGxLTFludThsSlIyTzVrcDktUHp5VC1pSkgxdzdoU0FIdkl0bENHOEFmWVoyRVBOM2I1M3ZWdGlTdHRYUC1uSThHNWd0RmJ1bndpYUc5RWNVaEhrUGE4b1FueXFHNnVETzdGRVhtYnBQNU9Cc0w1VUZFRTk2RWI5bmdYcTZuVkh0?oc=5
baltimore_bridge_collapse_2024,google_news_rss,Baltimore bridge collapse port shipping channel after:2024-03-20 before:2024-05-01,Baltimore bridge collapse: What will happen to the 21 sailors stranded on the Dali?,BBC,2024-04-01T07:00:00+00:00,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5HX1NSYkxuTVVjc3ZxOGZZdlFsWFZGaWZYSENhdFo0TkIxTVl4M1ZpR3FXajVKRVhiZEF5MWc2c29mWFRoZnFJRzlGVmp0RlJhUVJNVG1xRFBFcmhvanc?oc=5
