event_key,discovery_provider,discovery_query,url,title,source,published_at
covid_q1_2020,verified_seed,existing_replay_evidence,https://www.bbc.com/news/world-asia-china-51217455,China coronavirus: Lockdown measures rise across Hubei province,BBC News,2020-01-23
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMivgFBVV95cUxNejVQanJ3c2FoaTh0dDVYdlpzMk9ZekNRUW1obFFLQVZFaEYzeTBPYUpJS2xwRzJTaXI0ZEJxYnVVUmFTTnpuMjVOY2lNeVFmV00wWm1iSUNzOEJmdEIwREVkMGpKdHdzbTNCejg1ampFblhmUFhnbXctME1kbXJmX3FpSWlhYlF4Z1doM1ZNREhNaDZ5UGl6SVJVUDJ3Y1hMUHd3SlNOYWVGWXZkRGluQ2hZSjYtR3ZuMlpycEln?oc=5,A Couple in China on Living (and Cooking) Under Coronavirus Lockdown,The New Yorker,2020-02-14T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMixwFBVV95cUxPTjBRa0ZHZXRpYTJyNDl1b1BBdC1GM0dSRnZOYUQ2eGJwekctRkpWSEg5dkpPeWhMS2EyZlZ0bEJaQnc0TlZOa1dTSVhGcmRwOHZOZERqN3d0TFlXZV9GaEFLZjFwUVdhMU82aktlUjM5bzdBZVlhaEkwSzc1MllBTlF1LWQ5QUl4OFBicVNMd1BUdDI1d3NrRXlodmt1QVJoQk1UVUdxNXllTjRGRHNmNnRQSUdUdWN3ZUZHVUxfVGlvZ0luX2NJ?oc=5,Coronavirus: Japan PM Shinzo Abe calls on firms to cut supply chain reliance on China,The Straits Times,2020-04-16T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOLV96S21kaEgtY045WEI3ZWN5OTBUcWJ2NnpTRWYzMi1NMTZJTU1wQnFvNDhpOEp4QlM5aWNuaHU4Z1RoMkdIS2w3dmJDbWZLRW5DV2tTR2ZOTVptSlExMTIybjFBQkctWGZjZDB5TUx5aV9iMG1Tb1FxVjIwODdnWllMd2RFOXFxRVEyRnJiSVhnbWtBblRKb3VXX3VBTGNLSFV6UGFsR09WQV8tX2F0MXJlLUQxNWdubEtBLUk4R2ozdw?oc=5,"As Coronavirus Lockdowns Hit Supply Chains, Luxury Fashion Is Not Immune",Forbes,2020-03-10T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPdHdwU1NkZUhGVVZrNDVlSjFqVGIzWVdHdDlWdERfQ18zaFlSalZ1cFZkMDFMemZaMzF4RWRwRjhmSnF5dGVHalRPZnZLWmVXSjFoUVNnVGVielZrTF9PaXlVNElFM1lnMU9QamRTU3hzTjVzZjE0ZzFUeFpCTXdWZHl2Tm9xRUVNS2dN0gGLAUFVX3lxTE90d3BTU2RlSEZVVms0NWVKMWpUYjNZV0d0OVZ0RF9DXzNoWVJqVnVwVmQwMUx6ZlozMXhFZHBGOGZKcXl0ZUdqVE9mdktaZVdKMWhRU2dUZWJ6VmtMX09peVU0SUUzWWcxT1BqZFNTeHNONXNmMTRnMVR4WkJNd1ZkeXZOb3FFRU1LZ00?oc=5,"Coronavirus maps show how many people live near Wuhan, China",The Washington Post,2020-01-25T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPNzlxTlZ4eF9WM05JU0hwTmhibk85ZUItcmdBRWJRSzRyRUY4WGJwTlUxV3ZhN3gxcWRzcGhWam5yUlJPS1B4S3lzVE9OR2VfLWpEcXFIQWxSNkkxSmYyUHpKMC1kRGxSVFdIV29wbEtsRGNnZFkwd19NdkRQYnJLNnFHaGFjNXctZkY1b0tXdFNuNjR5ZlVON1hXWS1TcmR4czRpSm11YlFtMF9zTllQSWxUQlVSNWdvTWJSMHo3Z25ybU11SUFidFA3V0szZEda0gHWAUFVX3lxTFBuNFBwbGtUbEtmazEzenRFR2hGcEJTanU2QktlRnBBM0NKVHZpbXBhR0NzRGpiUDY1S1hkSnozMHJGQm1vb3otOHJ2ZUpPNU1NaG5VSnQ3dm5hRV9zT1FVd1gwRjBCMWJMa3p2OUxvMmFLekR1UnE4OEg3NlJERlFaUER3TnNsbVNsVk9jTlpPdDVGdmd4Ml9ZQmRaa09ucFZZVms4QkVyU1d0SmV1OU9hSXZyc29CQzdScDg4YldpYjFZUjZzTzdheVNSTHUzS291VzlXNWc?oc=5,Electronics sector battles supply and price issues as production halts in China,Forbes India,2020-03-06T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMixwFBVV95cUxPbUtmS3lKVmxNS3FTclNUc29pRGZJc1U2dTZXYjk5Zkt4dFdVSjhmaFBybi1vYnNHRlEzYVZEekFybm5La25qWFRSM0J2WEw5WFV0WHBKZFBBclhyYlliUUEzOUZIeGszNDdaMGlKTW1WbGk2QmpxQWNFOHhsYTQyMmQ2S20zUVJydllaX05kdUFaaHlrWExkYjR6T253YUpaSFRWRnFhbEVyWkxDTTBWV2JqeGsxTXF2dlBDYkhPV2dwNFB0SXZR?oc=5,Wake-up call for ASEAN countries: Curb over-reliance on China and seize opportunities of global supply chain restructuring,ThinkChina,2020-03-25T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMirwFBVV95cUxONTFQSEkteFlSWG00WnFPRUdpUE1DRUpjZFV2MXJfRzNKRjdrZEpzQklFLS1xcmZvUDZSdkNLRUxrYzBMV1VmbkNQbkNGVVkwbGNvR1c2ekU1WXAtSExWTlpzdXFTNnlmOVNvaTd6MlI2QVhhcWRRcHNmLXZzN0FWR1RUX214TWxjcFluYzdUc2dhc2hIM0c3YUdCQkJNY3IxSWlvWnlHZ0RhVWtMbkpJ?oc=5,"China lifts 76-day travel ban on Wuhan, centre of the coronavirus pandemic",France 24,2020-04-07T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiVEFVX3lxTE9RSGRnVnpaZUlRQl9NSzcxVjdvSkVkNml1OUxUUWh3WURUcFd3TnlfandWeXViSFZKUGswZE43OVhNRU0tNVVXRTlYQ2FaN3dqaVFEUg?oc=5,Coronavirus: 'We may have no clothes left to sell',BBC,2020-02-03T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiV0FVX3lxTE1CcHVSWkg1Y1k4RFdfeUxmM1d4X3kxaUlxZzFLSHVZcHRHQzlLdmU4WTNCVld4cU02ZG91Z3YzNGxZVTNDTG5Lb19YWWcxWkFCQWlwXzhpMA?oc=5,Apple boosted by streaming services despite lockdown,BBC,2020-04-30T07:00:00+00:00
