event_key,source,source_tier,eligible_for_model,title,parsed_title,published_at,parsed_publish_date,resolved_url,body_char_count,full_text_path,full_text_sha256,duplicate_body
baltimore_bridge_collapse_2024,ground.news,other,False,"Ground News - Baltimore port to open deeper channel , enabling some cargo ships to pass after bridge collapse","Baltimore port to open deeper channel, enabling some cargo ships to pass after bridge collapse",20240424T074500Z,2024-04-24T03:13:00+00:00,https://ground.news/article/baltimore-port-to-open-deeper-channel-enabling-some-ships-to-pass-after-bridge-collapse_001420,2169,data/raw/disruption_news/baltimore_bridge_collapse_2024/baltimore-port-to-open-deeper-channel-enabling-some-cargo-ships-to-pass-after-bridge-colla.txt,868060a17e6a04079aa8dbd33b8fbb7869c3cbc864336a024fb69e4c185be51c,False
beirut_port_explosion_2020,UN News,other,False,Lebanon: UN actively assisting in response to huge explosions at Beirut port,Lebanon: UN ‘actively assisting’ in response to huge explosions at Beirut port,2020-08-04,2020-08-04T19:51:18-04:00,https://news.un.org/en/story/2020/08/1069542,1816,data/raw/disruption_news/beirut_port_explosion_2020/lebanon-un-actively-assisting-in-response-to-huge-explosions-at-beirut-port-b95e852689.txt,cf4359662319992b402181c08e76afdd69efefda08a924ecf5ddeda52ee7b796,False
covid_q1_2020,BBC News,mainstream,True,China coronavirus: Lockdown measures rise across Hubei province,China coronavirus: Lockdown measures rise across Hubei province,2020-01-23,2020-01-23T07:08:40+00:00,https://www.bbc.com/news/world-asia-china-51217455,5806,data/raw/disruption_news/covid_q1_2020/china-coronavirus-lockdown-measures-rise-across-hubei-province.txt,cdaff2ec44317dd001169db9309a9a9d3dfb324978184a9c282f9b234097d731,False
japan_earthquake_2011,BBC News,mainstream,True,Japan earthquake: Tsunami hits north-east,Japan earthquake: Tsunami hits north-east,2011-03-11,2011-03-11T06:14:49+00:00,https://www.bbc.com/news/world-asia-pacific-12709598,2483,data/raw/disruption_news/japan_earthquake_2011/japan-earthquake-tsunami-hits-north-east.txt,e502bf921e7bab99530948c632b425febcabf0b44b558298804023ea39d4fb41,False
malaysia_asia_shock_2021,japantimes.co.jp,mainstream,True,Chip supplies to take new hit as COVID - 19 surges in Malaysia,Chip supplies to take new hit as COVID-19 surges in Malaysia,20210824T044500Z,2021-08-24T00:00:00,https://www.japantimes.co.jp/news/2021/08/24/business/malaysia-chipmakers-coronavirus/,787,data/raw/disruption_news/malaysia_asia_shock_2021/chip-supplies-to-take-new-hit-as-covid-19-surges-in-malaysia.txt,4c3703c2b678f8cb19918e0a500a5f04e0001cb3bff6f878380741e82d32fe82,False
malaysia_asia_shock_2021,tomshardware.com,industry,True,Covid Surge in Malaysia Worsens Chip Shortages,Covid Surge in Malaysia Worsens Chip Shortages,20210825T173000Z,2021-08-24T11:48:54+00:00,https://www.tomshardware.com/news/malaysia-covid-19-surge-chip-shortage,2176,data/raw/disruption_news/malaysia_asia_shock_2021/covid-surge-in-malaysia-worsens-chip-shortages.txt,cdb31bd71690750822a5c0a90e68e157343098bbaacbb5816a6fa32930e015d1,False
malaysia_asia_shock_2021,ruthfullyyours.com,other,False,"Covid - 19 Surge in Malaysia Threatens to Prolong Global Chip Shortage Southeast Asia country is cited as auto makers cut production , highlighting little - known but critical link in semiconductor supply chain by Feliz Solomon","Covid-19 Surge in Malaysia Threatens to Prolong Global Chip Shortage Southeast Asia country is cited as auto makers cut production, highlighting little-known but critical link in semiconductor supply ",20210830T091500Z,2021-08-30T00:00:00,http://www.ruthfullyyours.com/2021/08/30/covid-19-surge-in-malaysia-threatens-to-prolong-global-chip-shortage-southeast-asia-country-is-cited-as-auto-makers-cut-production-highlighting-little-known-but-critical-link-in-semiconductor-supply/,8327,data/raw/disruption_news/malaysia_asia_shock_2021/covid-19-surge-in-malaysia-threatens-to-prolong-global-chip-shortage-southeast-asia-countr.txt,73780cceecf8e30eb60dbc9f2618409843a52e09f98e204c5b7b924b52ee3a5a,False
malaysia_asia_shock_2021,straitstimes.com,mainstream,True,Chip shortage set to worsen as Covid - 19 rampages through Malaysia,Chip shortage set to worsen as Covid-19 rampages through Malaysia,20210824T003000Z,2021-08-24T07:24:03+08:00,https://www.straitstimes.com/asia/se-asia/chip-shortage-set-to-worsen-as-covid-19-rampages-through-malaysia,6722,data/raw/disruption_news/malaysia_asia_shock_2021/chip-shortage-set-to-worsen-as-covid-19-rampages-through-malaysia.txt,ede1175b2264ac418c63da5b78f1670b95c3602e79dd3b0a6d8255fdb9a49c19,False
malaysia_asia_shock_2021,soyacincau.com,verified_local,True,Global car production slows down as Malaysia pandemic situation worsens chip shortage,Global car production slows down as Malaysia’s pandemic situation worsens chip shortage,20210825T080000Z,2021-08-25T00:00:00,https://soyacincau.com/2021/08/25/global-car-manufacturers-slow-down-pandemic-in-malaysia/,2674,data/raw/disruption_news/malaysia_asia_shock_2021/global-car-production-slows-down-as-malaysia-s-pandemic-situation-worsens-chip-shortage.txt,7e278e134a875a59eeed1610a1c068b0346ed14838a324ecbae41953fd888dc2,False
panama_canal_drought_2023,bbc.co.uk,mainstream,True,El Nino drought : Panama Canal cuts ship numbers further,El Nino drought: Panama Canal cuts ship numbers further,20231101T061500Z,2023-11-01T04:52:00+00:00,https://www.bbc.co.uk/news/business-67281776,1946,data/raw/disruption_news/panama_canal_drought_2023/el-nino-drought-panama-canal-cuts-ship-numbers-further.txt,dfb4e1936de57e04086d58a9db2081257e36f956091b69230e4582f935730b39,False
panama_canal_drought_2023,cnbc.com,mainstream,True,Panama Canal drought hits new crisis level amid severe El Nino,Panama Canal drought hits new crisis level with nearly half of vessel traffic targeted for cuts,20231103T130000Z,2023-11-03T00:00:00,https://www.cnbc.com/2023/11/03/panama-canal-drought-hits-new-crisis-level-amid-severe-el-nino.html,4841,data/raw/disruption_news/panama_canal_drought_2023/panama-canal-drought-hits-new-crisis-level-with-nearly-half-of-vessel-traffic-targeted-for.txt,c9258b1d1fafc43be1fdc0facf28065f8cbb95eaae9597308a1f600e140f32c5,False
suez_ever_given_2021,bbc.com,mainstream,True,Egypt Suez Canal blocked by large container ship,Egypt's Suez Canal blocked by huge container ship,20210324T003000Z,2021-03-23T23:15:36+00:00,https://www.bbc.com/news/world-middle-east-56505413,3625,data/raw/disruption_news/suez_ever_given_2021/egypt-s-suez-canal-blocked-by-huge-container-ship.txt,b22b73636809ca18f73ed507d07829c3492d530d4c7394936a1bd42892a2658b,False
taiwan_drought_2021,scmp.com,other,False,Taiwan chip maker water supplies cut as drought threatens island reserves,Taiwan chip makers’ water supplies cut as drought threatens island’s reserves,20210325T063000Z,2021-03-25T12:30:33+08:00,https://www.scmp.com/news/china/politics/article/3126888/taiwan-chip-makers-water-supplies-cut-drought-threatens-islands,1037,data/raw/disruption_news/taiwan_drought_2021/taiwan-chip-makers-water-supplies-cut-as-drought-threatens-island-s-reserves-ef27a8e3fd.txt,db365282e5b3004e72af84106e60c855639afba2455fbbdf6791f4fcf93fa1dc,False
taiwan_drought_2021,bbc.co.uk,mainstream,True,Taiwan drought helps man retrieve phone dropped in lake a year ago,Taiwan drought: Man retrieves phone dropped in lake a year ago,20210409T054500Z,2021-04-09T05:04:35+00:00,https://www.bbc.co.uk/news/world-asia-56685406,1121,data/raw/disruption_news/taiwan_drought_2021/taiwan-drought-man-retrieves-phone-dropped-in-lake-a-year-ago-4c7aa78fff.txt,9645d1bade55f66a44c04c2384bcd593d6dbbc2ca6171fb02c74967e8f9ea84a,False
taiwan_drought_2021,bbc.com,mainstream,True,Taiwan drought : Man retrieves phone dropped in lake a year ago,Taiwan drought: Man retrieves phone dropped in lake a year ago,20210412T210000Z,2021-04-09T05:04:35+00:00,https://www.bbc.com/news/world-asia-56685406,2165,data/raw/disruption_news/taiwan_drought_2021/taiwan-drought-man-retrieves-phone-dropped-in-lake-a-year-ago-c7969f143f.txt,fe62d9efb27704659228c4618309922b3493e1dd938cb482cea49935417f0936,False
taiwan_drought_2021,thediplomat.com,other,False,"As Drought Worsens Chip Shortage , Taiwan Fights Brain Drain to China","As Drought Worsens Chip Shortage, Taiwan Fights Brain Drain to China",20210430T204500Z,2021-05-01T04:05:00+00:00,https://thediplomat.com/2021/05/as-drought-worsens-chip-shortage-taiwan-fights-brain-drain-to-china/,2584,data/raw/disruption_news/taiwan_drought_2021/as-drought-worsens-chip-shortage-taiwan-fights-brain-drain-to-china-a9289f6c0b.txt,a625ce26f56558995b1b604eab059a5d73e71d072e2b6071087c61ad9b544b88,False
