event_key,discovery_provider,discovery_query,title,source,published_at,url
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,Japan to tighten export rules for high-tech materials to South Korea: media,Reuters,2019-06-30T07:00:00+00:00,https://news.google.com/rss/articles/CBMizAFBVV95cUxQdDFiUFViaWEtTFdVN284WFZYVXZRRFN1NnJJa3dfUjdBRFVEakU4TFc3S1JoUENRWThNZWVzRFU1bjJiNzlUZlZXSjNKQnBQbE9RMVBfdnlvWlB0QVhXeWFObHRkMWJscXhEenptQU5TREo4dkRhdENxWHRHczloMWpWd1pZcjNSUFNHUFA3QlBhOS1WNE0wNjRnZ0wwb2xTT3UxNmF2dmIzdl93YXNheWR6aW01RktFRWthWE9kN3YtX1dfUTg3WHd6SnE?oc=5
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,South Korean chip giants face 'strangling' from Japanese export curbs,Reuters,2019-07-31T07:00:00+00:00,https://news.google.com/rss/articles/CBMivAFBVV95cUxQT2tvVGg5cmdDMXhuM2RzS3Z4dVBUbUJmNlFoTHpfSk0wM0g2aXg0b2o5VFJWci1OOTNOZFFCWF9ZQ2ZwbUFQMm9vT0tqWWh2U3VxZks4ZGJLYzdNc3Z4X0lRempTT091clJiSWRGOHdjZGV6bnRRblNlVDh2RUd6MTRpa2lEaGFQVER1bllSWHc2eUdsUlRrYndIdmdRcmlzOTl1SEYxaENwTm5HSUZSRHA4UnYwOVRyMGt1Vw?oc=5
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,Russia proposes supplying S. Korea with semiconductor materials to replace those from Japan,Hankyoreh : English Edition,2019-07-12T07:00:00+00:00,https://news.google.com/rss/articles/CBMigAFBVV95cUxOSzhySklkbTUyZ3FMMGYzbWR1UWFjRFhDdTVxLUdGSC1ZbVR1eEVFVEtmc2EtdmU0LXlrSlRub3RKTlRGcDd4WlltVVAyVkhvMU42Z0Q4RlZyZl8xVlhLODZLa09SMDhESUZTbEJEcHBjcFhYUmZ5TkFjaGlfLXZvbg?oc=5
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,The Japan-South Korea dispute could push up the price of your next smartphone,CNBC,2019-07-22T07:00:00+00:00,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOSHg5OUJXS05tRGhzSWh3bHFVVko1bFdXRlV5aU1XZTJuR2gzRjZzWGFsa0J0WlI3eVFlLUtaT19EaUZ0WUhJSEttMUViMjZiLXR5Y24tbmNkclRRNTd5a2x1UzBHaGprellVcWRYSlNncW5pcjJSQ1B4VVBaQzJDUDN6NHp1YXVIRkY0NEJsVVBfcUpxQ1NQQURaOWtZX0dwbzBZUmhiSVpRUdIBrwFBVV95cUxNaXRsUS1PYnJmNkpkSWlKOTBxajlHYVk1NjJvbmdOZFEtSFgwZ3FOeklndHpLbEo1YjQ5WjREWnU0MjNpOFBKODdrZlJWcTNGa2pIUmRIcEZTSTlvQVQxejVFYk1uWmNiRG14TUpqSUE4MFJvNU11RmNIcXRmQV9uSWI4U2FXcU5WemtKdHM3S3NNdHdhU0tDcFZXeDcxMFFOQ0ZqTlIwVDFVN0w3YlI4?oc=5
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,How Japan's trade row with South Korea could hit tech supplies,BBC,2019-07-22T07:00:00+00:00,https://news.google.com/rss/articles/CBMiVEFVX3lxTE9vTnFyeF9PQm1ZQ3kyV3FQOTV3S2VBWUpneHNMRTV2Vk91bnJIdUFuYTlTd3puTzRrYTg3WlFXQ3ZHZlZ5NGRVS0RMRmRnLUNNM1g1aw?oc=5
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,China treads a fine line as it seeks to mediate in Japan-South Korea trade dispute,CNBC,2019-08-22T07:00:00+00:00,https://news.google.com/rss/articles/CBMimgFBVV95cUxPdG1VaW0zakFHZlFiZE1ZMjFFYnNlc240V09pNlowcE9LSHNWMUJiOWx1OHJSZG1mdUwtbWo1NDdSOVhkdXpqVldSRWNfeVZIcGJMSEREaldmUkxrYW45eHVVR2V2blpWMUFST01wV3BRRGpQWGl0c3BXRFZyTTRzWGdnNDdpTzg5SThjc1N4TnZpd2UzVGNkZ1dB0gGfAUFVX3lxTFAzeW1JZkh5dFg1MVdoUGtsT2tIQ3lLal9Tak5LQ2o1Zk9DWHU3bTQ1aUlVNXB1UERZeHZjeENOR0tjV3RMQV90eG9kUWIxSXRlWmg2VnRWU2J3UnBhcUlXZzZiRHNNbnhiQzRiZ1lYTUV0TkRUR3FkWno4bnVuS0RXU3k2SDhjLWhzUDVPa2M1aHVvSVRES3d2S184VnZkNA?oc=5
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,Japan hits South Korea with controls on key electronic materials,Chemical & Engineering News,2019-07-09T07:00:00+00:00,https://news.google.com/rss/articles/CBMie0FVX3lxTFAwNEJUQ3ZjaUVEWjhzREg3ekJfeU14Tk5QelpGVVhTeFhaZFlTNFFLek1UajFyN3Iza1JST2h6RmIwTkkzQ0Q5Vm10X3lnM3B6WUpQVDJ5Tm9samx5eDd2dDdGYUdVN240VFZaLXltaHJaWlBtWWtHcFZCSQ?oc=5
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,Why South Korea is no longer on Japan’s approved export list,Al Jazeera,2019-08-28T07:00:00+00:00,https://news.google.com/rss/articles/CBMipgFBVV95cUxONS1TSDhnZUdmTHdxZHlHVXIzWlAwSFEyNjNsaUVGZmw0V0w5NDZhRWprUHFkeVc5a0JUUGxDTDZEV0hac3BpM0pmaWI4Nm9kemZWSDNJNkZBemJRWmhxZHpBemRXQnd4WkktbzNrTTkyZVlla0phM24zMk9kdnZKaGJhQTQzckVSeUtLVzVybVMzdGVvTUJidHBvTmM3eldodUVYTG1n0gGrAUFVX3lxTE92TlFxR3ZoZ01jUGpGSTViaTRIc004QldfOWwxbzJ6MVB4LVJUS3RsOXVJQ2pqVmVyOUs0UDBWblRzTXZRSjdpVENXakpaR25adVU2VDdxT2F2aC1OTjJSSk9BUkYzeEE5VVo4a2NxWThZZXNMTmVyT2NJb1piblpWOXdPRlBKS2JKaF9fby11UGNJNDhYbUtyelU3R2s5TXBYRmRFaElhQmo2dw?oc=5
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,"Japan Curbs Exports to South Korea, Hitting Global Chip Makers",WSJ,2019-07-01T07:00:00+00:00,https://news.google.com/rss/articles/CBMipAFBVV95cUxQX3pfRlZyU2I3eVNDNUNPczVwVnd6YVlVR0FyZ3UyU01ib1lYalM4SkJRVjdrZHdBZDVoRWdnYUIwdlhCbGtHOWRwR2JaY1c0eGcxZDZzRVl2VEh0SEVUWV8xM3hZSUVjZnpMLURFTFF0Q1RfWmp1aFlGWDRxbUJfeEVWX25MLVRVUGdaTzJ3U0FfRmNkY1hCSVNXS0JyZEhFQkVaQw?oc=5
japan_export_controls_2019,google_news_rss,Japan export controls South Korea semiconductor materials after:2019-06-15 before:2019-10-01,Japan Says Export Step Not Aimed at Hurting S. Korea - VOA,Voice of America English News,2019-08-08T07:00:00+00:00,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOQzI4bHQ5TkRab3dVMXBoQ3d1MjZXZUx1SEFseXdRQVZSRDlfS2U5bzJrWEZCeXBhUXBBMnpHNVNGc01MVlctWjV2eDVhX2VKN3lodnBLeGVISXpDQ2VDMkQ4Qy1zbjRsY0I4RFQ5SlcwZFlhaFRWeEg5dHpsWnR6dEZuYXBSSWtkWm43RFNxWXp5bnJ6eFpsR3NUbHlYVVVHRnBUTWRlU1dHdw?oc=5
