event_key,discovery_provider,discovery_query,title,source,published_at,url
panama_canal_drought_2023,google_news_rss,Panama Canal drought booking slots restrictions after:2023-08-01 before:2023-12-01,Panama Canal to slash booking slots due to drought over coming months,Reuters,2023-10-31T07:00:00+00:00,https://news.google.com/rss/articles/CBMioAFBVV95cUxPU1ktUmxZTW5qWWRhT0R4ekh3RExnbDJpT3VtN0hMNXNGbjBlb0FzYmlsQ090R1R2NVBCYVg2aDhtZVJmWDRmNFRHdVNNQkl2R0FDYW5RcDFCN3NwMkpJa3MxZ1lOeTVlMUM1ZXhhSlBfa0M5emlWbnU2dEVNcXNDZXpYbUpZQ0FxeklmeHRjVm10dldqZW54dFluVUxnaHM1?oc=5
panama_canal_drought_2023,verified_seed,existing_replay_evidence,Panama canal says will slash booking slots due to drought,Reuters,2023-10-31,https://www.reuters.com/business/panama-canal-says-will-slash-booking-slots-due-drought-2023-10-31/
panama_canal_drought_2023,google_news_rss,Panama Canal drought booking slots restrictions after:2023-08-01 before:2023-12-01,Shipping faces challenge to adapt to latest Panama Canal transit limit and booking system changes for the long haul,Inchcape Shipping Services,2023-10-12T07:00:00+00:00,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPTWdtMV9FZUJodXVkbDBXQ21rck1mRWo1c054UzhDaF9UVmd5THFCbnFYem1CM1VlUi10b25DSlBGYmVRM0o2TVV1dVRkWFRrZmlySzM2bEZiZGVEZnlBMjJMcTcyblowVWlJOFM3cFVySk5xTGpnbC1nRHFVNnlyQ1lGOVEtNlluakxyVTNwWHNIVDlRZ1RMSW9IS0NLeUtHWl9tTmoza0JWUWNmUUxRMDRZOG1oaWpIVUlGSGJRR04tWG5sbktaSEVacW1RVGdsLXc1TFdnVTVYZmh4MlE?oc=5
panama_canal_drought_2023,google_news_rss,Panama Canal drought booking slots restrictions after:2023-08-01 before:2023-12-01,El Nino drought: Panama Canal cuts ship numbers further,BBC,2023-11-01T07:00:00+00:00,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5GRXlRcDVmWFcxTHRTUk1sLVVzaXV4Um9vZmhCOHppZGRHX0loZ2tuSGZ1ZlVPeXZ5RVRVYllIeFBrb0pzVy0ycjZsMGdmOExwWTVfYQ?oc=5
panama_canal_drought_2023,google_news_rss,Panama Canal drought booking slots restrictions after:2023-08-01 before:2023-12-01,'This is going to get worse before it gets better': Panama Canal pileup due to drought reaches 154 vessels,CNBC,2023-08-09T07:00:00+00:00,https://news.google.com/rss/articles/CBMiogFBVV95cUxOOEZlLWxKVFYySjFmenRtQ0hFUEs1blBBcXl1X1FDOUsxd2phQ2FvcUphQjFOUEV1UFNRM0pqZGRwYUc2VlZnN3g0QnRlTU1sLUNqTlFhYlFZblF5anRFME1NMl9JU1RGdjNnN28wSE1ZZW4tWkFHTm1qaVFsZG1xSVFNY0pvY3puS1ZEck05VF9LNzl3cGx2ckhJakY1bTFkUkHSAacBQVVfeXFMTkp2Rm5pdzlKMDJIaEM2LWI0eVJST05xNFpQZXdQTTNnOHFKYnNpRUplZGJ1UU11NmpWZ0NuUTl0VFlxMXlLZXFTX3JlYmVCSnVYM0djbnFSWDRiRktGQVMwRjRXZF85eEc1Wm95amgwX3BCSndUbHd0R0k5UWNoVFBpREVaQVM4RnFaQXN5cVlhRVNuNDJiVFFCTFZySG5QWEpaSXlJcVE?oc=5
panama_canal_drought_2023,gdelt_doc_api,"near15:""Panama Canal drought"" ",El Nino drought : Panama Canal cuts ship numbers further,bbc.co.uk,20231101T061500Z,https://www.bbc.co.uk/news/business-67281776
panama_canal_drought_2023,gdelt_doc_api,"near15:""Panama Canal drought"" ",Panama Canal drought hits new crisis level amid severe El Nino,cnbc.com,20231103T130000Z,https://www.cnbc.com/2023/11/03/panama-canal-drought-hits-new-crisis-level-amid-severe-el-nino.html
panama_canal_drought_2023,google_news_rss,Panama Canal drought booking slots restrictions after:2023-08-01 before:2023-12-01,Panama Canal Extends Transit Restrictions Caused by Drought,gCaptain,2023-08-16T07:00:00+00:00,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOdDE5cW9VOE1oNmE2dWt2aWVpa2hzQXN2SmtQQ25EU19tQWxmNHVPc000WDVuWmxsRDB6T0RJRlZxODZHMWVvWHpuRTVPLThMdzJ1NTBHNjRmc0szcE9pR1F1eXRwcW5VLTlrRUwxNjFyTDNWR2dsYlpqZHo3Y2lEMzBxX0FweWEz?oc=5
panama_canal_drought_2023,google_news_rss,Panama Canal drought booking slots restrictions after:2023-08-01 before:2023-12-01,Panama Canal bottleneck eases after drought-related backlog,RTE.ie,2023-08-23T07:00:00+00:00,https://news.google.com/rss/articles/CBMieEFVX3lxTFBBeDRXX09TTTRyVi1OMWRIZ25rVUpyeUI2bVpGQjVDUldsbElXSm42S3lrSHV6d1pvYll0bEJVaGNCazZGRlBPdkNLNG84TVBNT0lrdWdCUkgxMEUyandqdTdROTQwMFI4eDNwcjEyYldvS2p2UzJ1Vw?oc=5
panama_canal_drought_2023,google_news_rss,Panama Canal drought booking slots restrictions after:2023-08-01 before:2023-12-01,Panama Canal Authority adapts to unprecedented challenges,pancanal.com,2023-08-10T07:00:00+00:00,https://news.google.com/rss/articles/CBMiigFBVV95cUxQMGw1dVI4SGMyQzZNT2RtWjEyX0Z4dUVyTUFxZUJwRkxXVGdGeXNsdTNBT1pjZ2FPUnVzd3ItV2NDZWo1Uld1MWFpZWwwUHF4Y3VBR2tJQm04RTNodE96WE9Dc25WSzlHNzJzaFF3T0JmdU9qbkZ2ZXpUWUJESjFFY0daTkRoTXQ2TVE?oc=5
