event_key,discovery_provider,discovery_query,url,title,source,published_at
panama_canal_drought_2023_furniture,verified_seed,existing_replay_evidence,https://www.reuters.com/business/panama-canal-says-will-slash-booking-slots-due-drought-2023-10-31/,Panama canal says will slash booking slots due to drought,Reuters,2023-10-31
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal drought Asia container shipping rerouting East Coast ports after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMiugFBVV95cUxOb2dUcTlpamd3TUZTQ3JQVFl3bk9HQUNYLThPUnFWVmh2d0g1V29CbDhLUTFyT0tRZXByeTJ6X0hla3J5cXhMcGVibWc5QnZuazYtd2QwcDJ2bUQtWGN5UWhxU3FYYWJGNjNXVTYtQ0Y1MVpUenZyUkgzVkdwRG1uaGZaNlNWdFJEWER5eGJRMll6X0loNkRISXNxZnY5WlFMaFhPR2VTRXdtazVWZHRoQVExakRWTzlud1E?oc=5,"Impact to Global Trade of Disruption of Shipping Routes in the Red Sea, Black Sea and Panama Canal",UN Trade and Development (UNCTAD),2024-02-15T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal drought Asia container shipping rerouting East Coast ports after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQSW1aaGJlN0ZIXzFzaHllcmd4M05vc2R2amZudVZMUzZ2eFdPYVhVQXRCbTNzY0VhNTlRejNobElxSmR0WTVObGtZZVl6WWhKcFZJdjJHcVFSbnJQZHhCNlhETlhOOWFOOUE0UXdFZ2VONmpvLVRYaksyRHZWTnlhdExtVndBNzMyem9QeFJNOG8yMDFfQXlZSGJYZVBvaFhJZm5tenQyZDd6NWNMY0JXN2ZHRmpEXzB1?oc=5,"Middle East conflict, Panama drought are worrying for Georgia’s ports",AJC.com,2024-01-31T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNQlU4Nl9WbXlPTFVRT196S05fUjRULURyZFJzX0VJWjNpRmduNmw2ZzZYeDVsNVFRWkxHaFJ4QUU3VVgyeEl0MVJ3bnJSNVZRb0VPUVVfalVhLVZEN3dwQm9keDk3Q0NoaExFN2REdFFMOElmdjBKSUdpemRKVUZ5RmFPZmZlR21VNHIwWmktUVFoa0tWRFNmVndLTlVBTXp2THNPV2ZvdmlVODFEUXRGZWVvZkRJc0NzY3dZcDNwYjlOWkdhb2FBNg?oc=5,What Happens When Ships Can't Cross the Red Sea and Panama Canal?,Chicago Council on Global Affairs,2024-01-22T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMiyAFBVV95cUxORjdINkE2Q1B2R0I1WjZwUk05UWFQMy1PRm9WSnA5VmttbnFMYm9uZzd3bENRT2oyY1FhVnlSblZjelFDdHBlZE9VZi1fd0dZNXhfaFFQaFMxM05WWFR5MzE4S19icEdqUWdRcy1YSkh4UzQzTWQteXZ4dVo1d1NQdm0ydFY5ekV5TE1SYnhMekJVa2E5eGxCQ0VhSWZzNlhFUnJ5dHFLbVFFYW51cFVQbXdIc2VHM2U1c3lZNXEyaVdmQ2JaQWxuONIBzgFBVV95cUxOV3B1cnk5Rk8zcWxBdFVJUVZ5aVFXa3B4NUd0ODh3RHpYMEd2cHRRWGlDck5SOVlRMzhJV2wyQndhaUFnVmNLckVIblZMSENlRUszUThNQTQyVFdraHVyTEZSek05MHFQZmM0eWEtVTczWm5iajdKeTFHaEZLNDY3NUVhVEVfcWtsaFRFRDJ1QVF6emFHZ1VUeVFoaHVYNlB2Y1NnQWtRRXRvNVM5RjhDLU5Obld4SUpzMGJqYlgwZVpNWGdvc1hicXJGelZBdw?oc=5,"New Year supplies under threat by Red Sea shipping crisis: Warnings of delays to availability of goods including tea, coffee, wine and clothes as more than 100 container ships are forced to reroute around Cape of Good Hope just days before Christmas",Daily Mail,2023-12-21T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal drought Asia container shipping rerouting East Coast ports after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMimgFBVV95cUxOa3hGR0JFMnFaQWhTam5DdVJnMXFISjJlQU5kYzN3Q0ZaNEpHaU04amJnZkFkX195T00wRWw2N1cybVd3aU1uN3lNTUgtdVJ1WEJGRW1yYkMtWWE4VmF0MklLVktfYnlMY053ckktZk9CQlBHZjRFU2FEMzBIU1ZfZ1pJaVo2YUVnQmpwMmlFbEJWUTI5VGQ5enVR?oc=5,Panama Canal transits plunge as larger ships are turned away,FreightWaves,2023-12-13T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMingFBVV95cUxOenNDNGJFeE16d0tJc3Y4R0VoTTZzM3B3M1ItYnRsNUp2bGJYNDJCZHdUTmlmY1ZGSFV4dEdLUEdRckpmdnVmdmhacl9tbkJoZ3h6b09UZmpTc2xITTFzLTVPS2FfUktuME9zZWJFOVRGcy1lajRWeEhEaEp2cUktaGw5VEV4YWxCT0o0T2Y0TDdoNHFMSEJvVXlqR25yd9IBowFBVV95cUxNUUduNkwzTWk0MS1FOHlwTTJSTk1VSFJiWEYxeVdBY2dpMERlZGI0dkhhdmdrSnBIX0x1WGF6SWRzR1NYdHUza0xZVlVSQ3pMMWNIQ1V2VFhzSGZTbWsyZmVkazhTalJIYjRRT1dZRnNmaExCMXB4MnUwR25wdm16WlFMZFpjb3pkUlZWbmsxcjZiMHBWTmV3eFMzVkowQ1NLaEZB?oc=5,Global shipping rates set to jump as carriers avoid the Red Sea amid Houthi attacks,cnbc.com,2024-01-10T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMivAFBVV95cUxOUGNIaVd1djFuWFFNS3FYRGF1ZVNFbW5IV1huZjBUTUwybjd5V0tnVXl5OW5WV25kTTNER0NoTkZlWWdKZnBxQUZCZ3JKZTBsRmdhaDhLVkFJelZ6a0hha0liY1JFeHJUY1NzMTNYa0JKeXdRZUlOTkdjMFV0Q1BUN0s1M3RPZnF6MlZra2ZaY3E2U0lQeEk0T29ZOGFtVzRqemlIZXhWQ0NSUjJvNm5ZUXBnY2dsLVJjVUx2TA?oc=5,Companies rush to avert disruption from Red Sea attacks as shipping rates rise,Reuters,2023-12-19T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMiV0FVX3lxTE1RZDhFdzBKcFMxRm8tcFU5bk93VjdpczV6b0cyb1VlZW1sR1h0bTlub2s0SlNTV0s1MkpwZDYtdVQ1Vk5YVm1TQVpnbmtHM0l4SldpcHFOSQ?oc=5,Next warns of supply delays due to Red Sea shipping attacks,bbc.co.uk,2024-01-04T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal drought Asia container shipping rerouting East Coast ports after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMirwFBVV95cUxNbFZqSm95Vnd5cFpjeUtaajR3ZnRfMXVLVnhnUmFDQjdSNWlZTnJDWWpxcGF6YUtMWGVGV1Nyb1hlMkcwaUdJdzNtbHkta01UTUZHNW12U2xVSnp6Ymh5cmRZMWFSYVk4dXN3OWFBY1piNlZFZUFIVHZPZXl1WDFYRDRWSmRjSlBUUVdqOEdZQzBFeHNTb2RIVUlKLXA1emEzQzVmZWVTc1pVU3dYVkRZ?oc=5,Red Sea crisis: What it takes to reroute the world's biggest cargo ships,BBC,2024-01-21T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5VQXlwZGd4VVRiMGF5WldoQXdzZElpdzg0ck5MLW14MEpOc0xJbC1hWFNLaDFJbjl3UnpJS2poSkU4VXBld1dKU25QZ0xkUE5Ma2hlNkNScVJ0QUtrME5BQmFncVY1Y1E?oc=5,Cost of shipping containers from China to Mediterranean up 44% amid Red Sea Houthi attacks,calcalistech.com,2023-12-22T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMixgFBVV95cUxOQnBNQkFGZTVkc0ZONFJ2cXFIU2pNb2FzdF9uemNWUjJ3bDQzQWdZdWo3MmdWaHR1ZHR2Vm5PZW11YWNtWnRtenNRdEZfTXZ4VlEwTV9rYk5WeUdVNFltbmsySnRZbW5pNExJamwzOFo5cFBOeUR2dWdOUVVSb2dHb1I4WkpxX2k5RWYzTUNfOWo4Tjl2cWpVX2tibGJnRUQ3V3ozemhwNzQxQVhnWmxRNlhfcVBnU0JlRkt4QXNZdVhlRnBmbnc?oc=5,Baltimore bridge collapse and port closure send companies scrambling to reroute cargo,CityNews Kitchener,2024-03-26T07:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal drought Asia container shipping rerouting East Coast ports after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMilwFBVV95cUxONU92NkwwdTdrN2VTVkNDbDhnak5yNjV0RTcwN0VLQ3RDZXJjNTNkSm0zeUxvTlV1Rml1cXA1VDh6eERMOUpqVTZNeVNGMDBMOFVpQjBMaUpHWlhha1NUamd1VWE1RjBLY0JQaTNQZi15Y0FYbEhyek1fTTAtNnctRWR3SDVYRzJUSkNvd2hYZGNuMWpfa3E4?oc=5,"Top ocean shipping stories of 2023: War, drought and detours",FreightWaves,2023-12-26T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal drought furniture imports delay after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMipAFBVV95cUxPVzdjSWxCazdkNmlpUVEzaDNoRjg3T2N2c0Z3MG96SktBRENhTW1aVkptSFdPekF0VGFCZmIwR2swRUN6V2dWQzRIU2VUSEZJUEM0NHFBS2JwOUloWUxVUThzLWQ4cUVBMjMxU1A4VkdUcjhpS0pRQ0ZqbVQxV1hLNWZ3RDRSaEhNSXk2bnVhTWtNb2lLeGlzSE9zVmtzeGh0N3FNT9IBqgFBVV95cUxOZlBlbUhZdGY5VkpNM1J0UHl2aktxRHBvZkVqTWhzemh2LVBZRlZ1cXRIakRZZ3ktTDlQVWJXd1lEa1ZjOE5LZGM1VURNWWdsUVJwemtPZkRwU1RVT1NxYTdFT2h3SjNKYXNneGoyMlZMSzhkUmJ1U3FIVW5nVG1udVNIbG1zcEdPUlVPSldxQW9leEx5NFFYZ255ZFBwa1NVUHg5RXpQUVRTdw?oc=5,Attacks on ships in the Red Sea are disrupting global trade. Here’s how it could affect what you buy,cnbc.com,2024-01-28T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMixgFBVV95cUxQUFBvQmppNjFtYUVBamdrT1dMcU5PMFV1MGtWellxWnN4SkNfUmhMbVVYbVRfZTN3eTVSWkxJRkN4VkphelI0eTAwdi1DRVloYzc4S3FObWd6OTVZbG1DX3lSZlVtdFFhRDJLVlhJb2UyVmZyUk14V3R0RWp3MkJSNzNlVlNRWTRTbmhTT1ZJa3pEWjJCR1ExSkpRZUI4d0lSN0hvajk0YVo1U01lR3lKRUdJSFdxc0lyWGVXNjg3ZC1IaVdRNlE?oc=5,Red Sea attacks: retailers rush to avoid delays to spring collections,Reuters,2024-01-10T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5IQ2k0Ni1zc2QxTmlpWTh4cG8xNDEyVktNMXZoU3RhTWZhVDhhWS1ma2hDRDZZZ0ZDbG1OWVAwMko3a1NjSmQtdlB0M3ZaaGIzdFNwcw?oc=5,Ikea warns of product delays after Red Sea attacks,BBC,2023-12-21T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMitwFBVV95cUxNWVFDWG90YkxLcXdUT1g4dUNNZFRiRWFIdDdyQTJLZGU5TGFWY1hRT2RmY2ZRdUR4V005VEMzVW9OMTVsNEZCNHFrLTUtbWhhQ09DTnpCTnRPX2VTcE8tdDNlREd6NTFOVWx3NDVsb2Y2MjV4RWdHYWRjWll1RVQxMFhMcmxNaktEYzhxYlRicTBOaHh2YmMtSFZWZ0dFNVNySnZFaG9EcE1QT05OT1VtdTREdllpeG8?oc=5,"Global retailers, goods facing disruption risks from Red Sea attacks",Reuters,2023-12-21T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal drought Asia container shipping rerouting East Coast ports after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMipAFBVV95cUxQQnZHNjYtRmtwRFpOYVZvZlhTYmpOZFh3LU9VZ0ZoNFpIS1hxQXpvLS1UXzh0R055RGVpNW1BZWkzNFpPeTVad3Y5N2ZLNTRoRFFiWGZHYXB1ZnZHN1VpU3RhNmQxQzNrRW5VdXJESUp0bUNFSE5rRThhQ0h2cDNpTE80UFlScHFCVkpqSzc5czlMVFY2Tl9td1FPSDlGZWZrdFJCadIBqgFBVV95cUxNQVJqTnV0MFhPbGpDVDh4UmxCLW9sdy1oNkFDb3pGeTFaVUlObGh6eW9rbTBJZmo2cVVxc1E4cHJENzF0QTdXV3dITnFQZnE5TlQ4ZV9reHlzSWhTOFJsSWxDanBPNlh2X1FxWEN2XzFPTzMteXF5M0o3dXRvV2RJdGxxZEVZdEExSk4xZ3F3LW1sSWNQNFg3Q2JYU2VoazhhRjQwYktnbElkQQ?oc=5,"Despite Red Sea crisis inflation shock, ocean freight rates are headed down on key China-U.S. trade route",cnbc.com,2024-01-12T08:00:00+00:00
panama_canal_drought_2023_furniture,google_news_rss,Panama Canal container shipping delay furniture retailers after:2023-09-01 before:2024-06-01,https://news.google.com/rss/articles/CBMigwFBVV95cUxQRlQwLU9sLUltbExOY0JZaVJvOHlJNFhTNmJHTFNvSzd3eWx4cnJWTDV4RF9aMnFtVzMzNWFVTU9XMERmdVhtbWVEbTVSbGRQNEltLURlcGNhaVM4bTkxRzRmZXIwRVdadVNBbjI0bmdvUU5Qc01la2RCTXR6eHlYdTBJRQ?oc=5,US West Coast Ports See Minimal Red Sea Cargo Rerouting,gCaptain,2024-02-14T08:00:00+00:00
