event_key,discovery_provider,discovery_query,title,source,published_at,url
red_sea_rerouting_2023,google_news_rss,Red Sea shipping attacks Maersk pause rerouting after:2023-11-15 before:2024-01-15,"MSC, the world's largest shipping carrier, joins shipping giants Hapag-Lloyd and Maersk in Red Sea travel pause amid attacks",CNBC,2023-12-15T08:00:00+00:00,https://news.google.com/rss/articles/CBMinAFBVV95cUxPUC1nUTVVTGhPSy1NVGlhX0Q2MmxiaU9uVkplUWFieGlzMnRYOUlHMnlpSWdPbnNEWmZ5M2tqQ3NJM21TWTNsVk5IbGJLd05IZUY2QXBfVDZzYVcxMi12S2ZnRHpxMDhveXB2a3pUQXBjZTY3dWt4TVlFVHJQOUJEdnRFYjBBQXNKVjF0WkZveWl6QklxM0xuUGFlTFTSAaIBQVVfeXFMTmV1ekttZWVnOHBybk9xUkx5MDkxR1FoMnB2dnRaNjZxcU1BYV9DTHoxU2pnbFNWU2RPZkxna2hUOVZDbnFyY0U3MDQ0c0toV0d0RkZDcmJrSk1ybE0wMTd1MWtVUUxaZzZtY0tnOHdXOWxQSnEwdF9XbHliQUZIejZBZ19ib19sbTRJS2dIRk5qbEVvQVRTR1BDSWluQzUySThR?oc=5
red_sea_rerouting_2023,google_news_rss,Red Sea shipping attacks Maersk pause rerouting after:2023-11-15 before:2024-01-15,Maersk pauses shipping operations in Red Sea indefinitely after weekend Houthi attack,Fox Business,2024-01-02T08:00:00+00:00,https://news.google.com/rss/articles/CBMisgFBVV95cUxQSno2U19YdTJCejBNNXpra3FBWFRyM0JzMFh3dGZOa2pRWmdUOTcxcnhLZnpUUnFKVjRTZjhfUDVENU9FWWdXRHhUXzZxX0ZmbVhDUUwyaWY3NVVLRkxqMkZNMk9FNGJvWFh6ZXJxZlFVRy0tQllCc1JfOWt6T2VoUDhXdmkzTUhJcVVTeWZkQTdvZW5BdFBZVEZIbHA1MERKaVVpMDJ0ZjlJazUwdEhRVnJR0gG3AUFVX3lxTE1PanJGdVRILU5JMWgxbmJTa2pkT3dvYm84M2RjM2RSdzFYbjRkNjdWZG5RX1hnU2RQencyQVhBTkJqeWRsVkxPRVZOYWVOSFFDeVIxUk1jemtSMHFpbXh3bTlSYnJEcmJ1UjFHVmdXV0NuZ1lHdjEtTF9uNUVxWEpZeFZaNHllWXhlbDliTVptX19pSFE4dEtQZjdzdmlZd1pjN2hJYk0zLUNzSnJLY0NQR3lwbWx3dw?oc=5
red_sea_rerouting_2023,google_news_rss,Red Sea shipping attacks Maersk pause rerouting after:2023-11-15 before:2024-01-15,Global shipping firms continue to pause Red Sea shipments,Reuters,2024-01-02T08:00:00+00:00,https://news.google.com/rss/articles/CBMitgFBVV95cUxOeEh3V0llWE5TVHFiTkpmT3NNWVZQUWtSN20wS1ljUXpzVXFZMnVzTE9JY0JGSUpoRlZyWXNLZ0hZU1JmVUh3NlREVzdaNWtVa0JhVV9TaHVaWFFmYXNsYV9ZNzhxNzkycjdWd1pxRmFHdFVJU0k1NkhpcHZTcnU5OFBLVWVya1NqblVEdGJsMW1yNlljeGN3a0ttQUo3UWZIMG8xbl91OTI3WGZnNEtyMkt0WEdGdw?oc=5
red_sea_rerouting_2023,google_news_rss,Red Sea shipping attacks Maersk pause rerouting after:2023-11-15 before:2024-01-15,Maersk Tells All Its Container Ships to Pause Red Sea Voyages,Bloomberg.com,2023-12-15T08:00:00+00:00,https://news.google.com/rss/articles/CBMisgFBVV95cUxPTy1GbUo3b3VVSDh3Q2R1bm92ZFh1ZFV1TWlIMk9WUTdhX0s3NEpNSmxUckRrZ0xjT2piN0tDeG9YX3VPSk5uR1IxcTZzWWpCWEcxWWpDWV9sS0NiZ3pUX2tQVEJITHlwQ202eGlzWmVjcExJZTZlZkIwZTZCRERuQUMzaG5RMWRyX1FaM29WR3FZZWFoOVRvSDJMd25sb2FEd1dQNlJKVmRKX05GRlpsZ1p3?oc=5
red_sea_rerouting_2023,google_news_rss,Red Sea shipping attacks Maersk pause rerouting after:2023-11-15 before:2024-01-15,Shipping giant Maersk begins rerouting ships due to Red Sea turmoil,CNBC,2023-12-19T08:00:00+00:00,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQMnlabU1vUkhud0YtRUFWNHk0QWhza1F3ZGZEMzU3bm5iQXJMMjAtYkYzSHJTV05iZERWS2IzYnFtclI0THliWEVrbHJJS1NSVlRJZXNkaWlNLUpBTzBfcmhoV2Q4QmpSU1daU05vYjVfWldkQS1QRHV1TzR5T2g2ZVQ3aTlrRGc3NUlpNDBrYmNDRlg1S1pNZV9Ld21LQUdsZzdzOElQcUJsZ9IBrwFBVV95cUxNd2dFaDR5eDI2U0RQeGhiVVV3YUVHSlZmanhlaFJiZzVsOWVDdTR3b2RRZ0J3NWxnZWdaRWNFYkp1dXBKTmloWFFBVHJVekFvX1h1M00tbERDd2U5X1kycEZ0RENXTUJFR3hFSzNMY2M3Szl6S05aQkFnZUhtdmNObzA1enFFVS1hUjJXMEdGbmVCRkYwQXo3NjJ5Qnc3MEk1ZEdwY1J3UHB6eGtTaFg4?oc=5
red_sea_rerouting_2023,google_news_rss,Red Sea shipping attacks Maersk pause rerouting after:2023-11-15 before:2024-01-15,Shipping firms respond to Houthi attacks in Red Sea,Reuters,2023-12-18T08:00:00+00:00,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOZkhhcElONHk4YUFPSUttR3JTckw1RlNLNjFmcFlyWFBmb3RKWkhOemx2bmhGX0EzYWVTbV90Y3dKakYxakxxUkdPWGNVa25ibUE0RmZ1dEI3MTRkSTNLaHVzdHVEZ0ZSWEJRUEFxekItVUFWanl2V3pORm9EeTVkNTRzcmhVMHd4dDRKOGN2dVR6emRYbDBNMlZuZVFaR2lsVl9hZC1RdDByQQ?oc=5
red_sea_rerouting_2023,google_news_rss,Red Sea shipping attacks Maersk pause rerouting after:2023-11-15 before:2024-01-15,Maersk to pause all container ship traffic through the Red Sea,CNBC,2023-12-15T08:00:00+00:00,https://news.google.com/rss/articles/CBMioAFBVV95cUxNZUFSMDlnMV80RmpnWGVuVnhkOXhIZzdXY2NHS096NjUxV1gzRlF0XzlKd0lDcFdiV0t1UVY5WlgxSkxwcjlPRVZnZ3JSWHRTNjc5QkVENHFrajZFV1QtTDIzbDhvZS1adkxERU9FbWJCeFVpYzRVc0NidUl3bHV2YU1KR244UjRhQktNVW9GT2tkTTRFWUdMMWFfWUNnVEw40gGmAUFVX3lxTFBucTROVndQa2owUHhqN042allISVdiVFo0NWpwNnprSEg3THljTF8tdmdBdGNWWUM1UUMzbFpjTHJKVGRUV2ZoeEtzdFpQUEFXbFVvTU1wTEJfa1dIaVljd1VCUkZVN1VRNEFzeXRXQm5JdG52WV9qNzVBSnhKOHotb2pmMV9qa3pQc0szTGNNRnZ2WjM5b0hxTkZBY3RZTDBkTDJyVGc?oc=5
red_sea_rerouting_2023,google_news_rss,Red Sea shipping attacks Maersk pause rerouting after:2023-11-15 before:2024-01-15,US launches Red Sea force as ships reroute to avoid attacks,Reuters,2023-12-19T08:00:00+00:00,https://news.google.com/rss/articles/CBMivAFBVV95cUxQbklfakxTbU16SmtOOXlwa1hSNHFENHlKWWpRcWp0dmRPN1ZwUzdrbi0weG1JTm9QaThVTTQyQUlIcm80WWhYcW9FcDVwQVZlWGR5MUpPTTJLMy04WXhJYUhWVEhKNXFEU3pGbXVRbk91WlgyVlNRY0FKWkNHampmYS1OS2I0akJrMEF3bjRSSnEzVEZrTmpxSDI2SmtyeWU3QUVHZ2drMzc4VDVqamg4M1VyT1lxalJkOUdOcQ?oc=5
red_sea_rerouting_2023,verified_seed,existing_replay_evidence,Maersk to pause all container ship traffic through the Red Sea,Reuters,2023-12-15,https://www.reuters.com/world/maersk-pause-all-container-shipments-through-red-sea-2023-12-15/
red_sea_rerouting_2023,google_news_rss,Red Sea shipping attacks Maersk pause rerouting after:2023-11-15 before:2024-01-15,Shipping giant Maersk’s stock buoyed by halt of Red Sea journeys following Houthi rebel attacks,Fortune,2024-01-04T08:00:00+00:00,https://news.google.com/rss/articles/CBMilAFBVV95cUxQZjFEb2N1WW1HLTB0Sml2QXBxUkJQeVV3dVRBNzhzaWowanpFbUtRTFJQWnRsaGlmQnVqdHpLMmVRcVBEMW4tamNaaC1VQVJjVVZoa0ptNm1ObGFLNXNtMm5ja0dFRlMzaFdxZzc4YjdtT1hyRV9ac3RzOVJxRzFiR3I1ellNZzhhSVpnZ3RuQUt6TWp3?oc=5
