event_key,discovery_provider,discovery_query,title,source,published_at,url
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Suez Canal traffic jam caused by stuck ship Ever Given 'cleared',BBC,2021-04-03T07:00:00+00:00,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5LeGJSOGx4ZmZuWHZ3dE9hNTdKVnc2Rmx4T29KN1ZPMERFMDlrRndwbmpGZnJ5VzR6SXNVRkpZMEJic3NGeVJORDZyaVBjQjN1bWNxTGstQjZlOS00OVFuVA?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Egypt seizes ship that blocked Suez Canal over $900m compensation claim,BBC,2021-04-14T07:00:00+00:00,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1ONEJhYlM5eTFPd0Rhamo5Z1Z6WDdTdlExTDBqTzVsSjFrb1RJWjVNYllMbkRTTmppY2NtcmZFSUwwZERKOHdtNGhsV1phdzlaMV85Q3pDNjNDanVnLVgzNA?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Suez Canal traffic resumes after cargo ship Ever Given is moving again,CNBC,2021-03-29T07:00:00+00:00,https://news.google.com/rss/articles/CBMipAFBVV95cUxPckF3ZGRONm1iYW15bXNmVzJ4UFVhOV8wbnczeWVMQjlIMXNVZzl6cEQ5RjhqbU9FWjhtRGhCY1VBT1IwWGtlekNTMHUtMGp6RUpXME1RYlBHaE9lZVNGYmYyTThOOWtlZFlSLVFuUmNvcmxiVFgwNWwwVzc2Mk1GcF9fMjRJdFkwbV9iMU5WbG4tR3ZFTDIxeml5X3BaSnNGVGJNdNIBqgFBVV95cUxPRW1oZTQwcEhsYU9hZnlJNjdqblhmYVNNN05Kd0pLdW5xcFJ5bE5BQk53eGdkcnEzS3B0MnV5c0twM0pHanFGbUlQYUx5ZUpVVGJHeDVKajVTU0FDWjE2LV9yczJvOG5JbTBySG1aZTh1T2NJMkZZMkRUMEpEY0t5WVVEZTFaN1Y2c240dy1mNGtpLXZVZUFVMkpmb3FPNTI1V1dJRjlfSnlXQQ?oc=5
suez_ever_given_2021,verified_seed,existing_replay_evidence,Egypt Suez Canal blocked by huge container ship,BBC News,2021-03-24,https://www.bbc.com/news/world-middle-east-56505413
suez_ever_given_2021,gdelt_doc_api,"near15:""Suez Canal blocked"" ",Egypt Suez Canal blocked by large container ship,bbc.com,20210324T003000Z,https://www.bbc.com/news/world-middle-east-56505413
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,"Egyptian authorities impound Ever Given, the ship that blocked Suez Canal amid financial dispute",CBS News,2021-04-14T07:00:00+00:00,https://news.google.com/rss/articles/CBMifEFVX3lxTE1WX2xPNkV3Um1USFVsdl9KM2RMWm9YYS16SldSRElnTF80ZUpFcFJGOTF0SGNYT0w2azhvN09FMlNKaTlueWJmbzlLR2pEUGs2TXo3Qk52dWdMZVgxWFhSZ2kyQ2gyQnpqdG9mTDhKX3VrWVFxR05GVU9QTlbSAYIBQVVfeXFMTl9iMldodkxrVUduWTJUMy01TTgzQnVhaEN4dTFzVDZLQzJ3MzRaTEhndzB2T3ZDeF9fVWRVWmZlczFET3pTN3NXMzI2RFZtSVc4eFdqSG1DVU5KS0hUTHdaRFQwNTZOOC00N1Y4SG1lYmpxYldmdmRhNE00a0ZKMTIwdw?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,"Suez Canal: Ever Given Blocked 400 Ships, May Take Week to Clear",Business Insider,2021-03-29T07:00:00+00:00,https://news.google.com/rss/articles/CBMingFBVV95cUxPekRKT25mZng5S2ZRVnhYVW10VzE1UGdhUWZiNzVudGVTOTZIRHl2WEIyUkt1RXdWNmQ0Z0pqaUZPazB3dHhXQW1DSjZzS2tMSHh6NXVPa1pYblBEdFZtcEF2U1BpbkZkeXg1M0FMbFRueG1VN2QzdnBtc3dJNHVuUjlSS21Mb2YwSXp0WE5GVk9GbjZmZEdMem5WTjBiUQ?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Suez Canal reopens after stuck cargo ship is freed,AP News,2021-03-29T07:00:00+00:00,https://news.google.com/rss/articles/CBMimgFBVV95cUxPeUhjNE9vNFMzQjJYQ1dMVjJVUGRoOFVkVlZNVUtqLUtaY2ZtczFvdWlib2ZUR2FGZ0QzcUtfTENZWElBdTNyZUZVeXZTS0ZsQjc3Y1dfa3laZ2JXT2ZTOGpMVUNFNWJsXzlwUHZDUnBCQzBacER1ZWRjZkdzU2FVRktuZWY5LWNOWldnWk9CdVlOV1JnSVNJV0Jn?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Suez Canal: Ever Given to arrive at Felixstowe 'a little late',BBC,2021-03-30T07:00:00+00:00,https://news.google.com/rss/articles/CBMiYkFVX3lxTFA5M2VUVjk2OGVUSmVtWlNxeFYyRFYtRjZGWDhmM09DRGVCcEFHb2t5eF94NTZXeU16aGpuTzQ0d1Y0QXBWTVAxTjFrclNjdkdZU2ZlSkRaNllVRkJTSFZsZEt3?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Explainer: How a giant container ship is blocking the Suez Canal,Reuters,2021-03-25T07:00:00+00:00,https://news.google.com/rss/articles/CBMipAFBVV95cUxQQkRHNzZLVGNkaURFVEtPS0xiXzQ5d1FuTXFtMEgzSXFMQ1BfRjZBbHVsVjk5SGRoOHBoOVZfV2N1S29NN2RPU1ZnUjBZdVhzV2ZXSDd6RnRvQ0NvdS1nUnltdDNBcHp3WkVlb01SeGM1b1dETVhOUkdRcUF3TFkwOFItQTFhWUpxVE5QWTlCcUpyTklydUlDamxGSzFkS0dXdnpORQ?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Ships carrying commodities stuck after vessel grounding in Suez Canal,Reuters,2021-03-24T07:00:00+00:00,https://news.google.com/rss/articles/CBMitgFBVV95cUxPeGJCNm5uR29hY0RTNVljQzFHaWRaSEV3cWhUNjI2ZnZsZk1VMER2YTdmcDRaQkg2Q01DdW1aNUxaRkgxZUI2V0dwamw2aTE3eHJ4VlYyZ1dLUTRRWFZ4dnJJT1I4YkFmM25aeHFvNEQxdlkzR1lKV3JJMjRxb2JCWHFJSy1abFdOYUVzeDNFdTlZbG5RbExwRjFuZ01qTEhOeEVTUnkzZERBcmZxR2c0bWt1TFlfQQ?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Diggers and dredgers struggle to free ship blocking Suez Canal,Reuters,2021-03-28T07:00:00+00:00,https://news.google.com/rss/articles/CBMitAFBVV95cUxNVXJNWkQ2SHFZYllSa09MQUFsT0paTjZ0YlRVdGh5MEtSVnRISVM1cjNfd1dpSk5ld0llNElfY1J3LWJBZVI4WklMUzV4Y0xTbHBNS204MEtpM1NoLVlCcEktQkNnSVZUWUpNM2pkdFhDcG9GaDlXUEZNVktBYkxIN1ZjTjUwRDZoQnlwT29hUVVGNTRqSnBOVXlKakxxa1ZKSEZxSlR2UDhERm13RGxJVmJDd3U?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Ship stuck in the Suez Canal unleashes flood of Internet jokes,Reuters,2021-03-26T07:00:00+00:00,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNTWs4UTBIY3REeUJSbnJVQXJNX2ZXbHBOV2V2UWd2eVlwT3RVWE4wRXVSN0lBN3lodF9iaW9IeTNSOEUxLUFOUndHc211Qm9YZkJjZThiMzBXbU1XYzczb1dhcjJRX2pDanA3bnpyV0RQUGt4NGtFMGNaZ19UOVBnYWNkMndnZ1REX0x2ZzlXWmMzc1E2b2FNamtJODdxTmpSWkZ1UWdwMGtCZw?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Tugs work to free giant container ship stranded in Suez Canal,Reuters,2021-03-24T07:00:00+00:00,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQS2lGbVRmNk1qb09qSy1VeGhtMXJVV05hbE90SGktakc5X2lBMVpTeXhKS0NjUlZ2VFplUlpFNXpFcC1zN3dYZDU5ZEJOSXVwb2ZuZnhVQ2dPS0RQTTlrUUFOcjNQVnRwRUN1NWwwWmNsZm42b0NGT0ZDOW5wVEtiekIyNUtHSHdFTjdHT0picUV0SlV1eUlWOElYek5IbnZhNEFmMEhUM0hBWDBraFd4WW9DRnVZalQ0RGEw?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,"Suez Canal blockage: how cargo ships like Ever Given became so huge, and why they’re causing problems",The Conversation,2021-04-01T07:00:00+00:00,https://news.google.com/rss/articles/CBMizgFBVV95cUxPMlFqSU5pUnlWbDMxaTVFZThLZU1FWlZYVUNscnBVelJEMnB1TGdJTDdrVU1VelZjVHVpbURaRnlFV0gzUVB6MjAwWVpyS3hjS2FPVGIwWVpqeFdBZnRIdjBRTktIWkstZk5XeVhITnVuOVpJTXEtbWtCOWc5WHRnVlJITS1rY3gtclVVeE1nSlJabHFxVXR5UkNDbzVTYnhfSVhWWHdFSFRPMEZHOVY3eFVnaVJ6VTlpRjFoOTMydTZtV0Q4UXo4UVhuOUhxUQ?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,"The Suez Canal blockage may affect the global supply chain for months, the world's largest shipping company says",Business Insider,2021-03-29T07:00:00+00:00,https://news.google.com/rss/articles/CBMipAFBVV95cUxQTGh5RmNBMy1nZHUzNlliZXl6dllENWQyTDVYRk5hR1VfbS10b1MyalJuOHI4MFZSNDVLMEhiZDh1bERaY3BzTjJxdEZIM2JmOHR4OXluV3FDVkREWmF3Z0QwVktOTzNwNlNFdjczYUo0amRremxNSE9ndmZPT2s2eVlvUWprc2x6SVpCQlpaZEdOV250OEo4T1VfdEwtbEZOMHdRUQ?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Suez Canal traffic jam 'cleared' days after Ever Given cargo ship freed,NBC News,2021-04-03T07:00:00+00:00,https://news.google.com/rss/articles/CBMipAFBVV95cUxOc1BhZ0s5UFJKYkx5VWh3dFdLVDU2NWZhZ1RDcW9pSVF3ZFVXMHE0SXRneVlnd3BCd1ZTeDlDb0xYcDZrUnVrdGJhV0ZnLWxieC1LZUxwVDdVYjNCRkp1d21wWWtVaEZFLWxScllxdU0tVlByQzkwUkVqdDlpYVR2cHpUbmhuamFBbTU4N1YyWHRHcWxiVGl5NnZlQXV4OFo3VUtLMA?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Giant cargo ship that blocked Suez Canal impounded amid financial dispute,Los Angeles Times,2021-04-14T07:00:00+00:00,https://news.google.com/rss/articles/CBMijgFBVV95cUxOVEdEQjZJRVRpUzM1UDJYeFZ5RjRCOFZLTmp2ODBJVjY4eU5WaW0zNmIwR1hkd001U2tDdkJuaElUSWFiMl9NZG54cmZKamZzYndTZDJGTER2VXhLMGk4eE5RYkdqMFNDUTlKVko2aXBUQVctNllfVU91OGFSV3JqNmdjcENETlRzVG1WeHBR?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Investigators board ship that blocked the Suez Canal,TODAY.com,2021-04-01T07:00:00+00:00,https://news.google.com/rss/articles/CBMimAFBVV95cUxNNVlhUE84Mjh0OHJFMGE5bkVobEh4SjJpQ25INGhpcE5ScjJuX0tPQ3VIUFNCS2ptd2JjNmxJVDB0LWw4VF9DRGViRERiR2h6UU9aRlpZUzdsakRXSGg5QjJoa3VzSnNiQXdxc3RuaWRQMG9YWHd3b1lkMTNLX1FVV00wMEkwQWtiNDhsb0hvNGNwU19xcDREag?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Suez Canal: Epic Traffic Jam of 400 Ships Caused by Ever Given Cleared,Business Insider,2021-04-03T07:00:00+00:00,https://news.google.com/rss/articles/CBMipAFBVV95cUxQTWEwVlE0dk16WTNBQUpHWlQyVzNYekhFS0Y4VlVETGxfczZ2clBFclZCaXJhTTFEb2xMdmVKYUtvN0JnSlpXOUpOT01mT2gzcUdyRlpQNlAwa05Fako3UGVFZHptOGxFbjlsWEFOeUVUOEh2ZmlRRjIzZl9Tb24xLXllQ0xyRFdIZHVPa0V6d3VoU3dmRi1Fa05oNTlIYkp0WlMtMA?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Here's how the full moon helped free the stuck ship Ever Given in the Suez Canal,Space,2021-03-29T07:00:00+00:00,https://news.google.com/rss/articles/CBMickFVX3lxTE9IWG5tSjlyVmNmX0sySHRDQm1aTXNtZWFXeEQ0WVJBaW0xc2x4T0Y1THVORkhFcTd5TjV0VTNOWmZYeE1LTU5veVdBNlJoaUVRZGZTN3ZaTHMtQnYyYllIdzVrMkdDMWRadXk3OWtTd1Bhdw?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Suez Canal shipping backlog cleared,Al Jazeera,2021-04-03T07:00:00+00:00,https://news.google.com/rss/articles/CBMijwFBVV95cUxPRi16QnlaMXJ1RFhXanlVdk1oaXZBbE1PVXMtUWRKaXhkaHdmd1NzT0JYMUppeUNLM0EyT0laSXhuLXNmRHdYSDJidzUyUlU4Tmd6R0FpX2IzTEpGZ284a0loSlBlTWVwWmYwclAyTHJSTldNb0NJVjVmS0pPM0pURFRNWjI4Ni1JVkRnMldURdIBlAFBVV95cUxOZWNGamxlcFA1QU5qU0FFbTB2SE5BM2FfTTh1UWg0ZURLZXJpakZKMUtLZW5VdnNGYTJuNHMtanl6bG9RSEF0cHE3UFd2NS0xbUJFUWgzem9OUlhlaWhTVHVEX0tXeTNFQlY1SDN3UGl5d3hESnY0Z1paZnY2Wmsyd21aQmNQLXAtYzdvVm9SeFpTTVd4?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,"The name of the ship blocking the Suez Canal is the 'Ever Given,' not the 'Evergreen'",Business Insider,2021-03-25T07:00:00+00:00,https://news.google.com/rss/articles/CBMioAFBVV95cUxNbFdoSkNvNm5kN0Nra0JtQWF0cWQ3ck5TUlAyNmhZN0RMdE8wVGpIYkk3VENTclF1UkVWUW1TQ0lyQVF5U0FITEtKSUFkTmlTVW9KalV2c3dHRTk2Ny1YVXFTXzBpLTRnQlZrSWt6TTEwY2NBMTFzMC1vVlNlSnMxcU1XOGlubVJoamV4Q3dyYWhGQTI3c0tITDRqTDk4TkdK?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,"Grounded cargo ship Ever Given floating, moving through Suez Canal: 'We pulled it off!'",USA Today,2021-03-29T07:00:00+00:00,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQMUtYMzBYX014OEo2ZEFob0gyS19lYVB5bnN3UjJGbjcxQ2Nzdzg4S0xaeVAzYXk4dWxpNGdaSTJ3RzZRNnVnTHJlMzdzUGtXa0cwU2FTVXJmaXlIMFNsSk1XU3dENml1eHhMSlBucHNkWlRSQ3lIcFFiT0hHSTBub2FkWlp0VHF6dExBTExGcUgtVkhTQzhLdGFrRGxrWU1nUFkyMmkwa3BBbWdtdm9OREhhcTVJbkl3QkFGRWVVeGxZLU0?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Divers detect damage to ship that blocked the Suez Canal,Los Angeles Times,2021-03-31T07:00:00+00:00,https://news.google.com/rss/articles/CBMinwFBVV95cUxNNEVER2hoX3ZrZEg4a3laZk1IR1M1SExkejU2UmFKaDNzRTdLcEdGbEg2WmRFTTNRNi02Rm43bmFrdUhPS2VtYmNBZWh3NTlrZHhMRnFpMkZJT2lYQjRkSmQwd1dzUU01SFVPcXREZjZJSjVDQWF3WGFfS1UtT3ZaSHdBV0FKUjdxT1JhbWM5b0JHeTFPTlVIV2VmNGVYTkE?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,Shippers assess impact to cargo as Ever Given is freed from Suez Canal,Supply Chain Dive,2021-03-29T07:00:00+00:00,https://news.google.com/rss/articles/CBMiogFBVV95cUxNT04tNDZnNWNQNzhlZVRuSTFmZWlHXzR0VWtRc0dCaDlVYnBsam82a2cyZXppa25GOHpkYi1sOEgwc09rSFNPeERsUUlKbklXTkt1bVl1OGlWVEdMb1dCaUw0R1VicVNxS0w3MlZHT0VRdEJLRk5OOUZSbFl1ejdjc21wRTk1S0VPMHVzMVZMSlFaTUpPMnBVMHdZSnBrSThSSmc?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,How a dredger and a fleet of tugboats helped free the Ever Given ship from the Suez Canal,Business Insider,2021-03-29T07:00:00+00:00,https://news.google.com/rss/articles/CBMigAFBVV95cUxPZnJuRWUteWNhSHR6dHh1OXRRRFFTRnplYXY1R184OFUySXRWZldrRTBLb2lTYkF3NzdfalBod3BTV1VzTTNtQ0MxQ3BQSHE1QmN1N3ZqSlRha3FFWUM3ZkFsLUZCU3JNTWR1WEdsc3hXZF92M0I3aEF0MkVyX3FoVg?oc=5
suez_ever_given_2021,google_news_rss,Ever Given Suez Canal blocked shipping after:2021-03-20 before:2021-04-15,The massive cargo ship that blocked the Suez Canal is now moving again,Ars Technica,2021-03-29T07:00:00+00:00,https://news.google.com/rss/articles/CBMirAFBVV95cUxPS3pKVmFpM2xZbjVNNXFaZXN3YXN4QzRvQkpHSDFTbXdpWFBWR1lub3BoRVY2X2R3aHFqZEJ5UFg3WENQeEx0T2pjTWVFcFY5NjA2RldMRVVwRTU3VEhxeFBCOXNfS3p1RUVNUkQ4X2FBZkQ2enlmYTVXeW43VWZlbkk3YzlJTGwxVGJROVFsUjY2Z2EwTFFNWUhlR1lNTHlnVnI3bHlaMXpYLXBY?oc=5
