event_key,discovery_provider,discovery_query,title,source,published_at,url
taiwan_drought_2021,google_news_rss,Taiwan drought chip output water restrictions after:2021-02-15 before:2021-06-01,Drought-hit Taiwan plans more water curbs for chip hubs,Reuters,2021-05-19T07:00:00+00:00,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPV0pKTzFxRlZ6SGRET3RfTWkycFNCLThQLVZveXNDSVZkZ3doUHNSdlVwa3l6OUNYRy14RTBRcFlodERLMmRlQUplbmp1TWdmd2tQNk56MWZWcTFRSmtlOGo5R2ZUQ0Y2bXhlbkdISUxNVzBxckpfTjN3VVlkclJuRVFnRmctQUdIN3hmSkFBdF9XTDVBbVREOUZTSlluczRKb1BGSG5idjE1UQ?oc=5
taiwan_drought_2021,verified_seed,existing_replay_evidence,Taiwan tightens water use as drought threatens chip output,Reuters,2021-03-24,https://www.reuters.com/article/us-taiwan-drought/taiwan-tightens-water-use-as-drought-threatens-chip-output-idUSKBN2BG1K4
taiwan_drought_2021,gdelt_doc_api,"near20:""Taiwan drought"" ",Taiwan chip maker water supplies cut as drought threatens island reserves,scmp.com,20210325T063000Z,https://www.scmp.com/news/china/politics/article/3126888/taiwan-chip-makers-water-supplies-cut-drought-threatens-islands
taiwan_drought_2021,google_news_rss,Taiwan drought chip output water restrictions after:2021-02-15 before:2021-06-01,Taiwan chip makers’ water supplies cut as drought threatens island’s reserves,South China Morning Post,2021-03-25T07:00:00+00:00,https://news.google.com/rss/articles/CBMivAFBVV95cUxONndSVjNTWS1yaDIxeXNtaEtyOUhJNXgwdWo2X1cwWkdZS1BxTjBncGZId3FONGYxTkVidWVycVZWVXBXYjNSNUxhcUkwS1lMdG5BUVhoRVBmNVBQa0c1ZTBBTUxDVEdXeUpxa25PaVplN29WcVdZV2M3UjN2aDVzbGkzMlNFT1RQNXZwOU1rWGRkNzBqTDZOVTc1NFNvOUZpMzhjNHFTSEtkem5DQmcxbWFMRFZiUzJOTm11MNIBvAFBVV95cUxOTnM3T3ljd18wS0FmNDBQVlR0S1lEdXdCb3VLUE4wWnRFVzZKU0xMWThtYTU1SFpMV2RIZmY5NC0ydFI1X0FLRkt5MVRHTWU0TVhTT2Q4WHVrdUJSTzE4cFI1TVpqdXF5Z1lkNjlHM1RBYzlLcXBRXzlOdEk2ejhNMkIwbTFXemp2VE1zbkhUN3pPTDBXUnpISW5zSGloYlBtMU96TUdNWU5QVUJYeHpFOUdFcFdVWmJSZGdzMQ?oc=5
taiwan_drought_2021,gdelt_doc_api,"near20:""Taiwan drought"" ",Taiwan drought helps man retrieve phone dropped in lake a year ago,bbc.co.uk,20210409T054500Z,https://www.bbc.co.uk/news/world-asia-56685406
taiwan_drought_2021,gdelt_doc_api,"near20:""Taiwan drought"" ",Taiwan drought : Man retrieves phone dropped in lake a year ago,bbc.com,20210412T210000Z,https://www.bbc.com/news/world-asia-56685406
taiwan_drought_2021,gdelt_doc_api,"near20:""Taiwan drought"" ",Global chip shortage amid Taiwan ′ s worst drought in decades | Business| Economy and finance news from a German perspective | DW,dw.com,20210409T100000Z,https://www.dw.com/en/global-chip-shortage-amid-taiwans-worst-drought-in-decades/av-57141316
taiwan_drought_2021,gdelt_doc_api,"near20:""Taiwan drought"" ","Taiwan rations water , drills extra wells amid record drought",msn.com,20210507T084500Z,http://www.msn.com/en-us/news/world/taiwan-rations-water-drills-extra-wells-amid-record-drought/ar-BB1gsl23
taiwan_drought_2021,gdelt_doc_api,"near20:""Taiwan drought"" ","As Drought Worsens Chip Shortage , Taiwan Fights Brain Drain to China",thediplomat.com,20210430T204500Z,https://thediplomat.com/2021/05/as-drought-worsens-chip-shortage-taiwan-fights-brain-drain-to-china/
taiwan_drought_2021,google_news_rss,Taiwan drought chip output water restrictions after:2021-02-15 before:2021-06-01,Taiwan drought could threaten global chip supply,dw.com,2021-05-19T07:00:00+00:00,https://news.google.com/rss/articles/CBMinAFBVV95cUxNajIxdXdPYURzaDV2RldraDN3aG5nY2JKMTdNX1VkWTFWYlYtWHhNLWVkaS1YUjM1eFB0Ui0ydVVEWTdwdm5ZeGNTcTZMcWVsYkpuVF9qNUlvalM4SF9fTHV3aEdDc1VRU0wzVFQzc0Mtc2ZPeHU4SFBrVzVpa2V2X0lJR2plRGpLRDBtTVN1d0NmLTIzOTRidkFRR3HSAZwBQVVfeXFMUGg3anVWeWpYWG1oYWZRMXJXNlVJTk8wbG5wNEhsWTFNd0xXd1czeVBEZEZhWUhkWExSYlNNZkJCWl9Wamx5U3Q0RXluQVpkQ1ZUZ0EtWkJKOVhaTEpaR2tucndxcDgydHhqeHMycmpQb2tiWWtuelVWdm1mbUlMNHNFa1diSmtqSnJWUl9BcVFoQWM4V0RqakRGLWtO?oc=5
