event_key,discovery_provider,discovery_query,title,source,published_at,url
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,Satellite images show backlog of containers awaiting export at Port of Yantian after Covid outbreak,CNBC,2021-06-17T07:00:00+00:00,https://news.google.com/rss/articles/CBMirwFBVV95cUxQVTlQTGFqbFZDQldYNjdHMmptUDJPaHZsLXc3SlZOYWVDVElxa1hkejZIWHBKMlZUUlBMcUo5NW92UEtvdE4xWDdheG1DUEdjajZKaUJPZG9Nc0ZHNHRKX0F4a3NIZXptT3ZVTHUxZW5JekdTNHlybHh0a1JwUUU5bDRCX2ZOTl9GUGR1MlpaYWFYajF0d2ZyejhRemwtNUNmbjE1ZlRVYW8xNDRFRjlz0gG0AUFVX3lxTE5GQTZoYVN5bEZqVGh5TW0xV2QzWTQzdExrTU9pemUtYU9zZHdSTVJEVHAyLWdZcHBPZzlHeDA3cWJxR3RqZnl5NzA2clUtQ1dTaTBOLVNKWGUyV0hsMUZuS1c0RkdQM3dhZGIwYTNkMlpKaEk5NjN5NWdoQmhZOXJ3M1JSd1NGTExndHVhNWV5aU9jMUVYX3h0bjZEeDhkT3dYYkU3UGdLOEJxckVfTGY2NVV6LQ?oc=5
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,Major shipping firms warn of worsening congestion at China's Yantian port,Reuters,2021-06-03T07:00:00+00:00,https://news.google.com/rss/articles/CBMivgFBVV95cUxNUGhKV2VEc1lHSVlYeW9TTFJJd1ZKMEYwSk9iVHRjRXhVS0RldldNZkEzbm11cDAxOEtQZFR1ZmNQeUtaTkZ2dG5tMjRCN2lMZUFjRklGWlBPQnU4TUMyTjBLMlpSdTNSWEVnTEdYcVJPRTYtS21TUmh4VWdka0pCRDR3X191a1RidlMyVmVwVTBpaExvXzNhaGdkLUpUbXk1ZHRtSWpOY3k1U0N4aTkyLXJfNUhoV0tEUUstQ1B3?oc=5
yantian_port_covid_2021,verified_seed,existing_replay_evidence,Major shipping firms warn of worsening congestion at China Yantian port,Reuters,2021-06-03,https://www.reuters.com/world/asia-pacific/major-shipping-firms-warn-worsening-congestion-chinas-yantian-port-2021-06-03/
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,Lines omit Yantian port calls over Covid-19 measures congestion,Seatrade Maritime News,2021-06-03T04:39:40+00:00,https://news.google.com/rss/articles/CBMiswFBVV95cUxNM0t3OXlueUZMZ2xZUjZxT01rQml0STBYYTY3SmRrT0gwTTRZRTItdWxPczlHS3NVWjRWdG9SbmZIN2owOFNmRFBua3liT3lEVlNodEphY3AwUDVuWUd6amRnQ2dhdFhDUmlNNFRJY18xMDF3cVB4NWI4cVBzcjRQTmlmRmVvd2EwQlU3ZEIwRjZHYzVjTTdBZnZwLUFwYXAzbVNjemQxUVJrdUFRM0JfWVptZw?oc=5
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,Congestion at South China ports worsens on anti-COVID-19 measures,Reuters,2021-06-11T07:00:00+00:00,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPOWRzM2Z3VlA4WXNzeHNCcURsZ01nRjV0UXMyTURxZTB4ZGhSNEVidTJ3Vl90ejNITTEwYlJRdHFDanB3MEVpXzgzRnVUUGtZbmpyNjg0YjRuN3NqUkZ0Unh5S2NvWHFCUS1mVDNIdUNBUjFSWnpLajFNbW9aYkY4SHQyd0xYTExfeldwR3BiMldsYmNyR0FmRE5XeFZSMEx5MzhuamJISGZ3NzA?oc=5
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,6 charts show the effects of Yantian port congestion,Supply Chain Dive,2021-06-22T07:00:00+00:00,https://news.google.com/rss/articles/CBMisAFBVV95cUxOSF91UnpRV0tfS3JPQXJZVFZDeFF6SERQWEhkNlRiMVlCNUVCZkh6dWFpX2R6bThXMkpKVkROZFYwR2VDbHNPTS1UMzNjaFhTQkhuMzk3dGViWVNYV1FkQ28ycjZZN1ZpZ0pQT1NjcGhCVV9DVGFuVnc3LUFWOS1vcXd3UE1mSkRVdGh0Tk1qWmE3a05qeXhBYTJwVHUxZnpZbWhmRzJuY2NLcElsWHBLRQ?oc=5
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,Yantian port back at full speed; box recovery could take a month,FreightWaves,2021-06-28T07:00:00+00:00,https://news.google.com/rss/articles/CBMingFBVV95cUxNLW5YU3NWZ3g2c2g4amI4eGc3cy1ySTlGSHJRYXQzOENaak9WbzBjb1BlYjFXajlOZ0dXbThzTTN4YzRGLWF5Um5OeGpmUDkzd1NMN0dtTzlQbUpsNnhMRkZMNGFuMmdCWWEtT1ZOQTFrSjcxbzNxalNkZG40SEoxZkU0bUlnV2ZNczM1VmhYYzBNUDR2UTRXOTdRc2YtUQ?oc=5
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,Shenzhen Container Port Resumes Operation After Covid Shutdown,Caixin Global,2021-06-24T07:00:00+00:00,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQRkpvMXRoTWoxUXlwRVJrRTRxbjV2QUMzaUpEaHFIdjhnazF4TWhFal90TVJnQTdZaXVxMHlCLTBWbkZzbU44Tk44eFlPd2FqWFpLSnFJSDRnNUR4UW5qa1pZX0lMNGlSMUstQmx5aWg2QzRsU2cwY3JiblZCY0F5cTB5ZG56Y3ZNZzdQYUpSbUd3M0xyQ213NGlqOUZ2ajVkY0hERURsM1NzV2NKT25Qc3JMQ2dWR3A1?oc=5
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,Chinese port difficulties amid a Covid outbreak further snarl global trade. (Published 2021),The New York Times,2021-06-21T07:00:00+00:00,https://news.google.com/rss/articles/CBMieEFVX3lxTE9vcEljZUNVUnJjRHdfRl9qemZibXZfUW9lQWZaYW02eDV4YW5DYUI1WHZFRHA4Z1FadnJfaHNDM1dMY2lVRS1RQUlrUFpFU2Q2enM1QzEtUzdOWFpNVGhXb0tJUlBsN19vcXRyVV9CeEc5RGJXWTQxNQ?oc=5
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,Virus controls pushing China’s southern container ports to limit,South China Morning Post,2021-06-09T07:00:00+00:00,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNS1FHbndKR01rX1lIdVJVWmJubmpfX3hCNUlEc05Mek5oWE1UNnZHR2h6LTlmd283ZWllUHp6aWltS014TU9oVDM2UnF3a0JiYmxhWDhDWnA4Zk5wN2VxQ3VDbGtJMG9tMHVnS2JvMXB5S0J6dVNyMzF3SnkyNWRxaEUxRVFSSFoxY3d4R3BieEF0YzhjYXpIcEl1SzVSMjFpRkFCMkMzSHJNd1E3UnlrZE5CSTc1aUZnZDRF0gG7AUFVX3lxTE40eFVGSDU4T0ZzUmxXbC1ZZkFNMnlRbnpjeHJRbFYycjVhUV95WDJvMmtweU52RU53aVBsY3ZmeEdqX0VYU3dFaVFtaVNuWlJDM3RwY0wxZkRMRm10SGFzcXYwRlhnYk1PWGtQa0xFR0tkX29mNWZGVmNUOGZHeWJqek5QQktUSzhrMVJCdV90Q2JGeDVKSmREVWtHQjkzU2VCb014aThrYWo2MDhCQmZuRW5Vb0Q2ZkVOODQ?oc=5
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,‘Unceasing congestion’: China’s shipping delays snarl trade,Al Jazeera,2021-06-17T07:00:00+00:00,https://news.google.com/rss/articles/CBMioAFBVV95cUxNWDBhd3RZUE8zanQ4Tk14TGozbXY5YXUxc3lHSzllVzRoODdET3M5M2ppdWU2VEJIQlJiNVlmZ1ByNEY2QWZBdVplSzU5dmo2QUFHZ2NnMmdvRUlZUjZFYXNRZzRBMF82N284ZE14YUx3UHJHRzg4ektiQzdrRjZjUXFUMVdsV0liZjFQLVM2U05VS3EwTnpRNDVoWVY3OXlj0gGmAUFVX3lxTE1hUkxnTkpDeU1Sd2JoclB1clJ0SHlFYVNVb2ZMZk5BcXBHckM4QW1hbVY0Vkh1SDNvX2RLaTY2TmFwZzVlcHlqU0tKZWhRLTJ0aXRiX0lVVTRPdWd0ekZjcER3NmFlZE82RDhIUVJtNmJybG55aEZ1MTh1OHQ5NWRWR0g0c1IzUkoxWkQyTEhmS3p0bjVBR1JXQkhhdHI4VjhjeEY0eHc?oc=5
yantian_port_covid_2021,google_news_rss,Yantian port Covid congestion container shipping after:2021-05-20 before:2021-07-15,Container congestion registered in every corner of the planet,Splash247,2021-07-14T07:00:00+00:00,https://news.google.com/rss/articles/CBMijAFBVV95cUxQZzBOaFk4TklwTVNmM08zNHZzdENBWEgxenJFRmZNUG53WFZwVTJWSXlQNDlEckpkRFFLSGRiMGtEYXRuY19hQkN1RWpOYXlhaTdWWi0xa29rbDFVVkpVdTlmVTJCeGdJS0V2MzlXNDlYUG1yUC1lRkEyemdsYkZVdUFNX3dUQjJoa09pWQ?oc=5
