event_date,source,title,url,location,event_type,impact_target,trigger_module,trigger_scenario,confidence
2026-08-14,Google News RSS,"Malaysia’s chip sector faces uneven AI gains, supply risks - HSBC - TNGlobal",https://news.google.com/rss/articles/CBMilwFBVV95cUxPY282Z1NRVTI4QnlDRzJFWm9YVHdhQTZ2MWVrSG02MnZCMFBzY3B4ZUd6Mks5R0dRZENFSmI1Z3JiWlNsLTFJQmVvNExtdE9FV0FXVk1iVm1TLVlPYXNJNFNPSlI2Q01zVVV3ZDBZY3NmXzNkYXdMMk1MbDFkYlppVlRNSnhacDVUS3Q2Y21BSmYxUElWWG80?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-14,Google News RSS,Malaysia’s Semiconductor Base Can Power Its Next AI Growth Phase - BusinessToday Malaysia,https://news.google.com/rss/articles/CBMirAFBVV95cUxNRDVLX2pxak5Id0hJX0FkMnNHZ3hSLTIzd1hqSF9feGtvT3MxSm1qb0dVY3JhT0RxUzVFMHdNS0dnTko5eUlidUlsX3ZKS0Rhc1IyVmo4M3laY0RSVmNwYldvNTd4Z3padVFyd3RZd0RDbjh6QlRxVzBTTlhVTUhFZ2hEcEhRX3hFNTlGM0xSNkNqUjBwYndiYTRTREJ5ZUJtM2pWdzVNT2dRSTls?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-13,Google News RSS,Deadly attack on Red Sea ship adds to global supply chain uncertainty - The European Sting,https://news.google.com/rss/articles/CBMiqwFBVV95cUxON3drYW1jTnhBZm1UWHM3eWhuaXBJUXFnV20tU3RmNTBJQWtwUndqcmlkWDh4QU5BM0dFbVZncWlJRzFnQmVtVWt1eHlROThOcXVfdDVicnFLbW9SS2E3NThpZjZ6R3FDM1UyYTNsVkV5aTJ5b3EtNVJfSmhxX2ZnQ0ZhMTNGMmxxSmRSNS0wSlUzSkZ6bXJDYmN3ckg3d1BRUlFoX0xOcS05TjA?oc=5,Red Sea,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.85
2026-08-13,Google News RSS,"Malaysia emerges as AI tech upcycle winner, but chip ambitions face talent hurdle — HSBC - The Edge Malaysia",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBobFFsUFpRcmxWWG5KSmxKbEhCNVJmSG1WZklRdWtpOWd3LWJmX0RyOVRhN1poUnNROVR6LTBvemU1OFlQNk5iUUowYlpFMGNER1Zv?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-13,Google News RSS,How Could NXP Semiconductors (NXPI) Malaysia Expansion Reshape Its Supply Chain? - simplywall.st,https://news.google.com/rss/articles/CBMi2wFBVV95cUxObmRlakNoOGdRbVFjQ3RPTmVjRVlMbDdPODdySWc4Q0R3VnBZdkk1cU52S3h1c3htblhqQzBmamgzbGpoZUEzRjNNdnMwaVZ5VG4zT2tFVERVLU55c0ktZG90bWgtTFJOaGg4bmxPdW5FcVNmdV9nNm1IYmwxcVd4b1JHN3U5elRYSDJ3bGRwNjZoMVZFVFE2cEx5WlNQaTNhRm9vLXMweXBSakhRVjJ5YWNaUGR0TU5iRWRsU01uY0h6ME9VUlpsN3pvb2lSWENHOUF1Q1VDR1ZMdWPSAeABQVVfeXFMTTBoUmNHcjdRb0lZWlhLd3YxczBCNTZ1YjAwOHY4YTl0aUE1QnlBakJTUkVwX3JSbzNUTmw1S0ttelM3YVBuOWRXN3N2R29BSVlrTmIyU3F6a1FpWU10VkhrbWdxcER0VU9LSFFBSHB6V2VON0FhWGhXSXhVNW5KRk5YcjI4TlZ0ZzctZFQyc2dHWHJIUUxHNThyRUozcUNvZkJPU0lVRFVVV1FHOTd1ZHprLXNmYWFFU3RmZUVYUjhCdG8za2l4RkxSUXVUY2RjemIzWEZoenp1X0J2dTZRRTY?oc=5,Malaysia,other,supply_source,module1_risk_propagation,baseline_moderate,0.6
2026-08-12,Google News RSS,Deadly attack on Red Sea ship adds to global supply chain uncertainty - UN News,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5IcjBTNWs4R3N2UXNNQmw0X3l3Tml3TDYyODJKLXF3MjQ2MUZjblB0Rl9zTFdnelVHNkZMVzZTbExZRHFKZldseWJqbFZLUEt5SkdWd2xRNA?oc=5,Red Sea,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.85
2026-08-12,Google News RSS,AI could help Malaysia move up global semiconductor value chain: Expert - The Sun Malaysia,https://news.google.com/rss/articles/CBMirAFBVV95cUxPbC1IazZiMkl1ZFdwakpkVDNuWkRvd2xiSTRUNnU0ZTRhSXJXRGd2T1p0aVNCTm9tUGZYdHJ5Zm1LTFk0UkhOZ1dKR1M3Ynl3anRvSUdXeWlCcjM4eUR6OVVXMHB4V1cwQThGbGs5blN0c3BqdFdBZzNubWJfbmdjTlBNVDVmMDlYT296SHRyWklLaC1JSl9qRFhZTV9sMHBtRVBBTnloSnl5VHdZ?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-11,Google News RSS,Lessons on semiconductor development for Vietnam from Malaysia's strategy. - Vietnam.vn,https://news.google.com/rss/articles/CBMimwFBVV95cUxNTDJiaHMxaG1hRVpzQXJOWmtNbzFQQ2NzMHBGTWRzSENEX0Y5TVNXZWc2RU5HMHkxVXNsYV93Z3FfcW05NlB1U29NanRiZnN3RmhmRWNORUMxcktsMEEtYTdGVGstaGFkZ29QTnBrcW9BaUphSVBDVlJkWV9vdG5BQk03Y3ZCcGF1Mk8wZUJKdXhYcTRiSmJpMmlBYw?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-11,Google News RSS,Semiconductor surge puts Malaysia in sweet spot for China Plus One - Focus Malaysia,https://news.google.com/rss/articles/CBMilwFBVV95cUxNQ1FLVDctRDRpMzEwa1JjYnVOaGlNUF9tUGp1UVJZWW5DN1BIeVdINV80X3U5eUEwaWRjRnJOV1dMWnF4LWk3T0N1MlB5S3lDZWI0QWFWT2s3SkVWVGFkQXMzWFk1MnRITERDQXBJa3YzTWw2RUdNZnNtcXB2MVdmaEE4NjN5LTRxTmdoUVk4SG5KWGpTeFFZ?oc=5,China; Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-11,Google News RSS,Expert gives advice to Vietnam’s semiconductor sector from Malaysia’s experience - Vietnam+ (VietnamPlus),https://news.google.com/rss/articles/CBMiuwFBVV95cUxOWERDMTFWbFc5RFJqZjl5VXZGRGpIbk51NjNlNGVvcVRxU21wcmJQWGZfeWVqQnpnT21jU0FYRHVrSzlPMXJTNG1ocHRWUEFRUjJrLXVGOEM4R1dGTHdPd3VaX2R6RmVsVUkxNGxaSWxRbzVRYVhETVdUOUpOMXpmUnhPSGkyNm11YXZpTHRwTWEzdzR1cDg4NmpjcXdFYS1MVHdFOXJpdTJwbjhRVVdZTnNBYUhQTmxKWUpV?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-11,Google News RSS,"Malaysia Time-Sensitive Networking Market Size, Share,Trends, Growth Analysis Report, 2030 - MarketsandMarkets",https://news.google.com/rss/articles/CBMiogFBVV95cUxNc2thVGpiai1Oa3JYeXo0bllCNFlpX2NGaXpnSnR5QVBacE1Wd1ZyMHJWWWdMaktaOGRGNEFhdmtnam5ndzh5MVZzX2x3ZWVkbEx0QUpUaUh4RFBEUXdEanFRMjdYNzhvRWtBMmlRelhGcEdKQ003SFczdHJETVB2MUFEalBSNzFNU0tXRjRza3NLYVd1MkNzeVdqV3NNUDI3YUE?oc=5,Malaysia,other,supply_source,module1_risk_propagation,baseline_moderate,0.6
2026-08-11,Google News RSS,Malaysia wants to climb the semiconductor value chain. Siemens' executives see a narrow path - Tech Wire Asia,https://news.google.com/rss/articles/CBMiggFBVV95cUxNMHhDVlJMYUh6TU1sUkZVSkVEXzNIV3dLVU9CbmthNUU1TG5YZjh2azF5bkpEMlVYVGpROUhRS2V1WjdJcUVhekFBMXYyMHBjcDBOZkptbGNiN2x3WlhKV2Q3TFNCVHY4Q1NEcXBrNjdZZWtMbzVMNVpoYXpQSHFiR0NR?oc=5,Asia; Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-10,Google News RSS,Middle East shipping disruptions have pushed ALUPCO to re-strategise its aluminium extrusion supply chain strategies - AL Circle,https://news.google.com/rss/articles/CBMi-AFBVV95cUxOdUgxamI1dXVRWHlvS0FPdTZBYzFUTnVtdjVBWWh3NnZfNFhyU08xWUVvSGpvbGtXNG5XcHhIVzE0WXR1OGtFWjFKOElfRG9rRGtLYUtodkltaUQ2WEg1UDR3TENrUmVmaWxhZXdlN0h4clFwRzg4MFh0bjRjQkdmM1NHbmlIQm9kRkVDSUlnb0UyYjNrVk5xbm1HeUtjX2t4U1NxcE1wYXRpZUVGSWxsUjhETTQ2cDR2eXdWcXQ1X0RtMEVzMkNGWXpweE1BajFvZVpscE8wR2dyWWNOdFkwdUp0ZllvMkNPQ3lwZFdfM1RWOGxKejdubA?oc=5,Unknown,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.7
2026-08-07,Google News RSS,Capital Market Key In Powering Semiconductor Growth Phase - BusinessToday Malaysia,https://news.google.com/rss/articles/CBMipAFBVV95cUxQR1RjZTlzRjJkZmg5NDlody1WX1I5OFFwcVlKNEdRTGVxb0dnTUYzV2JTQWMtMnhyUml6NFVZTnNPSGtFN3owMzQ3OTR0Y2o4SHVzS1N1R2VyYzNSVERMTzNEWHM3VTJ1TDlpYTZxZkR5dkZYZk5udUlsWGVLbkF6NWdSQUxQZXhIaTFodncwRjVGSTRuVXhnY2h1TGRGNDljcEkyQg?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-07,Google News RSS,GLICS deploy RM1.4bil to elevate Malaysia's semiconductor value chain - The Star,https://news.google.com/rss/articles/CBMiywFBVV95cUxPSXMtMDBUaXNPMXc0Z2FNUktucWFVWjkzbENhMGx4emVEVFpaV3U1V3VYd0M4Z0hBd0JUa2szMUdic0tiYkM2bjN0MHJsd0VCbFB4VmdZaklfcWxkZ0lyV3dSUXZnd2ZHNkFnZ25VUnpIYVNyU25HaXpBdlQ5aGlicW16bUxMU2pOYkxYWHVuMWhkOUk3Mm56OUlfY29GYlE4NDlpYXF5UEZtdFdUZ21Yb1ltX0JsZ1hJTmxTVUliMGltY2FEM2NscUJwYw?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-08-03,Google News RSS,CIMB sees Malaysia’s AI role expanding across semiconductor chain - Investing.com,https://news.google.com/rss/articles/CBMixAFBVV95cUxOeGZTYzhxTi1MUC14eVg0SGlvMmVGOVRiSFlTdzVQcHVjZ1NaZmZCQTFvVm1mc2pFb1ctY1BWNGkycklfeFpFbHhGVXN4NU1YNnNSMmVfQmd0RzZyQU5wWVBRak5LeXdWdUNGRU01WGRPTndNel9wRTRPV2JfODRwOElvYUtaVTg2ZFY2VGx4Q1FpVWJ6cWJsWWxOUFBXMXNjNlEwUk93NlVlVmxLYnd4UkxuR0ZFYVJrVUFDOExJUXp3Tkpx?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-07-31,Google News RSS,Malaysia chip suppliers face a new gatekeeper: cybersecurity - ET CIO SEA,https://news.google.com/rss/articles/CBMiywFBVV95cUxQTTB1cE16OXFodERUZ2gxU04xc09NdzR4WEdPd1lGcHRidWcyTEo1VXQ5bUxwZkkxOF9wekJiY2R5cWR0M3lqT280aXhyaHlBNmNuNVc3Q0hRclg2ZXU4SnZ2dk50ZDFnQkNxX0dWcmF4MmVWMmp5U1V6SVE3SGhQVUJEQUVTMm1jOExtMkZ0UW1CUXlLak9WVDU3ZVhJWTZYelN5WGNNUExWUFp4UHI5ZEotSGdwV09lMWJ0aC1jYVh5THlTWGZfLWYxdw?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85
2026-07-28,Google News RSS,How Red Sea shipping disruption is feeding energy inflation — according to Permutable data - Container News,https://news.google.com/rss/articles/CBMingFBVV95cUxQbFA2ZHowSEhCeVZpcVNZWVk3bTlfb2hBVkc2TUVwaFFWRUNkUkdnaW10TXpMYWFMdHNDYkUyQkpvU2FfbDU0M3pkdXJYSHY1MEVPZjhvbDViWGpoWnlwWWpQVjJzOFY2MnVZYnc1ZlNpRGw3MV9OUmVNNFNtUGxMWUJ6dndFN0NCZ1hxcWtURzNLMVBVWDBiVDBleVhiZw?oc=5,Red Sea,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.85
2026-07-26,Google News RSS,Houthi attacks threaten oil supply ‘plan B’ and the consequence may be catastrophic - The New Daily,https://news.google.com/rss/articles/CBMigAFBVV95cUxPekdHX1lzSFpxSU5jRTJvQjRvQWt2UGdQa0J1SDR6c181V1NRWFN5eUJsWDVwd0h5OFZzekZ5WEdqaVNpNlowN0ZudEk3bmozVTBtS05XR3Q3Sk0tSHZhVHZPN1R5YVVWVzhMcDN3eWZmOGRZemlkY1ZzVWxYeWpqRA?oc=5,Unknown,other,supply_source,module1_risk_propagation,baseline_moderate,0.45
2026-07-25,Google News RSS,Can Saudi Arabia turn supply chain disruptions into long-term opportunities? - arabnews.jp,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9aMTJ2aXNldHlsX2F0Y01sWXNuNXk5UUtEcDhWNml5WjRxdXptNTh6Sm5vaEoydE5wdFVrZ2xEYU9obmoxT2lyNnZ2WmVmRXQyQkJLczZRZHUyU2ZqcHVHTA?oc=5,Unknown,other,supply_source,module1_risk_propagation,baseline_moderate,0.45
2026-07-24,Google News RSS,"CNA Explains: With the Houthis' Red Sea threat, is the world running out of detours? - CNA",https://news.google.com/rss/articles/CBMingFBVV95cUxNUXVTNkJ2MWxxVWZ4V216SWQ4NktBSmh1Wmdfc2dUdy1rVzhRUGEtTXkyeFdlekJ3c1lTQ3hkaUUwbDZoUGxWalFqLW9IRUNPVDRuejRMci1sUURWS3FlM2p0MFFQZEJQaENCSTcwOU1ncmhEMGdOVjZaU2pNMlppZHpPc25Wanp3M3F4Z29lMVJMM0tnVHE3dE9KX09NUQ?oc=5,Red Sea,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.85
2026-07-23,Google News RSS,Conflict-Driven Chokepoint Disruptions - Council on Foreign Relations,https://news.google.com/rss/articles/CBMidEFVX3lxTE5EYnFrVkd3M0wtMDNrSnY2aVFaeU1YM3p3ME94dkdraWhrcmhVazlPMWZheFNCLTM4QzhHeUFPOFhnenBsSk9kVXR2dUNLbHN2Wi1IMTRud3VUN283bFRocDZlYWxPSzBjZDdJUkRsaWR3OVFD?oc=5,Unknown,other,supply_source,module1_risk_propagation,baseline_moderate,0.45
2026-07-22,Google News RSS,Middle East conflict is reshaping global shipping once again - Metro Global,https://news.google.com/rss/articles/CBMimAFBVV95cUxPUlFkbHFWWFZiWHhsWUJ3SDR3SjFFWS1iaTl4ZDRnYnREb2Q4T1AwRDFhYnMxbzNPWVd2dlhGcmN0UlFBenozTGNpaXlSOHRPQnZVY1lRTDc2bWxFVWdrYllSN29BTG9oeVQxeVhBRkVPcUdxdElrcERCSGNpanJfOWVDNkdwSkkzUldwUXladkZPdDlkR0FJWg?oc=5,Unknown,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.7
