country,market_share,total_value,degree,betweenness,eigenvector,pagerank
Malaysia,0.2942715329567456,391470338509.0,1,0.0,-0.11035682380088618,0.0024845664638928314
Taiwan,0.14067542003301825,187140950220.0,1,0.0,0.049864909459636224,0.0024845664638928314
"Korea, South",0.060117802634127616,79974900430.0,1,0.0,0.03938631230674414,0.0024845664638928314
China,0.04786210484754025,63671107423.0,1,0.0,0.049953402214637975,0.0024845664638928314
Vietnam,0.04376196258616334,58216675379.0,1,0.0,0.10419485675596098,0.0024845664638928314
Japan,0.03626275657308548,48240458220.0,1,0.0,0.11401004387789729,0.0024845664638928314
Central America,0.032348580113956305,43033417063.0,1,0.0,-0.1035036910077434,0.0024845664638928314
Cafta-Dr,0.03233207755099533,43011463652.0,1,0.0,0.059489327952916546,0.0024845664638928314
Cacm,0.032328397217599676,43006567693.0,1,0.0,-0.11538874245373272,0.0024845664638928314
Costa Rica,0.03232641100711902,43003925431.0,1,0.0,0.046625151209174445,0.0024845664638928314
Ireland,0.0313328920670913,41682244085.0,1,0.0,-0.09924964189211904,0.0024845664638928314
Lafta,0.031188855421551285,41490631686.0,1,0.0,-0.10311859966121091,0.0024845664638928314
Mexico,0.030768483326301138,40931409376.0,1,0.0,0.09601737748635482,0.0024845664638928314
Philippines,0.030369630705494872,40400814490.0,1,0.0,-0.04996675972581405,0.0024845664638928314
Thailand,0.02849085688481192,37901475814.0,1,0.0,-0.03438966569438588,0.0024845664638928314
Israel,0.027241706095313466,36239726621.0,1,0.0,-0.034168584141058916,0.0024845664638928314
Singapore,0.01895235354949666,25212375064.0,1,0.0,0.07044570663957544,0.0024845664638928314
Canada,0.012292161218311795,16352300424.0,1,0.0,-0.0578277940271426,0.0024845664638928314
Germany,0.012090829939814309,16084468796.0,1,0.0,-0.055355471577772104,0.0024845664638928314
France,0.004460870032871828,5934309324.0,1,0.0,-0.07084164250533152,0.0024845664638928314
Austria,0.0028507162451316976,3792316716.0,1,0.0,0.040354273351839075,0.0024845664638928314
Malta,0.0025668176980744714,3414645593.0,1,0.0,0.034445619234572275,0.0024845664638928314
Netherlands,0.0019846930776172677,2640243394.0,1,0.0,0.06916110877087465,0.0024845664638928314
United Kingdom,0.0018638561852229495,2479493699.0,1,0.0,0.09042587987943594,0.0024845664638928314
Italy,0.001655186195832438,2201899361.0,1,0.0,-0.03844169766677896,0.0024845664638928314
Africa,0.0011594738097340702,1542451627.0,1,0.0,0.10835069347941868,0.0024845664638928314
Switzerland,0.0010615678460389414,1412207018.0,1,0.0,-0.060319343334522296,0.0024845664638928314
Morocco,0.001049005282105256,1395495000.0,1,0.0,-0.007394038214607706,0.0024845664638928314
Indonesia,0.0009472198349140497,1260089502.0,1,0.0,-0.006648594402580685,0.0024845664638928314
Hong Kong,0.000482073248729545,641303547.0,1,0.0,-0.08080839482994329,0.0024845664638928314
Portugal,0.0004664498650940541,620519711.0,1,0.0,0.019602789499348135,0.0024845664638928314
South America,0.00042062145120138564,559554029.0,1,0.0,-0.03356001582203305,0.0024845664638928314
Hungary,0.00037200221471848563,494875707.0,1,0.0,0.017263445776040554,0.0024845664638928314
Belgium,0.00033034853958665753,439463693.0,1,0.0,-0.0582249225586629,0.0024845664638928314
Brazil,0.0003295899523259065,438454542.0,1,0.0,-0.10737956523219692,0.0024845664638928314
Turkey,0.0003064702734116966,407698361.0,1,0.0,0.01828931154435935,0.0024845664638928314
Poland,0.00028718679988715297,382045496.0,1,0.0,0.08459892945562625,0.0024845664638928314
Australia And Oceania,0.0002843601794405733,378285234.0,1,0.0,0.0976803244164693,0.0024845664638928314
Australia,0.00024458455447781425,325371596.0,1,0.0,0.0834465717707722,0.0024845664638928314
Sweden,0.00021109000927234435,280813698.0,1,0.0,0.006470418457074802,0.0024845664638928314
Czech Republic,0.0001985264545870177,264100362.0,1,0.0,0.11741156788565543,0.0024845664638928314
Spain,0.0001985243670928537,264097585.0,1,0.0,-0.059563697204241484,0.0024845664638928314
India,0.0001963270002255701,261174421.0,1,0.0,-0.07244292689397834,0.0024845664638928314
Finland,0.00016806394090762455,223575985.0,1,0.0,0.03110354255859467,0.0024845664638928314
Slovakia,0.00012301270327217163,163644183.0,1,0.0,0.049750514795668055,0.0024845664638928314
Denmark,0.00012044745107670196,160231620.0,1,0.0,0.10668914364607761,0.0024845664638928314
Chile,7.97623040798042e-05,106108042.0,1,0.0,-0.06175950139598609,0.0024845664638928314
Norway,7.050222356733803e-05,93789328.0,1,0.0,-0.10387800696591484,0.0024845664638928314
Mauritius,3.9333524969890026e-05,52325511.0,1,0.0,-0.1129995052002715,0.0024845664638928314
Greece,3.6495545458019635e-05,48550138.0,1,0.0,0.016839601005919864,0.0024845664638928314
Iceland,3.320108426860404e-05,44167506.0,1,0.0,-0.0339370569851649,0.0024845664638928314
Romania,3.171881607731438e-05,42195640.0,1,0.0,0.11205797663400356,0.0024845664638928314
Russia,3.1693900703145805e-05,42162495.0,1,0.0,0.012492557804137827,0.0024845664638928314
New Zealand,2.268530648346045e-05,30178334.0,1,0.0,-0.02402517633132417,0.0024845664638928314
South Africa,2.1809191873029662e-05,29012836.0,1,0.0,-0.018754154414371085,0.0024845664638928314
Sri Lanka,2.0881302596397794e-05,27778462.0,1,0.0,0.015553768738879687,0.0024845664638928314
Bulgaria,2.0414364655323093e-05,27157293.0,1,0.0,-0.02941190893191388,0.0024845664638928314
Estonia,1.919198084280644e-05,25531152.0,1,0.0,-0.0479371063696745,0.0024845664638928314
Lithuania,1.63999292093778e-05,21816877.0,1,0.0,-0.02031983735824854,0.0024845664638928314
Andorra,1.5749824743109715e-05,20952041.0,1,0.0,0.03518368716573566,0.0024845664638928314
Slovenia,1.5154607015725107e-05,20160221.0,1,0.0,0.061558912746971915,0.0024845664638928314
Kenya,1.203209385567873e-05,16006332.0,1,0.0,0.08060465475648342,0.0024845664638928314
Marshall Islands,1.0682260894609187e-05,14210645.0,1,0.0,0.060446169773815825,0.0024845664638928314
Ukraine,9.286302355794643e-06,12353597.0,1,0.0,-0.04288923657574471,0.0024845664638928314
Cambodia,8.8582803574174e-06,11784198.0,1,0.0,-0.02995727061018046,0.0024845664638928314
Trinidad And Tobago,6.761374804521651e-06,8994678.0,1,0.0,0.08286995231361746,0.0024845664638928314
British Indian Ocean Territories,6.208730081090501e-06,8259493.0,1,0.0,0.0758060459683827,0.0024845664638928314
Macau,6.206248691736738e-06,8256192.0,1,0.0,0.0789043523187588,0.0024845664638928314
Belarus,6.087324667891821e-06,8097987.0,1,0.0,0.0979009061661752,0.0024845664638928314
Colombia,5.7599353734124745e-06,7662460.0,1,0.0,-0.040603983543477294,0.0024845664638928314
Croatia,5.706861755135261e-06,7591856.0,1,0.0,0.08019662357554123,0.0024845664638928314
Tunisia,4.589460031188083e-06,6105373.0,1,0.0,0.06042584993325059,0.0024845664638928314
United Arab Emirates,4.12780960683994e-06,5491238.0,1,0.0,0.014296304133625082,0.0024845664638928314
Latvia,3.7445292910849243e-06,4981359.0,1,0.0,-0.09659433435940591,0.0024845664638928314
Dominican Republic,3.6803333956558553e-06,4895959.0,1,0.0,0.060276584218062514,0.0024845664638928314
Panama,3.5471547258505e-06,4718791.0,1,0.0,0.06246200469702068,0.0024845664638928314
Papua New Guinea,3.4411225006778147e-06,4577736.0,1,0.0,0.005564951229637825,0.0024845664638928314
Serbia,3.154926825279416e-06,4197009.0,1,0.0,0.03457955795762322,0.0024845664638928314
Namibia,3.135068945073916e-06,4170592.0,1,0.0,-0.013885225306888013,0.0024845664638928314
Macedonia,3.101196965588742e-06,4125532.0,1,0.0,0.06566154732949951,0.0024845664638928314
Gabon,3.0931957816198076e-06,4114888.0,1,0.0,-0.09440471312257331,0.0024845664638928314
Armenia,2.703759725962348e-06,3596820.0,1,0.0,-0.07660403872994152,0.0024845664638928314
St Helena,2.5216470959140646e-06,3354555.0,1,0.0,-0.0780197621728967,0.0024845664638928314
Mali,2.159098897207453e-06,2872256.0,1,0.0,-0.09082308245966003,0.0024845664638928314
Opec,2.150397121030791e-06,2860680.0,1,0.0,-0.09838582275247272,0.0024845664638928314
Jordan,1.8003904248925474e-06,2395065.0,1,0.0,0.005265536812497718,0.0024845664638928314
Georgia,1.6843837812602795e-06,2240741.0,1,0.0,0.10711114695456973,0.0024845664638928314
Cote D'Ivoire,1.5796685491647803e-06,2101438.0,1,0.0,-0.1093981302470818,0.0024845664638928314
Argentina,1.5069204675261501e-06,2004661.0,1,0.0,0.03408141261991187,0.0024845664638928314
Azerbaijan,1.4128584465550159e-06,1879530.0,1,0.0,-0.054159499890795396,0.0024845664638928314
Venezuela,1.3951699967266622e-06,1855999.0,1,0.0,0.0658629594854742,0.0024845664638928314
Niger,1.312197177738779e-06,1745620.0,1,0.0,-0.09432726970502928,0.0024845664638928314
Sao Tome And Principe,1.3095895013776145e-06,1742151.0,1,0.0,0.07397476440008652,0.0024845664638928314
Montserrat,1.2213133797872479e-06,1624717.0,1,0.0,0.06107354981726111,0.0024845664638928314
Honduras,1.1354337045039993e-06,1510471.0,1,0.0,-0.10296059756965298,0.0024845664638928314
Gambia,1.129862793719165e-06,1503060.0,1,0.0,-0.07958680815828276,0.0024845664638928314
Ecuador,1.1038303809017869e-06,1468429.0,1,0.0,0.04080854982196154,0.0024845664638928314
Burma,1.0301411603746648e-06,1370400.0,1,0.0,-0.013573736502065286,0.0024845664638928314
Cyprus,1.003239020964647e-06,1334612.0,1,0.0,-0.03158578073941926,0.0024845664638928314
Cameroon,9.97861299232802e-07,1327458.0,1,0.0,-0.10571287362412365,0.0024845664638928314
Togo,9.734563350524724e-07,1294992.0,1,0.0,0.021541868306200616,0.0024845664638928314
Pakistan,9.66225652170362e-07,1285373.0,1,0.0,-0.03577701202045656,0.0024845664638928314
Cayman Islands,8.873774570492154e-07,1180481.0,1,0.0,-0.06511695152848734,0.0024845664638928314
Luxembourg,8.562401926409847e-07,1139059.0,1,0.0,-0.10292857714766841,0.0024845664638928314
Barbados,8.101236353965121e-07,1077710.0,1,0.0,-0.058947171691856474,0.0024845664638928314
Seychelles,8.034642508812179e-07,1068851.0,1,0.0,-0.020813351127960233,0.0024845664638928314
Djibouti,7.900244568018697e-07,1050972.0,1,0.0,0.041834196543484914,0.0024845664638928314
Albania,7.872205845542066e-07,1047242.0,1,0.0,0.1076281254934259,0.0024845664638928314
New Caledonia,7.633373059877853e-07,1015470.0,1,0.0,-0.06173627768108663,0.0024845664638928314
French Polynesia,7.536470332948564e-07,1002579.0,1,0.0,-0.020505160381439215,0.0024845664638928314
Saudi Arabia,7.345273307159526e-07,977144.0,1,0.0,-0.10464280385083564,0.0024845664638928314
Haiti,7.215731402483982e-07,959911.0,1,0.0,-0.10607952660225439,0.0024845664638928314
Peru,7.121301796116304e-07,947349.0,1,0.0,0.04680733282476729,0.0024845664638928314
St Vincent And The Grenadines,7.116768994600646e-07,946746.0,1,0.0,-0.016486626610975996,0.0024845664638928314
Rwanda,6.868637576308123e-07,913737.0,1,0.0,0.0801876766460191,0.0024845664638928314
Sierra Leone,6.772779724023405e-07,900985.0,1,0.0,0.011672390683167033,0.0024845664638928314
Eswatini,6.609425976532879e-07,879254.0,1,0.0,0.024501428157981394,0.0024845664638928314
El Salvador,6.31470367300975e-07,840047.0,1,0.0,0.011907999200633146,0.0024845664638928314
Turks And Caicos Islands,6.249538073773848e-07,831378.0,1,0.0,0.07731317911698377,0.0024845664638928314
Laos,5.953530348925384e-07,792000.0,1,0.0,0.023754936505696794,0.0024845664638928314
Senegal,5.901264065445487e-07,785047.0,1,0.0,0.03183054994822654,0.0024845664638928314
Botswana,5.333107839646904e-07,709465.0,1,0.0,0.06789027478597703,0.0024845664638928314
Liechtenstein,5.283765701755052e-07,702901.0,1,0.0,-0.10373140285092328,0.0024845664638928314
Timor-Leste,5.20675317849149e-07,692656.0,1,0.0,-0.06817895673746417,0.0024845664638928314
Monaco,5.122719698983111e-07,681477.0,1,0.0,0.045639635680603224,0.0024845664638928314
Maldives,4.483729992783108e-07,596472.0,1,0.0,0.067088135504255,0.0024845664638928314
Turkmenistan,4.3900370606252723e-07,584008.0,1,0.0,0.04288340758488682,0.0024845664638928314
Vanuatu,4.3039664514141665e-07,572558.0,1,0.0,-0.1115889760467617,0.0024845664638928314
Chad,4.049678541510823e-07,538730.0,1,0.0,0.06328558717394178,0.0024845664638928314
Mauritania,3.7584366477750087e-07,499986.0,1,0.0,0.04122317674647967,0.0024845664638928314
Kyrgyzstan,3.7577225248164887e-07,499891.0,1,0.0,-0.04520503875513582,0.0024845664638928314
Bolivia,3.202307756014658e-07,426004.0,1,0.0,-0.01448517117058493,0.0024845664638928314
Nigeria,3.1751635665071206e-07,422393.0,1,0.0,-0.00149034523628434,0.0024845664638928314
Angola,3.1547396498934463e-07,419676.0,1,0.0,-0.10613210522026281,0.0024845664638928314
Liberia,3.062076558212634e-07,407349.0,1,0.0,-0.059463549000129914,0.0024845664638928314
Tonga,3.045215739307786e-07,405106.0,1,0.0,0.014455678496267286,0.0024845664638928314
St Lucia,3.018048998548927e-07,401492.0,1,0.0,0.03889276946321679,0.0024845664638928314
Kuwait,2.9965275877042635e-07,398629.0,1,0.0,-0.0994158715016812,0.0024845664638928314
Bahrain,2.8769082336102617e-07,382716.0,1,0.0,0.009258379358237567,0.0024845664638928314
Montenegro,2.487365435363213e-07,330895.0,1,0.0,-0.0009951913671680857,0.0024845664638928314
Uzbekistan,2.451343569918705e-07,326103.0,1,0.0,0.10729834732033948,0.0024845664638928314
