phase,scenario,shocked_nodes,severity,original_supply_B,disrupted_supply_B,supply_gap_pct,substitution_absorbed_pct,most_affected_hs,description,scenario_type,quarter,quarter_start,quarter_end,lower_gap_pct,expected_gap_pct,upper_gap_pct,projection_band_width_pct,scenario_status
historical,top_1_supplier_failure,Malaysia,1.0,1330.3,1019.34,23.38,20.56,854231,,,,,,,,,,historical_backtest
historical,top_3_supplier_failure,"Malaysia, Taiwan, Korea, South",0.5,1330.3,1058.19,20.45,17.36,854231,,,,,,,,,,historical_backtest
historical,east_asia_moderate,"China, Taiwan, Japan, Korea, South, Malaysia, Vietnam, Thailand, Singapore",0.3,1330.3,1096.07,17.61,12.45,854232,,,,,,,,,,historical_backtest
historical,east_asia_severe,"China, Taiwan, Japan, Korea, South, Malaysia, Vietnam, Thailand, Singapore",0.7,1330.3,739.35,44.42,5.34,854232,,,,,,,,,,historical_backtest
historical,china_decoupling,China,1.0,1330.3,1327.9,0.18,96.23,848610,,,,,,,,,,historical_backtest
historical,taiwan_crisis,Taiwan,0.8,1330.3,1273.25,4.29,61.89,280461,,,,,,,,,,historical_backtest
forecast,baseline_moderate,"China, Taiwan, Japan, Korea, South, Malaysia, Vietnam, Thailand, Singapore",0.15,44.68,42.26,5.42,42.35,854232,Moderate ongoing East Asia friction,regional,2025Q1,2025-01-01,2025-03-31,4.18,5.42,6.65,2.47,out_of_sample
forecast,top_1_supplier_failure,Taiwan,1.0,44.68,37.89,15.2,38.06,854231,Top-1 supplier goes completely offline,top_supplier,2025Q1,2025-01-01,2025-03-31,12.13,15.2,15.2,3.07,out_of_sample
forecast,top_3_supplier_failure,"Taiwan, Malaysia, Israel",0.5,44.68,35.22,21.18,22.74,854231,Top-3 suppliers lose 50 % capacity simultaneously,top_supplier,2025Q1,2025-01-01,2025-03-31,17.67,21.18,24.69,7.02,out_of_sample
forecast,east_asia_severe,"China, Taiwan, Japan, Korea, South, Malaysia, Vietnam, Thailand, Singapore",0.7,44.68,27.36,38.77,11.6,854232,Severe East Asian disruption (70 %),regional,2025Q1,2025-01-01,2025-03-31,32.16,38.77,45.39,13.23,out_of_sample
forecast,baseline_moderate,"China, Taiwan, Japan, Korea, South, Malaysia, Vietnam, Thailand, Singapore",0.15,49.99,47.43,5.13,43.35,854232,Moderate ongoing East Asia friction,regional,2025Q2,2025-04-01,2025-06-30,3.89,5.13,6.38,2.49,out_of_sample
