series,date,value_usd,yoy_pct
all_countries,2010-01-01,1154791009.0,
all_countries,2010-02-01,1089990989.0,
all_countries,2010-03-01,1155487189.0,
all_countries,2010-04-01,1206014412.0,
all_countries,2010-05-01,1334846534.0,
all_countries,2010-06-01,1447818563.0,
all_countries,2010-07-01,1430070213.0,
all_countries,2010-08-01,1422565248.0,
all_countries,2010-09-01,1329432692.0,
all_countries,2010-10-01,1306318981.0,
all_countries,2010-11-01,1303741405.0,
all_countries,2010-12-01,1292421594.0,
all_countries,2011-01-01,1320047730.0,14.31
all_countries,2011-02-01,1201426612.0,10.22
all_countries,2011-03-01,1106304403.0,-4.26
all_countries,2011-04-01,1285151627.0,6.56
all_countries,2011-05-01,1393923288.0,4.43
all_countries,2011-06-01,1414217212.0,-2.32
all_countries,2011-07-01,1414707617.0,-1.07
all_countries,2011-08-01,1395144692.0,-1.93
all_countries,2011-09-01,1277806119.0,-3.88
all_countries,2011-10-01,1295277471.0,-0.85
all_countries,2011-11-01,1368001039.0,4.93
all_countries,2011-12-01,1372159053.0,6.17
all_countries,2012-01-01,1491695229.0,13.0
all_countries,2012-02-01,1193598912.0,-0.65
all_countries,2012-03-01,1241496958.0,12.22
all_countries,2012-04-01,1433096437.0,11.51
all_countries,2012-05-01,1499434482.0,7.57
all_countries,2012-06-01,1464894469.0,3.58
all_countries,2012-07-01,1551850904.0,9.69
all_countries,2012-08-01,1464997556.0,5.01
all_countries,2012-09-01,1374496663.0,7.57
all_countries,2012-10-01,1434254969.0,10.73
all_countries,2012-11-01,1404872919.0,2.7
all_countries,2012-12-01,1459240652.0,6.35
all_countries,2013-01-01,1531472618.0,2.67
all_countries,2013-02-01,1400490374.0,17.33
all_countries,2013-03-01,1193364149.0,-3.88
all_countries,2013-04-01,1430578185.0,-0.18
all_countries,2013-05-01,1530626129.0,2.08
all_countries,2013-06-01,1528770950.0,4.36
all_countries,2013-07-01,1622548215.0,4.56
all_countries,2013-08-01,1562785504.0,6.67
all_countries,2013-09-01,1486333483.0,8.14
all_countries,2013-10-01,1591052631.0,10.93
all_countries,2013-11-01,1568880048.0,11.67
all_countries,2013-12-01,1624430522.0,11.32
all_countries,2014-01-01,1682541086.0,9.86
all_countries,2014-02-01,1421846626.0,1.52
all_countries,2014-03-01,1399511907.0,17.27
all_countries,2014-04-01,1590766065.0,11.2
all_countries,2014-05-01,1674324718.0,9.39
all_countries,2014-06-01,1682017084.0,10.02
all_countries,2014-07-01,1709164417.0,5.34
all_countries,2014-08-01,1675794963.0,7.23
all_countries,2014-09-01,1705969249.0,14.78
all_countries,2014-10-01,1735023873.0,9.05
all_countries,2014-11-01,1662342715.0,5.96
all_countries,2014-12-01,1711426191.0,5.36
all_countries,2015-01-01,1703315523.0,1.23
all_countries,2015-02-01,1413629465.0,-0.58
all_countries,2015-03-01,1883955110.0,34.62
all_countries,2015-04-01,1675369942.0,5.32
all_countries,2015-05-01,1852568180.0,10.65
all_countries,2015-06-01,1911688023.0,13.65
all_countries,2015-07-01,1895381134.0,10.9
all_countries,2015-08-01,1861822546.0,11.1
all_countries,2015-09-01,1853861424.0,8.67
all_countries,2015-10-01,1955060919.0,12.68
all_countries,2015-11-01,1914363828.0,15.16
all_countries,2015-12-01,1899230371.0,10.97
all_countries,2016-01-01,1870480670.0,9.81
all_countries,2016-02-01,1879499183.0,32.96
all_countries,2016-03-01,1579519511.0,-16.16
all_countries,2016-04-01,1799050998.0,7.38
all_countries,2016-05-01,2008238950.0,8.4
all_countries,2016-06-01,1964799427.0,2.78
all_countries,2016-07-01,1930789112.0,1.87
all_countries,2016-08-01,1987045167.0,6.73
all_countries,2016-09-01,1901128319.0,2.55
all_countries,2016-10-01,1943531081.0,-0.59
all_countries,2016-11-01,2009473620.0,4.97
all_countries,2016-12-01,2050893168.0,7.99
all_countries,2017-01-01,2151863175.0,15.04
all_countries,2017-02-01,1799593152.0,-4.25
all_countries,2017-03-01,1761506373.0,11.52
all_countries,2017-04-01,2092965326.0,16.34
all_countries,2017-05-01,2255047512.0,12.29
all_countries,2017-06-01,2150559383.0,9.45
all_countries,2017-07-01,2134168741.0,10.53
all_countries,2017-08-01,2103205247.0,5.85
all_countries,2017-09-01,2007364503.0,5.59
all_countries,2017-10-01,2110261433.0,8.58
all_countries,2017-11-01,2145597135.0,6.77
all_countries,2017-12-01,2169037104.0,5.76
all_countries,2018-01-01,2265574629.0,5.28
all_countries,2018-02-01,2108201334.0,17.15
all_countries,2018-03-01,1938693187.0,10.06
all_countries,2018-04-01,2063156207.0,-1.42
all_countries,2018-05-01,2318116614.0,2.8
all_countries,2018-06-01,2323890805.0,8.06
all_countries,2018-07-01,2364931649.0,10.81
all_countries,2018-08-01,2281013737.0,8.45
all_countries,2018-09-01,2143091354.0,6.76
all_countries,2018-10-01,2330984005.0,10.46
all_countries,2018-11-01,2319095427.0,8.09
all_countries,2018-12-01,2534861391.0,16.87
all_countries,2019-01-01,2245891992.0,-0.87
all_countries,2019-02-01,1934678713.0,-8.23
all_countries,2019-03-01,1808934818.0,-6.69
all_countries,2019-04-01,2009522025.0,-2.6
all_countries,2019-05-01,2347635200.0,1.27
all_countries,2019-06-01,2116312118.0,-8.93
all_countries,2019-07-01,2350936543.0,-0.59
all_countries,2019-08-01,2121952154.0,-6.97
all_countries,2019-09-01,2068563502.0,-3.48
all_countries,2019-10-01,2131256530.0,-8.57
all_countries,2019-11-01,1999905525.0,-13.76
all_countries,2019-12-01,2141955337.0,-15.5
all_countries,2020-01-01,2255246673.0,0.42
all_countries,2020-02-01,1910809172.0,-1.23
all_countries,2020-03-01,1669561948.0,-7.7
all_countries,2020-04-01,1721590119.0,-14.33
all_countries,2020-05-01,1509043895.0,-35.72
all_countries,2020-06-01,1760766322.0,-16.8
all_countries,2020-07-01,2234634372.0,-4.95
all_countries,2020-08-01,2411709832.0,13.66
all_countries,2020-09-01,2465946476.0,19.21
all_countries,2020-10-01,2519889287.0,18.23
all_countries,2020-11-01,2550897445.0,27.55
all_countries,2020-12-01,2639723462.0,23.24
all_countries,2021-01-01,2656163346.0,17.78
all_countries,2021-02-01,2260433146.0,18.3
all_countries,2021-03-01,2665624150.0,59.66
all_countries,2021-04-01,2618125532.0,52.08
all_countries,2021-05-01,2816141916.0,86.62
all_countries,2021-06-01,2788411989.0,58.36
all_countries,2021-07-01,2756502926.0,23.35
all_countries,2021-08-01,2821845953.0,17.01
all_countries,2021-09-01,2538822862.0,2.96
all_countries,2021-10-01,2368908950.0,-5.99
all_countries,2021-11-01,2340486315.0,-8.25
all_countries,2021-12-01,2658367642.0,0.71
all_countries,2022-01-01,2886935389.0,8.69
all_countries,2022-02-01,2665030668.0,17.9
all_countries,2022-03-01,3251264932.0,21.97
all_countries,2022-04-01,3115811008.0,19.01
all_countries,2022-05-01,3369736161.0,19.66
all_countries,2022-06-01,3223130021.0,15.59
all_countries,2022-07-01,2939271302.0,6.63
all_countries,2022-08-01,2938356236.0,4.13
all_countries,2022-09-01,2813323882.0,10.81
all_countries,2022-10-01,2831147435.0,19.51
all_countries,2022-11-01,2556003812.0,9.21
all_countries,2022-12-01,2453339137.0,-7.71
all_countries,2023-01-01,2612323671.0,-9.51
all_countries,2023-02-01,2149745823.0,-19.34
all_countries,2023-03-01,2094865192.0,-35.57
all_countries,2023-04-01,2238400839.0,-28.16
all_countries,2023-05-01,2396728839.0,-28.87
all_countries,2023-06-01,2355388135.0,-26.92
all_countries,2023-07-01,2339952119.0,-20.39
all_countries,2023-08-01,2370664977.0,-19.32
all_countries,2023-09-01,2235086315.0,-20.55
all_countries,2023-10-01,2446539005.0,-13.58
all_countries,2023-11-01,2345878486.0,-8.22
all_countries,2023-12-01,2309061145.0,-5.88
all_countries,2024-01-01,2352813856.0,-9.93
all_countries,2024-02-01,2369924909.0,10.24
all_countries,2024-03-01,2314710400.0,10.49
all_countries,2024-04-01,2253031370.0,0.65
all_countries,2024-05-01,2484797233.0,3.67
all_countries,2024-06-01,2433016763.0,3.3
all_countries,2024-07-01,2563632620.0,9.56
all_countries,2024-08-01,2460385374.0,3.78
all_countries,2024-09-01,2536051099.0,13.47
all_countries,2024-10-01,2595276191.0,6.08
all_countries,2024-11-01,2449968490.0,4.44
all_countries,2024-12-01,2489057472.0,7.8
all_countries,2025-01-01,2629578881.0,11.76
all_countries,2025-02-01,2341771860.0,-1.19
all_countries,2025-03-01,2363264349.0,2.1
all_countries,2025-04-01,2294308949.0,1.83
all_countries,2025-05-01,2233958462.0,-10.09
all_countries,2025-06-01,2138800468.0,-12.09
all_countries,2025-07-01,2330212145.0,-9.11
all_countries,2025-08-01,2148728776.0,-12.67
all_countries,2025-09-01,2068044241.0,-18.45
all_countries,2025-10-01,1951539473.0,-24.8
all_countries,2025-11-01,1898082231.0,-22.53
all_countries,2025-12-01,2110655350.0,-15.2
asia_selected_group,2010-01-01,809226506.0,
asia_selected_group,2010-02-01,733834658.0,
asia_selected_group,2010-03-01,714499392.0,
asia_selected_group,2010-04-01,768566023.0,
asia_selected_group,2010-05-01,890541094.0,
asia_selected_group,2010-06-01,977526114.0,
asia_selected_group,2010-07-01,963738472.0,
asia_selected_group,2010-08-01,954172786.0,
asia_selected_group,2010-09-01,902300570.0,
asia_selected_group,2010-10-01,855141198.0,
asia_selected_group,2010-11-01,862683037.0,
asia_selected_group,2010-12-01,875356264.0,
asia_selected_group,2011-01-01,919631736.0,13.64
asia_selected_group,2011-02-01,819904587.0,11.73
asia_selected_group,2011-03-01,640282834.0,-10.39
asia_selected_group,2011-04-01,832339213.0,8.3
asia_selected_group,2011-05-01,920984256.0,3.42
asia_selected_group,2011-06-01,908973752.0,-7.01
asia_selected_group,2011-07-01,918654723.0,-4.68
asia_selected_group,2011-08-01,902743222.0,-5.39
asia_selected_group,2011-09-01,823346390.0,-8.75
asia_selected_group,2011-10-01,812734411.0,-4.96
asia_selected_group,2011-11-01,896288977.0,3.9
asia_selected_group,2011-12-01,921995057.0,5.33
asia_selected_group,2012-01-01,1055054577.0,14.73
asia_selected_group,2012-02-01,778716751.0,-5.02
asia_selected_group,2012-03-01,763650203.0,19.27
asia_selected_group,2012-04-01,956145648.0,14.87
asia_selected_group,2012-05-01,1003301100.0,8.94
asia_selected_group,2012-06-01,987066541.0,8.59
asia_selected_group,2012-07-01,1046099961.0,13.87
asia_selected_group,2012-08-01,950247162.0,5.26
asia_selected_group,2012-09-01,912908810.0,10.88
asia_selected_group,2012-10-01,923569277.0,13.64
asia_selected_group,2012-11-01,918288413.0,2.45
asia_selected_group,2012-12-01,1008191729.0,9.35
asia_selected_group,2013-01-01,1076016526.0,1.99
asia_selected_group,2013-02-01,980744352.0,25.94
asia_selected_group,2013-03-01,711294637.0,-6.86
asia_selected_group,2013-04-01,912429610.0,-4.57
asia_selected_group,2013-05-01,1009977628.0,0.67
asia_selected_group,2013-06-01,998311481.0,1.14
asia_selected_group,2013-07-01,1063297599.0,1.64
asia_selected_group,2013-08-01,1004416081.0,5.7
asia_selected_group,2013-09-01,962248684.0,5.4
asia_selected_group,2013-10-01,1026490077.0,11.14
asia_selected_group,2013-11-01,1018526892.0,10.92
asia_selected_group,2013-12-01,1097613725.0,8.87
asia_selected_group,2014-01-01,1203681861.0,11.86
asia_selected_group,2014-02-01,965077049.0,-1.6
asia_selected_group,2014-03-01,839019583.0,17.96
asia_selected_group,2014-04-01,1027416596.0,12.6
