from_origin,to_port,mode,capacity,unit_cost,lead_time,is_air,flow_usd,strategy,scenario
ORIGIN_ASIA,PORT_LA_LB,ocean,10046400000.000002,0.014,18.0,False,10046400000.000002,Baseline,baseline
ORIGIN_ASIA,PORT_LA_LB,air,655200000.0000001,0.095,2.0,True,0.0,Baseline,baseline
ORIGIN_ASIA,PORT_HOU,ocean,3091200000.000001,0.014,18.0,False,1603999999.999997,Baseline,baseline
ORIGIN_ASIA,PORT_HOU,air,201600000.00000006,0.095,2.0,True,0.0,Baseline,baseline
ORIGIN_ASIA,PORT_NY_NJ,ocean,2318400000.0000005,0.014,18.0,False,621599999.9999995,Baseline,baseline
ORIGIN_ASIA,PORT_NY_NJ,air,151200000.00000003,0.095,2.0,True,0.0,Baseline,baseline
ORIGIN_EU,PORT_LA_LB,ocean,441600000.00000024,0.014,18.0,False,441600000.00000024,Baseline,baseline
ORIGIN_EU,PORT_LA_LB,air,28800000.000000015,0.095,2.0,True,0.0,Baseline,baseline
ORIGIN_EU,PORT_HOU,ocean,1104000000.0000005,0.014,18.0,False,1104000000.0000005,Baseline,baseline
ORIGIN_EU,PORT_HOU,air,72000000.00000003,0.095,2.0,True,0.0,Baseline,baseline
ORIGIN_EU,PORT_NY_NJ,ocean,2870400000.0000014,0.014,18.0,False,2870400000.0000014,Baseline,baseline
ORIGIN_EU,PORT_NY_NJ,air,187200000.0000001,0.095,2.0,True,0.0,Baseline,baseline
ORIGIN_AMERICAS,PORT_LA_LB,ocean,662400000.0000002,0.014,18.0,False,662400000.0000002,Baseline,baseline
ORIGIN_AMERICAS,PORT_LA_LB,air,43200000.000000015,0.095,2.0,True,0.0,Baseline,baseline
ORIGIN_AMERICAS,PORT_HOU,ocean,1821600000.0000007,0.014,18.0,False,1821600000.0000007,Baseline,baseline
ORIGIN_AMERICAS,PORT_HOU,air,118800000.00000004,0.095,2.0,True,0.0,Baseline,baseline
ORIGIN_AMERICAS,PORT_NY_NJ,ocean,828000000.0000002,0.014,18.0,False,828000000.0000002,Baseline,baseline
ORIGIN_AMERICAS,PORT_NY_NJ,air,54000000.000000015,0.095,2.0,True,0.0,Baseline,baseline
