segment_id,mode,cost_bin,capacity_bin,reliability_bin,lane_count,capacity,unit_cost,transit_days,reliability,allocation,utilization,objective_score
truck|cost_4|cap_10|rel_2,truck,cost_4,cap_10,rel_2,151,61350.1072,0.16708577509941858,1.0,0.0,61350.1072,1.0,0.38799180616431544
truck|cost_4|cap_10|rel_1,truck,cost_4,cap_10,rel_1,155,58370.7747,0.1671782155537446,1.0,0.0,58370.7747,1.0,0.3881917600196178
truck|cost_5|cap_10|rel_2,truck,cost_5,cap_10,rel_2,129,44572.4611,0.1736420376410458,1.0,0.0,44572.4611,1.0,0.40217336748539356
truck|cost_3|cap_10|rel_2,truck,cost_3,cap_10,rel_2,117,42896.5944,0.1608576602606575,1.0,0.0,42896.5944,1.0,0.37452004661536287
truck|cost_3|cap_10|rel_1,truck,cost_3,cap_10,rel_1,109,35562.9974,0.16145228876175555,1.0,0.0,35562.9974,1.0,0.37580626120760063
truck|cost_2|cap_10|rel_1,truck,cost_2,cap_10,rel_1,101,29031.3682,0.15590976451921032,1.0,0.0,29031.3682,1.0,0.3638174723328176
truck|cost_5|cap_10|rel_1,truck,cost_5,cap_10,rel_1,92,26749.1065,0.17389586192173526,1.0,0.0,26749.1065,1.0,0.4027224035525921
truck|cost_2|cap_10|rel_2,truck,cost_2,cap_10,rel_2,99,26473.4961,0.1548884608586003,1.0,4.883555436896162e-05,26473.4961,1.0,0.3615973002825843
truck|cost_6|cap_10|rel_1,truck,cost_6,cap_10,rel_1,78,18178.014,0.18077389869216764,1.0,0.0,18178.014,1.0,0.4175999804661469
truck|cost_6|cap_10|rel_2,truck,cost_6,cap_10,rel_2,51,6694.9556,0.18178974817722524,1.0,0.0,6694.9556,1.0,0.41979731952538385
truck|cost_7|cap_10|rel_1,truck,cost_7,cap_10,rel_1,38,5669.9018,0.19365887876041415,1.0,0.0,5669.9018,1.0,0.4454709105575698
truck|cost_1|cap_10|rel_1,truck,cost_1,cap_10,rel_1,23,5667.6937,0.14702075626224248,1.0,0.0,5667.6937,1.0,0.3445900520031137
truck|cost_1|cap_10|rel_2,truck,cost_1,cap_10,rel_2,15,4497.503,0.1478423602774071,1.0,0.0,4497.503,1.0,0.34636722728380487
truck|cost_10|cap_10|rel_2,truck,cost_10,cap_10,rel_2,17,2320.9433,0.27307972363270994,1.0,0.0,2320.9433,1.0,0.6172626249035227
truck|cost_7|cap_10|rel_2,truck,cost_7,cap_10,rel_2,15,2058.4296,0.19409055393357327,1.0,0.0,2058.4296,1.0,0.4464046480185202
truck|cost_4|cap_10|rel_5,truck,cost_4,cap_10,rel_5,18,1868.5398,0.16651469833631988,1.0,0.7380228581342148,1868.5398,1.0,0.21998649171385726
truck|cost_2|cap_9|rel_1,truck,cost_2,cap_9,rel_1,59,1859.3654000000001,0.15420476251346343,1.0,0.0,1859.3654000000001,1.0,0.3601294579582347
truck|cost_5|cap_9|rel_1,truck,cost_5,cap_9,rel_1,61,1784.4209,0.1739190680398584,1.0,0.0,1784.4209,1.0,0.4027725996795925
truck|cost_3|cap_9|rel_1,truck,cost_3,cap_9,rel_1,62,1694.6552,0.1613589632296021,1.0,0.0,1694.6552,1.0,0.37560439287962366
truck|cost_3|cap_10|rel_4,truck,cost_3,cap_10,rel_4,7,1488.3761,0.16016014322938285,1.0,0.4418697912010338,1488.3761,1.0,0.27316254942752616
truck|cost_8|cap_10|rel_2,truck,cost_8,cap_10,rel_2,4,1450.681,0.2078498114391848,1.0,0.0,1450.681,1.0,0.4761666889388499
truck|cost_4|cap_9|rel_2,truck,cost_4,cap_9,rel_2,42,1435.7386,0.16708522608303958,1.0,0.00011965612518637619,1435.7386,1.0,0.38796358007583653
truck|cost_2|cap_10|rel_5,truck,cost_2,cap_10,rel_5,13,1409.3174,0.15443607181387825,1.0,0.7599851775341118,1409.3174,1.0,0.1888969531859678
truck|cost_7|cap_9|rel_1,truck,cost_7,cap_9,rel_1,47,1361.0016,0.19087367917467704,1.0,0.0,1361.0016,1.0,0.43944636860767267
truck|cost_4|cap_9|rel_1,truck,cost_4,cap_9,rel_1,48,1298.1867,0.1671824851184888,1.0,0.0,1298.1867,1.0,0.3882009953261434
truck|cost_6|cap_9|rel_1,truck,cost_6,cap_9,rel_1,54,1278.2211,0.1818832970075626,1.0,0.0,1278.2211,1.0,0.4199996708597792
truck|cost_10|cap_9|rel_2,truck,cost_10,cap_9,rel_2,43,1193.8756,0.2745792365638344,1.0,0.0,1193.8756,1.0,0.6205061549558157
truck|cost_8|cap_9|rel_1,truck,cost_8,cap_9,rel_1,37,1177.4331,0.20608781743467394,1.0,0.0,1177.4331,1.0,0.47235539769422846
truck|cost_9|cap_9|rel_2,truck,cost_9,cap_9,rel_2,39,1173.3572,0.23082033830690235,1.0,5.74054682891641e-05,1173.3572,1.0,0.5258402470846946
truck|cost_8|cap_10|rel_1,truck,cost_8,cap_10,rel_1,7,1147.0965,0.20304702230839192,1.0,0.0,1147.0965,1.0,0.46577798834333617
truck|cost_5|cap_9|rel_2,truck,cost_5,cap_9,rel_2,33,1093.1787,0.17446025033959256,1.0,0.0,1093.1787,1.0,0.40394320715920956
truck|cost_5|cap_9|rel_5,truck,cost_5,cap_9,rel_5,48,1084.0625,0.17374649113852347,1.0,0.7725051906070194,1084.0625,1.0,0.22783733583974156
truck|cost_1|cap_9|rel_1,truck,cost_1,cap_9,rel_1,40,1062.7652,0.14256624408210314,1.0,0.0,1062.7652,1.0,0.3349546938646862
truck|cost_9|cap_10|rel_2,truck,cost_9,cap_10,rel_2,11,1022.4313,0.22747672550858208,1.0,0.0,1022.4313,1.0,0.5186207980675557
truck|cost_7|cap_9|rel_2,truck,cost_7,cap_9,rel_2,32,1010.9969,0.19186286198346947,1.0,0.0,1010.9969,1.0,0.44158602615975784
truck|cost_5|cap_10|rel_4,truck,cost_5,cap_10,rel_4,5,993.101,0.1725894825724267,1.0,0.39370738614277856,993.101,1.0,0.31093109784146267
truck|cost_2|cap_9|rel_2,truck,cost_2,cap_9,rel_2,30,955.0866,0.15543548298695092,1.0,5.147524241752666e-05,955.0866,1.0,0.3627799431502114
truck|cost_3|cap_9|rel_5,truck,cost_3,cap_9,rel_5,26,904.6229,0.1609174703041084,1.0,0.7918234969907262,904.6229,1.0,0.1957221166927309
truck|cost_9|cap_9|rel_1,truck,cost_9,cap_9,rel_1,32,897.3998,0.22600563739612922,1.0,0.0,897.3998,1.0,0.5154387524824378
truck|cost_8|cap_9|rel_2,truck,cost_8,cap_9,rel_2,34,893.8697,0.2068766348520775,1.0,0.00026395375176929995,893.8697,1.0,0.4740020084582577
