segment_id,mode,cost_bin,capacity_bin,reliability_bin,lane_count,capacity,unit_cost,transit_days,reliability
truck|cost_10|cap_3|rel_1,truck,cost_10,cap_3,rel_1,25,1.3105126,0.3237199338791328,1.0,0.0
truck|cost_10|cap_7|rel_1,truck,cost_10,cap_7,rel_1,26,85.64479,0.28576855592527617,1.0,0.0
truck|cost_10|cap_1|rel_1,truck,cost_10,cap_1,rel_1,51,0.03502622856,0.2833197270368628,1.0,0.0
truck|cost_10|cap_10|rel_1,truck,cost_10,cap_10,rel_1,5,758.6193000000001,0.28297528045190296,1.0,0.0
truck|cost_10|cap_8|rel_1,truck,cost_10,cap_8,rel_1,20,133.63747,0.28138856480288477,1.0,0.0
truck|cost_10|cap_5|rel_1,truck,cost_10,cap_5,rel_1,24,10.736063,0.2812139430996224,1.0,0.0
truck|cost_10|cap_8|rel_2,truck,cost_10,cap_8,rel_2,29,212.06187,0.2796829399477636,1.0,0.0
truck|cost_10|cap_6|rel_1,truck,cost_10,cap_6,rel_1,37,47.963317,0.27820447258828634,1.0,0.0
truck|cost_10|cap_9|rel_1,truck,cost_10,cap_9,rel_1,19,450.94710000000003,0.27620112498770155,1.0,0.0
truck|cost_10|cap_4|rel_1,truck,cost_10,cap_4,rel_1,37,5.719518,0.27604499494558954,1.0,0.0
truck|cost_10|cap_9|rel_2,truck,cost_10,cap_9,rel_2,43,1193.8756,0.2745792365638344,1.0,0.0
truck|cost_10|cap_10|rel_2,truck,cost_10,cap_10,rel_2,17,2320.9433,0.27307972363270994,1.0,0.0
truck|cost_10|cap_2|rel_1,truck,cost_10,cap_2,rel_1,25,0.29965872,0.27227612091842324,1.0,0.0
truck|cost_9|cap_5|rel_1,truck,cost_9,cap_5,rel_1,10,4.414198,0.23116226286157024,1.0,0.0
truck|cost_9|cap_4|rel_1,truck,cost_9,cap_4,rel_1,42,6.4715002,0.22852124201929583,1.0,0.0
truck|cost_9|cap_2|rel_1,truck,cost_9,cap_2,rel_1,33,0.52258857,0.22846685099523645,1.0,0.0
truck|cost_9|cap_6|rel_1,truck,cost_9,cap_6,rel_1,33,39.885688,0.22834560730077078,1.0,0.0
truck|cost_9|cap_3|rel_1,truck,cost_9,cap_3,rel_1,17,1.0070461,0.22802498764906676,1.0,0.0
truck|cost_9|cap_8|rel_1,truck,cost_9,cap_8,rel_1,9,73.33830999999999,0.2278390919632611,1.0,0.0
truck|cost_9|cap_10|rel_2,truck,cost_9,cap_10,rel_2,11,1022.4313,0.22747672550858208,1.0,0.0
truck|cost_9|cap_9|rel_1,truck,cost_9,cap_9,rel_1,32,897.3998,0.22600563739612922,1.0,0.0
truck|cost_9|cap_6|rel_2,truck,cost_9,cap_6,rel_2,34,40.850904,0.22435488461045958,1.0,0.0
