strategy,scenario,constraint,constraint_type,slack,shadow_price
Cost-Minimizing,stress,lane_capacity::PORT_TO_DC::PORT_LA_LB->DC_WEST::rail,lane_capacity,0.0,0.013100000000000007
Cost-Minimizing,stress,lane_capacity::PORT_TO_DC::PORT_HOU->DC_WEST::rail,lane_capacity,0.0,0.013100000000000007
Cost-Minimizing,stress,lane_capacity::PORT_TO_DC::PORT_NY_NJ->DC_WEST::rail,lane_capacity,0.0,0.013100000000000007
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->TX::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->MN::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->IL::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->WI::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->MI::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->OH::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->IA::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->MO::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->IN::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->KS::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->OK::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->NE::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->SD::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->ND::rail,lane_capacity,0.0,0.013100000000000004
Cost-Minimizing,stress,lane_capacity::PORT_TO_DC::PORT_LA_LB->DC_EAST::rail,lane_capacity,0.0,0.012400000000000001
Cost-Minimizing,stress,lane_capacity::PORT_TO_DC::PORT_HOU->DC_EAST::rail,lane_capacity,0.0,0.012400000000000001
Cost-Minimizing,stress,lane_capacity::PORT_TO_DC::PORT_NY_NJ->DC_EAST::rail,lane_capacity,0.0,0.012400000000000001
Cost-Minimizing,stress,lane_capacity::PORT_TO_DC::PORT_LA_LB->DC_WEST::truck,lane_capacity,0.0,0.006900000000000007
Cost-Minimizing,stress,lane_capacity::PORT_TO_DC::PORT_HOU->DC_WEST::truck,lane_capacity,0.0,0.006900000000000007
Cost-Minimizing,stress,lane_capacity::PORT_TO_DC::PORT_NY_NJ->DC_WEST::truck,lane_capacity,0.0,0.006900000000000007
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->TX::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->MN::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->IL::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->WI::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->MI::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->OH::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->IA::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->MO::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->IN::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->KS::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->OK::truck,lane_capacity,0.0,0.006900000000000003
Cost-Minimizing,stress,lane_capacity::DC_TO_STATE::DC_CENTRAL->NE::truck,lane_capacity,0.0,0.006900000000000003
