faf_state,faf_zone,border_state_1,border_state_2,faf_country,lane_count,capacity,unit_cost,transit_days,reliability,capacity_share,capacity_share_pct
NJ,341,PA,NJ,USA,303,15625.58353674,0.228877889148199,1.0,0.10689978902817586,0.03569393391843834,3.5693933918438345
AZ,49,NM,AZ,USA,45,9294.189787326999,0.17588408014131635,1.0,0.13615957963473285,0.021230963651005342,2.123096365100534
OK,409,TX,OK,USA,117,7882.23766204341,0.16345962401609143,1.0,0.2684185726419107,0.018005604051642456,1.8005604051642456
IA,190,IA,NE,USA,178,7781.1247514543,0.16579141119145094,1.0,0.18534597948413534,0.017774629154584522,1.7774629154584523
AR,50,TN,AR,USA,16,6916.30384,0.15736493990140157,1.0,0.0,0.015799095863801987,1.5799095863801988
MD,249,WV,MD,USA,136,6749.87487030086,0.1891930859281805,1.0,0.18253475775702038,0.015418917764687342,1.541891776468734
AZ,49,CA,AZ,USA,18,6714.2451886,0.1804936740253186,1.0,0.16405308538040733,0.01533752794003374,1.533752794003374
TN,479,TN,GA,USA,38,6365.3111858521,0.17891179518755154,1.0,0.26607058493309593,0.014540448764929973,1.4540448764929972
IN,181,IN,IL,USA,44,6148.811271242,0.1727826194810479,1.0,0.1959256016464975,0.014045892281501982,1.4045892281501982
CA,61,CA,AZ,USA,17,6036.2749943,0.17874399959366735,1.0,0.08685163343668624,0.013788822686427334,1.3788822686427333
IN,189,IN,OH,USA,65,5905.21873141,0.1689605220433321,1.0,0.0620967399660109,0.013489447397421707,1.3489447397421706
MO,299,MO,OK,USA,22,5627.9852033355,0.16465297030921835,1.0,0.1349752875269684,0.012856155513774635,1.2856155513774634
NM,350,TX,NM,USA,80,5518.60154481465,0.1648115428160138,1.0,0.26828308986701355,0.012606287528376196,1.2606287528376197
PA,423,PA,NJ,USA,100,5475.6890747180005,0.2082998263821738,1.0,0.23877380732899198,0.012508261437490995,1.2508261437490995
IL,171,IN,IL,USA,38,4759.221040476,0.18040890890884742,1.0,0.155557600815407,0.010871614549470655,1.0871614549470654
IN,183,IN,MI,USA,12,4728.16784,0.1644271635998392,1.0,0.0,0.010800678901970503,1.0800678901970502
NM,350,NM,AZ,USA,33,4717.870137297,0.17756411258553353,1.0,0.18058022887272193,0.010777155587213753,1.0777155587213754
OR,419,WA,OR,USA,100,4606.23372248,0.1772620222907242,1.0,0.176645974782879,0.010522141571001167,1.0522141571001167
GA,139,TN,GA,USA,45,4528.6638995521,0.17748877089797083,1.0,0.46409637271422444,0.010344946772026568,1.0344946772026569
MO,292,MO,IL,USA,45,4457.869916085,0.16672807439511314,1.0,0.11245374872049191,0.010183230202417745,1.0183230202417746
MS,280,MS,AL,USA,83,4308.564451912,0.17876847344460217,1.0,0.39646023449449674,0.009842167780056225,0.9842167780056225
IL,172,MO,IL,USA,43,4289.170976936,0.17046619578374944,1.0,0.08869853526401679,0.009797866752026483,0.9797866752026483
OH,399,IN,OH,USA,50,4278.997926494711,0.1688613785187438,1.0,0.23050783194625118,0.009774628183729398,0.9774628183729398
NV,321,NV,CA,USA,22,4201.8874728731,0.17658443833122672,1.0,0.11852237039746823,0.009598482734215848,0.9598482734215849
KY,219,TN,KY,USA,72,3965.57899541,0.1689625708021566,1.0,0.3479372176870846,0.009058677026537655,0.9058677026537655
WI,559,WI,IL,USA,58,3887.0235329199,0.18992530549625486,1.0,0.24522490578373682,0.008879230705031573,0.8879230705031573
IL,179,IN,IL,USA,93,3847.821899476,0.16806274593219642,1.0,0.3931242056339286,0.00878968137649921,0.8789681376499211
OH,399,WV,OH,USA,617,3842.3040367175,0.19322966526101837,1.0,0.16728893782900323,0.008777076776599961,0.8777076776599961
AL,19,MS,AL,USA,77,3809.604126995,0.1781231756492338,1.0,0.4377908930094758,0.008702379507596891,0.8702379507596891
OK,409,OK,KS,USA,79,3770.426181144,0.15772992834301333,1.0,0.26440359139900393,0.008612884289259753,0.8612884289259752
AR,50,MO,AR,USA,80,3741.682701958,0.1558097274971671,1.0,0.44968461155153355,0.008547224799216466,0.8547224799216466
VA,519,WV,VA,USA,97,3656.66159188955,0.1810696302611477,1.0,0.31685791753465914,0.00835300882786922,0.8353008827869219
TX,489,TX,OK,USA,89,3619.1777281364098,0.16391264333481412,1.0,0.3204610787225437,0.008267383446092822,0.8267383446092822
IN,189,IN,MI,USA,35,3618.9524212692,0.17043480386430743,1.0,0.21663685624310425,0.008266868771654544,0.8266868771654544
OR,411,WA,OR,USA,51,3617.35286,0.16875794676719158,1.0,0.03334809810923801,0.008263214851523685,0.8263214851523685
IN,189,IN,IL,USA,65,3609.484778416,0.17202184288352787,1.0,0.38080575288067614,0.00824524158457568,0.824524158457568
PA,429,PA,MD,USA,71,3580.622315009,0.20481453898297167,1.0,0.327636075910521,0.008179310295728099,0.8179310295728098
VA,519,VA,NC,USA,133,3559.10939974364,0.1829535288162994,1.0,0.1648722255518556,0.008130167774165994,0.8130167774165994
NJ,341,NY,NJ,USA,46,3541.0170714899996,0.2537979377461799,1.0,0.21412290804704134,0.008088838990021855,0.8088838990021855
TN,479,VA,TN,USA,56,3458.0021598499998,0.17532018433799795,1.0,0.2173225499100206,0.007899205830827765,0.7899205830827766
VA,519,VA,TN,USA,59,3456.552815056,0.17554380135314573,1.0,0.29346951467758786,0.007895895054165863,0.7895895054165862
MD,249,PA,MD,USA,50,3450.3759227279998,0.19715728249138742,1.0,0.2484469268745614,0.007881785015583396,0.7881785015583396
TX,489,TX,NM,USA,55,3291.7084386146503,0.16230875588804042,1.0,0.2764869661129028,0.007519336683357569,0.7519336683357569
AL,19,GA,AL,USA,88,3232.88845585229,0.17632916613182822,1.0,0.3206482059962722,0.007384972640384912,0.7384972640384911
MS,280,LA,MS,USA,48,3217.7002974244,0.18524074578193472,1.0,0.16722957319986653,0.007350277928216679,0.735027792821668
IN,189,IN,KY,USA,144,3212.71056399,0.18107153724919484,1.0,0.2149817631677431,0.00733887974810652,0.7338879748106519
TN,471,TN,AR,USA,8,3210.51766,0.15910177619483207,1.0,0.0,0.007333870439498973,0.7333870439498973
TN,479,TN,KY,USA,84,3112.0114757466,0.16544920621014833,1.0,0.3346853620666572,0.007108850156382433,0.7108850156382432
NY,369,PA,NY,USA,184,3074.80794452985,0.20149467375474736,1.0,0.16798768727468735,0.007023865145636378,0.7023865145636378
TX,484,TX,OK,USA,20,3064.512453745,0.16020550291315594,1.0,0.066142959863564,0.007000346883622786,0.7000346883622787
SC,459,NC,SC,USA,87,2956.2140704587,0.20488487398962155,1.0,0.24777784385939758,0.006752958021158492,0.6752958021158493
WV,540,WV,VA,USA,128,2939.88984721276,0.18340206897980857,1.0,0.31263321814401507,0.006715668166066655,0.6715668166066655
PA,429,PA,OH,USA,29,2929.11512919824,0.1893037982179291,1.0,0.2156119314093562,0.006691055192612205,0.6691055192612205
NY,363,NY,NJ,USA,58,2857.98074562,0.23628334421133082,1.0,0.1468065269610503,0.006528561038022682,0.6528561038022682
IA,190,IA,IL,USA,108,2837.03984267293,0.1732979951938532,1.0,0.17913821488973858,0.0064807251793344185,0.6480725179334419
OR,419,ID,OR,USA,75,2808.9220422045,0.16868365855466078,1.0,0.06801451394363525,0.006416494943740839,0.6416494943740839
OH,399,PA,OH,USA,28,2727.3478645529,0.18511734788436376,1.0,0.33143898897583624,0.006230152891317583,0.6230152891317583
LA,223,LA,MS,USA,30,2699.1946805544,0.1749534775688305,1.0,0.14179311077007326,0.006165841828190033,0.6165841828190033
IL,179,IA,IL,USA,49,2673.90661466678,0.17343147302434647,1.0,0.248794380290798,0.00610807563017282,0.610807563017282
NE,311,IA,NE,USA,56,2554.3744081425402,0.16143907120523251,1.0,0.16534759596976473,0.0058350250480445134,0.5835025048044513
AR,50,TX,AR,USA,61,2493.44106371196,0.1568226194320872,1.0,0.12123494386672826,0.005695833397094604,0.5695833397094604
MO,291,MO,KS,USA,65,2474.467040152,0.17317117776226681,1.0,0.11726828432733995,0.005652490533033004,0.5652490533033003
TX,489,TX,AR,USA,33,2469.60998842893,0.1524184923132973,1.0,0.03348352772244753,0.00564139544126673,0.564139544126673
OH,391,OH,KY,USA,128,2418.116098266,0.19658309118842587,1.0,0.16687517313555225,0.0055237665854638565,0.5523766585463856
WV,540,WV,OH,USA,258,2383.5981364582,0.19188579631930025,1.0,0.34520967653815154,0.005444916291977547,0.5444916291977547
SC,452,NC,SC,USA,35,2305.90617066215,0.17773534944875086,1.0,0.18510518771724635,0.005267442478817393,0.5267442478817392
IL,179,WI,IL,USA,42,2299.1798221345002,0.1887103994375395,1.0,0.2684035888668028,0.005252077302899719,0.5252077302899719
PA,429,PA,NY,USA,140,2235.1347414995503,0.2027620211121728,1.0,0.20855519003296022,0.005105777430603116,0.5105777430603117
SC,459,SC,GA,USA,51,2211.736798634,0.19360115159939859,1.0,0.28630911285554483,0.005052328890616968,0.5052328890616968
WV,540,WV,MD,USA,71,2207.005958581,0.1916605752734304,1.0,0.30761012839761676,0.005041522107508137,0.5041522107508136
AR,50,OK,AR,USA,48,2198.807976224,0.17170798763378706,1.0,0.3085676404186708,0.005022795239495351,0.502279523949535
NV,321,NV,AZ,USA,12,2177.0399994,0.1717858422357815,1.0,0.0,0.004973070074066038,0.4973070074066038
AZ,49,NV,AZ,USA,12,2177.0399994,0.1717858422357815,1.0,0.0,0.004973070074066038,0.4973070074066038
UT,491,WY,UT,USA,6,2109.2253,0.166256649143516,1.0,0.0,0.004818159161882123,0.4818159161882123
