scenario,strategy,port,flow_usd,share,share_pct
baseline,Baseline,PORT_LA_LB,11150400000.000002,0.5575200000000001,55.75200000000001
baseline,Baseline,PORT_HOU,4529599999.999998,0.2264799999999999,22.64799999999999
baseline,Baseline,PORT_NY_NJ,4320000000.000002,0.2160000000000001,21.600000000000012
cost_min,Cost-Minimizing,PORT_LA_LB,10927999999.999996,0.5463999999999998,54.63999999999998
cost_min,Cost-Minimizing,PORT_HOU,4752000000.000002,0.2376000000000001,23.76000000000001
cost_min,Cost-Minimizing,PORT_NY_NJ,4320000000.000002,0.2160000000000001,21.600000000000012
resilience_first,Resilience-First,PORT_LA_LB,11759599999.999996,0.5879799999999998,58.79799999999998
resilience_first,Resilience-First,PORT_NY_NJ,4320000000.000002,0.2160000000000001,21.600000000000012
resilience_first,Resilience-First,PORT_HOU,3920400000.000002,0.19602000000000008,19.602000000000007
targeted,Targeted Allocation,PORT_LA_LB,11759599999.999996,0.5879799999999998,58.79799999999998
targeted,Targeted Allocation,PORT_NY_NJ,4320000000.000002,0.2160000000000001,21.600000000000012
targeted,Targeted Allocation,PORT_HOU,3920400000.000002,0.19602000000000008,19.602000000000007
