state_abbr,region,demand_usd,delivered_usd,unmet_usd,fill_rate,shortfall_usd,strategy,scenario
CA,WEST,8526129617.243685,8526129617.243685,0.0,1.0,0.0,Baseline,baseline
TX,CENTRAL,1886365987.023106,1886365987.023106,0.0,1.0,0.0,Baseline,baseline
OR,WEST,1054155433.1262456,1054155433.1262456,0.0,1.0,0.0,Baseline,baseline
MA,EAST,885793679.797555,885793679.797555,0.0,1.0,0.0,Baseline,baseline
AZ,WEST,746881615.1475242,746881615.1475242,0.0,1.0,0.0,Baseline,baseline
NY,EAST,660001241.1481999,660001241.1481998,0.0,0.9999999999999998,0.0,Baseline,baseline
FL,EAST,608128141.6563812,608128141.6563812,0.0,1.0,0.0,Baseline,baseline
MN,CENTRAL,556075765.2023416,556075765.2023416,0.0,1.0,0.0,Baseline,baseline
IL,CENTRAL,415274397.1812145,415274397.1812145,0.0,1.0,0.0,Baseline,baseline
CO,WEST,378088218.0559482,378088218.05594826,0.0,1.0000000000000002,0.0,Baseline,baseline
NJ,EAST,373854523.6404256,373854523.6404256,0.0,1.0,0.0,Baseline,baseline
NC,EAST,367048894.3438118,367048894.3438118,0.0,1.0,0.0,Baseline,baseline
MD,EAST,362408379.1294035,362408379.1294034,0.0,0.9999999999999999,0.0,Baseline,baseline
PA,EAST,325932412.58524275,325932412.58524275,0.0,1.0,0.0,Baseline,baseline
WA,WEST,310880043.02647096,310880043.026471,0.0,1.0000000000000002,0.0,Baseline,baseline
WI,CENTRAL,183993325.38079116,183993325.38079116,0.0,1.0,0.0,Baseline,baseline
MI,CENTRAL,171719748.73644218,171719748.73644218,0.0,1.0,0.0,Baseline,baseline
OH,CENTRAL,162969653.9265102,162969653.9265102,0.0,1.0,0.0,Baseline,baseline
VA,EAST,158866969.5987644,158866969.5987644,0.0,1.0,0.0,Baseline,baseline
NH,EAST,158156757.0176588,158156757.0176588,0.0,1.0,0.0,Baseline,baseline
IA,CENTRAL,156363987.3954505,156363987.3954505,0.0,1.0,0.0,Baseline,baseline
UT,WEST,153729995.10435987,153729995.10435987,0.0,1.0,0.0,Baseline,baseline
MO,CENTRAL,142063202.02445063,142063202.02445063,0.0,1.0,0.0,Baseline,baseline
GA,EAST,140201479.7244651,140201479.7244651,0.0,1.0,0.0,Baseline,baseline
IN,CENTRAL,124687127.22458576,124687127.22458574,0.0,0.9999999999999999,0.0,Baseline,baseline
CT,EAST,116116309.37687466,116116309.37687467,0.0,1.0000000000000002,0.0,Baseline,baseline
ID,WEST,103104939.08030918,103104939.08030918,0.0,1.0,0.0,Baseline,baseline
KS,CENTRAL,98554062.34701124,98554062.34701124,0.0,1.0,0.0,Baseline,baseline
NM,WEST,86232218.82821819,86232218.82821819,0.0,1.0,0.0,Baseline,baseline
SC,EAST,81150406.47603549,81150406.47603549,0.0,1.0,0.0,Baseline,baseline
AL,EAST,75468705.8271908,75468705.8271908,0.0,1.0,0.0,Baseline,baseline
TN,EAST,55603439.35956753,55603439.35956754,0.0,1.0000000000000002,0.0,Baseline,baseline
OK,CENTRAL,44888193.2329842,44888193.2329842,0.0,1.0,0.0,Baseline,baseline
KY,EAST,42681707.54411248,42681707.544112474,0.0,0.9999999999999998,0.0,Baseline,baseline
DE,EAST,40027029.44968868,40027029.44968868,0.0,1.0,0.0,Baseline,baseline
ME,EAST,34959007.63306143,34959007.63306143,0.0,1.0,0.0,Baseline,baseline
NE,CENTRAL,32518082.83974708,32518082.83974708,0.0,1.0,0.0,Baseline,baseline
NV,WEST,31807870.258641493,31807870.258641493,0.0,1.0,0.0,Baseline,baseline
LA,EAST,28987705.73755232,28987705.73755232,0.0,1.0,0.0,Baseline,baseline
RI,EAST,28360236.369779423,28360236.369779423,0.0,1.0,0.0,Baseline,baseline
VT,EAST,28249912.085335836,28249912.085335836,0.0,1.0,0.0,Baseline,baseline
AR,EAST,14266309.032111265,14266309.032111263,0.0,0.9999999999999999,0.0,Baseline,baseline
MT,WEST,9329297.303260772,9329297.303260772,0.0,1.0,0.0,Baseline,baseline
SD,CENTRAL,9225868.28659491,9225868.28659491,0.0,1.0,0.0,Baseline,baseline
MS,EAST,6833210.367724631,6833210.367724632,0.0,1.0000000000000002,0.0,Baseline,baseline
ND,CENTRAL,6826315.099946907,6826315.099946907,0.0,1.0,0.0,Baseline,baseline
DC,EAST,4109579.595523592,4109579.595523592,0.0,1.0,0.0,Baseline,baseline
HI,WEST,3592434.512194281,3592434.5121942814,0.0,1.0000000000000002,0.0,Baseline,baseline
WV,EAST,3220090.0521971774,3220090.0521971774,0.0,1.0,0.0,Baseline,baseline
WY,WEST,2482296.3999806936,2482296.3999806936,0.0,1.0,0.0,Baseline,baseline
AK,WEST,1634178.4633206232,1634178.4633206232,0.0,1.0,0.0,Baseline,baseline
CA,WEST,8526129617.243685,8526129617.243685,0.0,1.0,0.0,Cost-Minimizing,stress
TX,CENTRAL,1886365987.023106,1886365987.023106,0.0,1.0,0.0,Cost-Minimizing,stress
OR,WEST,1054155433.1262456,1054155433.1262456,0.0,1.0,0.0,Cost-Minimizing,stress
MA,EAST,885793679.797555,885793679.797555,0.0,1.0,0.0,Cost-Minimizing,stress
AZ,WEST,746881615.1475242,746881615.1475242,0.0,1.0,0.0,Cost-Minimizing,stress
NY,EAST,660001241.1481999,660001241.1481998,0.0,0.9999999999999998,0.0,Cost-Minimizing,stress
FL,EAST,608128141.6563812,608128141.6563812,0.0,1.0,0.0,Cost-Minimizing,stress
MN,CENTRAL,556075765.2023416,556075765.2023416,0.0,1.0,0.0,Cost-Minimizing,stress
IL,CENTRAL,415274397.1812145,415274397.1812145,0.0,1.0,0.0,Cost-Minimizing,stress
CO,WEST,378088218.0559482,378088218.05594826,0.0,1.0000000000000002,0.0,Cost-Minimizing,stress
NJ,EAST,373854523.6404256,373854523.6404256,0.0,1.0,0.0,Cost-Minimizing,stress
NC,EAST,367048894.3438118,367048894.3438118,0.0,1.0,0.0,Cost-Minimizing,stress
MD,EAST,362408379.1294035,362408379.1294034,0.0,0.9999999999999999,0.0,Cost-Minimizing,stress
PA,EAST,325932412.58524275,325932412.58524275,0.0,1.0,0.0,Cost-Minimizing,stress
WA,WEST,310880043.02647096,310880043.026471,0.0,1.0000000000000002,0.0,Cost-Minimizing,stress
WI,CENTRAL,183993325.38079116,183993325.38079116,0.0,1.0,0.0,Cost-Minimizing,stress
MI,CENTRAL,171719748.73644218,171719748.73644218,0.0,1.0,0.0,Cost-Minimizing,stress
OH,CENTRAL,162969653.9265102,162969653.9265102,0.0,1.0,0.0,Cost-Minimizing,stress
VA,EAST,158866969.5987644,158866969.5987644,0.0,1.0,0.0,Cost-Minimizing,stress
NH,EAST,158156757.0176588,158156757.0176588,0.0,1.0,0.0,Cost-Minimizing,stress
IA,CENTRAL,156363987.3954505,156363987.3954505,0.0,1.0,0.0,Cost-Minimizing,stress
UT,WEST,153729995.10435987,153729995.10435987,0.0,1.0,0.0,Cost-Minimizing,stress
MO,CENTRAL,142063202.02445063,142063202.02445063,0.0,1.0,0.0,Cost-Minimizing,stress
GA,EAST,140201479.7244651,140201479.7244651,0.0,1.0,0.0,Cost-Minimizing,stress
IN,CENTRAL,124687127.22458576,124687127.22458574,0.0,0.9999999999999999,0.0,Cost-Minimizing,stress
CT,EAST,116116309.37687466,116116309.37687467,0.0,1.0000000000000002,0.0,Cost-Minimizing,stress
ID,WEST,103104939.08030918,103104939.08030918,0.0,1.0,0.0,Cost-Minimizing,stress
KS,CENTRAL,98554062.34701124,98554062.34701124,0.0,1.0,0.0,Cost-Minimizing,stress
NM,WEST,86232218.82821819,86232218.82821819,0.0,1.0,0.0,Cost-Minimizing,stress
SC,EAST,81150406.47603549,81150406.47603549,0.0,1.0,0.0,Cost-Minimizing,stress
AL,EAST,75468705.8271908,75468705.8271908,0.0,1.0,0.0,Cost-Minimizing,stress
TN,EAST,55603439.35956753,55603439.35956754,0.0,1.0000000000000002,0.0,Cost-Minimizing,stress
OK,CENTRAL,44888193.2329842,44888193.2329842,0.0,1.0,0.0,Cost-Minimizing,stress
