from_origin,to_port,mode,capacity,unit_cost,lead_time,is_air,flow_usd,strategy,scenario
ORIGIN_ASIA,PORT_LA_LB,ocean,11051040000.000004,0.014,18.0,False,9713599999.999996,Cost-Minimizing,cost_min
ORIGIN_ASIA,PORT_LA_LB,air,768768000.0000002,0.095,2.0,True,0.0,Cost-Minimizing,cost_min
ORIGIN_ASIA,PORT_HOU,ocean,3400320000.0000014,0.014,18.0,False,2748240000.000001,Cost-Minimizing,cost_min
ORIGIN_ASIA,PORT_HOU,air,236544000.00000012,0.095,2.0,True,0.0,Cost-Minimizing,cost_min
ORIGIN_ASIA,PORT_NY_NJ,ocean,2550240000.000001,0.014,18.0,False,1162559999.9999995,Cost-Minimizing,cost_min
ORIGIN_ASIA,PORT_NY_NJ,air,177408000.00000006,0.095,2.0,True,0.0,Cost-Minimizing,cost_min
ORIGIN_EU,PORT_LA_LB,ocean,485760000.0000003,0.014,18.0,False,485760000.0000003,Cost-Minimizing,cost_min
ORIGIN_EU,PORT_LA_LB,air,33792000.00000002,0.095,2.0,True,0.0,Cost-Minimizing,cost_min
ORIGIN_EU,PORT_HOU,ocean,1214400000.0000007,0.014,18.0,False,0.0,Cost-Minimizing,cost_min
ORIGIN_EU,PORT_HOU,air,84480000.00000006,0.095,2.0,True,0.0,Cost-Minimizing,cost_min
ORIGIN_EU,PORT_NY_NJ,ocean,3157440000.000002,0.014,18.0,False,3157440000.000002,Cost-Minimizing,cost_min
ORIGIN_EU,PORT_NY_NJ,air,219648000.00000015,0.095,2.0,True,0.0,Cost-Minimizing,cost_min
ORIGIN_AMERICAS,PORT_LA_LB,ocean,728640000.0000004,0.014,18.0,False,728640000.0000004,Cost-Minimizing,cost_min
ORIGIN_AMERICAS,PORT_LA_LB,air,50688000.00000003,0.095,2.0,True,0.0,Cost-Minimizing,cost_min
ORIGIN_AMERICAS,PORT_HOU,ocean,2003760000.000001,0.014,18.0,False,2003760000.000001,Cost-Minimizing,cost_min
ORIGIN_AMERICAS,PORT_HOU,air,139392000.0000001,0.095,2.0,True,0.0,Cost-Minimizing,cost_min
ORIGIN_AMERICAS,PORT_NY_NJ,ocean,910800000.0000004,0.014,18.0,False,0.0,Cost-Minimizing,cost_min
ORIGIN_AMERICAS,PORT_NY_NJ,air,63360000.00000003,0.095,2.0,True,0.0,Cost-Minimizing,cost_min
