segment_id,mode,cost_bin,capacity_bin,reliability_bin,lane_count,capacity,unit_cost,transit_days,reliability,allocation,utilization,objective_score
truck|cost_4|cap_10|rel_2,truck,cost_4,cap_10,rel_2,151,30675.0536,0.16708577509941858,1.0,0.0,30675.0536,1.0,0.38726606854250983
truck|cost_4|cap_10|rel_1,truck,cost_4,cap_10,rel_1,152,29081.2779,0.16715803159677517,1.0,0.0,29081.2779,1.0,0.3874226767066364
truck|cost_5|cap_10|rel_2,truck,cost_5,cap_10,rel_2,122,22051.78375,0.17372143542613924,1.0,0.0,22051.78375,1.0,0.40164814655006226
truck|cost_3|cap_10|rel_2,truck,cost_3,cap_10,rel_2,112,21278.2515,0.16086622284784843,1.0,0.0,21278.2515,1.0,0.37378585990465507
truck|cost_3|cap_10|rel_1,truck,cost_3,cap_10,rel_1,105,17656.6686,0.16136731716784034,1.0,0.0,17656.6686,1.0,0.37487192779306766
truck|cost_2|cap_10|rel_1,truck,cost_2,cap_10,rel_1,92,14227.62765,0.15602518227000745,1.0,0.0,14227.62765,1.0,0.36329342662746167
truck|cost_5|cap_10|rel_1,truck,cost_5,cap_10,rel_1,89,13271.7305,0.17385753288882477,1.0,0.0,13271.7305,1.0,0.40194312312038055
truck|cost_2|cap_10|rel_2,truck,cost_2,cap_10,rel_2,90,12962.6732,0.15513242871013752,1.0,5.371910980585778e-05,12962.6732,1.0,0.3613466433031444
truck|cost_6|cap_10|rel_1,truck,cost_6,cap_10,rel_1,71,8859.0218,0.1808427024777515,1.0,0.0,8859.0218,1.0,0.4170827247542055
truck|cost_6|cap_10|rel_2,truck,cost_6,cap_10,rel_2,35,2778.4535,0.18194222636599727,1.0,0.0,2778.4535,1.0,0.41946582418264367
truck|cost_7|cap_10|rel_1,truck,cost_7,cap_10,rel_1,33,2666.02945,0.19412779577107575,1.0,0.0,2666.02945,1.0,0.44587673148068085
truck|cost_1|cap_10|rel_1,truck,cost_1,cap_10,rel_1,18,2661.6615,0.14749617678110755,1.0,0.0,2661.6615,1.0,0.3448077272051674
truck|cost_4|cap_10|rel_5,truck,cost_4,cap_10,rel_5,31,2475.1536,0.16699332124007965,1.0,0.7508404534710945,2475.1536,1.0,0.22162814303878886
truck|cost_1|cap_10|rel_2,truck,cost_1,cap_10,rel_2,15,2248.7515,0.1478423602774071,1.0,0.0,2248.7515,1.0,0.3455580425925688
truck|cost_3|cap_10|rel_4,truck,cost_3,cap_10,rel_4,14,1873.3445000000002,0.15962958363892804,1.0,0.44571695271700235,1873.3445000000002,1.0,0.27289787385926945
truck|cost_2|cap_10|rel_5,truck,cost_2,cap_10,rel_5,20,1735.1914,0.15483225936435613,1.0,0.8202370857583956,1735.1914,1.0,0.1799797435612023
truck|cost_3|cap_10|rel_5,truck,cost_3,cap_10,rel_5,18,1416.1038,0.16072381125971963,1.0,0.8089990593300471,1416.1038,1.0,0.19522519397954202
truck|cost_4|cap_10|rel_4,truck,cost_4,cap_10,rel_4,21,1264.2957,0.1682630197277349,1.0,0.3616026517378355,1264.2957,1.0,0.3101433642457047
truck|cost_10|cap_10|rel_2,truck,cost_10,cap_10,rel_2,17,1160.47165,0.27307972363270994,1.0,0.0,1160.47165,1.0,0.6169965190292148
truck|cost_2|cap_9|rel_1,truck,cost_2,cap_9,rel_1,59,1158.0570500000001,0.15397634139336833,1.0,0.0,1158.0570500000001,1.0,0.3588527850240587
truck|cost_5|cap_10|rel_4,truck,cost_5,cap_10,rel_4,7,1100.8986,0.17294758223181633,1.0,0.4139033373188338,1100.8986,1.0,0.30877289927126417
truck|cost_5|cap_9|rel_5,truck,cost_5,cap_9,rel_5,62,1066.96649,0.17364221387236053,1.0,0.7648982794310719,1066.96649,1.0,0.23294144876829165
truck|cost_7|cap_10|rel_2,truck,cost_7,cap_10,rel_2,15,1029.2148,0.19409055393357327,1.0,0.0,1029.2148,1.0,0.44579601381495765
truck|cost_6|cap_9|rel_5,truck,cost_6,cap_9,rel_5,60,948.6824300000001,0.18209084652032337,1.0,0.8380887159282973,948.6824300000001,1.0,0.23512642566000883
truck|cost_3|cap_9|rel_1,truck,cost_3,cap_9,rel_1,62,942.4621999999999,0.16143601587438666,1.0,0.0,942.4621999999999,1.0,0.3750208248293715
truck|cost_5|cap_9|rel_1,truck,cost_5,cap_9,rel_1,55,932.86055,0.1738774097328977,1.0,0.0,932.86055,1.0,0.40198620403590746
truck|cost_5|cap_10|rel_5,truck,cost_5,cap_10,rel_5,15,871.7413,0.17270736074923285,1.0,0.8258098457886877,871.7413,1.0,0.21749421540542677
truck|cost_6|cap_9|rel_2,truck,cost_6,cap_9,rel_2,31,813.6886999999999,0.18121910893502088,1.0,0.0,813.6886999999999,1.0,0.4178985451495315
truck|cost_7|cap_9|rel_1,truck,cost_7,cap_9,rel_1,46,805.50675,0.19070443995008765,1.0,0.0,805.50675,1.0,0.4384569769964438
truck|cost_5|cap_9|rel_2,truck,cost_5,cap_9,rel_2,38,768.4585500000001,0.17392502800637055,1.0,0.0,768.4585500000001,1.0,0.4020894115073499
truck|cost_6|cap_9|rel_1,truck,cost_6,cap_9,rel_1,40,727.99465,0.18171686035147494,1.0,0.0,727.99465,1.0,0.4189773676551057
truck|cost_8|cap_10|rel_2,truck,cost_8,cap_10,rel_2,4,725.3405,0.2078498114391848,1.0,0.0,725.3405,1.0,0.4756177203261922
truck|cost_2|cap_9|rel_2,truck,cost_2,cap_9,rel_2,35,724.23095,0.15464278131692244,1.0,4.412163635788e-05,724.23095,1.0,0.36028750006731214
