from_origin,to_port,mode,capacity,unit_cost,lead_time,is_air,flow_usd,strategy,scenario
ORIGIN_ASIA,PORT_LA_LB,ocean,11051040000.000004,0.014,18.0,False,11051040000.000004,Resilience-First,resilience_first
ORIGIN_ASIA,PORT_LA_LB,air,1729728000.0000005,0.095,2.0,True,0.0,Resilience-First,resilience_first
ORIGIN_ASIA,PORT_HOU,ocean,3400320000.0000014,0.014,18.0,False,702239999.9999998,Resilience-First,resilience_first
ORIGIN_ASIA,PORT_HOU,air,532224000.00000024,0.095,2.0,True,0.0,Resilience-First,resilience_first
ORIGIN_ASIA,PORT_NY_NJ,ocean,2550240000.000001,0.014,18.0,False,2550240000.000001,Resilience-First,resilience_first
ORIGIN_ASIA,PORT_NY_NJ,air,399168000.0000001,0.095,2.0,True,0.0,Resilience-First,resilience_first
ORIGIN_EU,PORT_LA_LB,ocean,485760000.0000003,0.014,18.0,False,23119999.99999237,Resilience-First,resilience_first
ORIGIN_EU,PORT_LA_LB,air,76032000.00000006,0.095,2.0,True,0.0,Resilience-First,resilience_first
ORIGIN_EU,PORT_HOU,ocean,1214400000.0000007,0.014,18.0,False,1214400000.0000007,Resilience-First,resilience_first
ORIGIN_EU,PORT_HOU,air,190080000.00000012,0.095,2.0,True,0.0,Resilience-First,resilience_first
ORIGIN_EU,PORT_NY_NJ,ocean,3157440000.000002,0.014,18.0,False,858960000.0,Resilience-First,resilience_first
ORIGIN_EU,PORT_NY_NJ,air,494208000.00000036,0.095,2.0,True,0.0,Resilience-First,resilience_first
ORIGIN_AMERICAS,PORT_LA_LB,ocean,728640000.0000004,0.014,18.0,False,685439999.9999995,Resilience-First,resilience_first
ORIGIN_AMERICAS,PORT_LA_LB,air,114048000.00000006,0.095,2.0,True,0.0,Resilience-First,resilience_first
ORIGIN_AMERICAS,PORT_HOU,ocean,2003760000.000001,0.014,18.0,False,2003760000.000001,Resilience-First,resilience_first
ORIGIN_AMERICAS,PORT_HOU,air,313632000.0000002,0.095,2.0,True,0.0,Resilience-First,resilience_first
ORIGIN_AMERICAS,PORT_NY_NJ,ocean,910800000.0000004,0.014,18.0,False,910800000.0000004,Resilience-First,resilience_first
ORIGIN_AMERICAS,PORT_NY_NJ,air,142560000.00000006,0.095,2.0,True,0.0,Resilience-First,resilience_first
