forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50
2025-01-01,1,,18247067334.67965,17757507161.96335
2025-02-01,1,,16384660731.135975,17220781926.889576
2025-03-01,1,,21724385848.65982,20874661380.604187
2025-04-01,1,,17017836734.13824,16537651670.256046
2025-05-01,1,,17811027474.95902,17531466047.695484
2025-06-01,1,,19071745729.216785,18645475438.7659
2025-07-01,1,,18329531068.279934,17352945434.401596
2025-08-01,1,,17722024715.958454,18089587619.96208
2025-09-01,1,,20396181080.764347,20958696457.832565
2025-10-01,1,,18295173831.97861,18119645431.755127
2025-11-01,1,,18675736171.6106,18700328836.858517
2025-12-01,1,,21083421294.995216,20985999659.488964
2026-01-01,1,,18021581631.98618,17168068785.045765
2026-02-01,1,,18348725696.85559,18617527998.5728
2026-03-01,1,,20622423579.001053,21062823622.97786
2026-04-01,1,,19408594655.372723,17748460961.309433
2026-05-01,1,,19230945946.026672,18906782344.367367
2026-06-01,1,,18798318559.130066,18475487963.274773
2026-07-01,1,,18026413534.830215,17608315501.942883
2026-08-01,1,,16280177831.295406,16455874294.630732
2026-09-01,1,,16279034380.085876,16462596613.358686
2026-10-01,1,,15485047719.62738,15755509616.685976
2026-11-01,1,,16114786495.20654,16264771896.71056
2026-12-01,1,,16301639246.468632,16148838039.951687
2025-01-01,3,,19121928461.406998,19423848439.116962
2025-02-01,3,,18190355833.105923,17724266518.157364
2025-03-01,3,,19194448012.098717,18899123862.076065
2025-04-01,3,,18180516280.079414,17611931444.774887
2025-05-01,3,,19725886563.813797,19941909004.721138
2025-06-01,3,,19190655122.93557,20255458237.72062
2025-07-01,3,,17793155248.02616,17827502343.056286
2025-08-01,3,,17559690673.24271,17749084192.87612
2025-09-01,3,,19527093551.236145,19906393747.587013
2025-10-01,3,,19633983658.18923,19200695753.80106
2025-11-01,3,,18809450470.64203,18927127172.046936
2025-12-01,3,,20666158769.776413,21205081977.414658
2026-01-01,3,,19175220363.914448,19629349505.867752
2026-02-01,3,,18081463497.75425,17745944574.23239
2026-03-01,3,,19505089032.38168,19249023948.07212
2026-04-01,3,,20136986448.36243,19949320290.03479
2026-05-01,3,,19723885325.271935,19922501807.55282
2026-06-01,3,,20630914017.47571,21059694320.152695
2026-07-01,3,,19516428858.08503,19964314239.54862
2026-08-01,3,,19966204235.273903,20391820468.220978
2026-09-01,3,,19757705566.823685,20322806660.237823
2026-10-01,3,,16385762474.861368,17833660025.20616
2026-11-01,3,,16324924613.961655,17886749953.412483
2026-12-01,3,,15901222733.18143,17675138723.238197
2025-01-01,6,,17160401704.221336,17941952408.98951
2025-02-01,6,,15474628834.994896,16284523033.127407
2025-03-01,6,,18078192311.858257,17750440032.134125
2025-04-01,6,,17118800899.401789,17884154551.508472
2025-05-01,6,,18806756110.75184,18382623497.45039
2025-06-01,6,,19784845389.11796,19862508873.939816
2025-07-01,6,,18854654305.33393,19566720642.583836
2025-08-01,6,,17501897389.315376,18103452238.503742
2025-09-01,6,,18950129185.502377,19196740943.293694
2025-10-01,6,,19012408243.227345,18434737250.454544
2025-11-01,6,,17450893966.72209,17998432114.34841
2025-12-01,6,,18565106117.282555,19537606697.096256
2026-01-01,6,,17782892794.96289,18034228912.663254
2026-02-01,6,,16036026671.697062,16736641459.637957
2026-03-01,6,,18825870902.76709,18037357368.020325
2026-04-01,6,,17290912399.471275,18650695042.276978
2026-05-01,6,,18689514127.516106,18092355626.203606
2026-06-01,6,,19406865982.893536,19220097992.801987
2026-07-01,6,,19712306528.452194,20175768839.44255
2026-08-01,6,,19783211969.181328,19381456637.815666
2026-09-01,6,,20563321693.374203,19796698544.89789
2026-10-01,6,,19834998112.76433,19555175841.30358
2026-11-01,6,,19393200438.432343,19079024841.9542
2026-12-01,6,,19392037732.22351,19103970793.54901
