origin_date,hs_code,actual_supply,demand_proxy,demand_proxy_ma12,month,q10,q50,q90,prediction_interval_width,forecast_date,horizon_months,cqr_qhat,cqr_qhat_global,predicted_gap_pct,lower_gap_pct,upper_gap_pct,forecast_month,seasonal_index,demand_proxy_base,demand_proxy_seasonal,demand_proxy_selected,risk_q10,risk_q50,risk_q90,demand_proxy_used,baseline_supply_demand_ratio,risk_supply_demand_ratio,actual_supply_demand_ratio,baseline_shortfall_usd,risk_shortfall_usd,actual_shortfall_usd,baseline_shortage_flag,risk_shortage_flag,actual_shortage_flag,track,trigger_active,initial_inventory_months,initial_inventory_usd,baseline_ending_inventory_usd,baseline_cumulative_shortfall_usd,baseline_stockout_step,baseline_stockout_flag,risk_ending_inventory_usd,risk_cumulative_shortfall_usd,risk_stockout_step,risk_stockout_flag,actual_ending_inventory_usd,actual_cumulative_shortfall_usd,actual_stockout_step,actual_stockout_flag,risk_first_stockout_date,risk_ending_inventory_months,trigger_threshold_pct,effective_predicted_gap_pct,effective_lower_gap_pct,effective_upper_gap_pct,substitution_elasticity,elastic_predicted_gap_pct,elastic_lower_gap_pct,elastic_upper_gap_pct,breach_line_q10,module1_bias_factor
2021-01-01,854231,9780814160,9394995486.0,10197888340.166666,1,7350235908.807162,10233890355.296371,10714980385.74369,3364744476.936528,2021-02-01,1,0.0,0.0,17.95,15.0,20.9,2,0.8745421716419953,9394995486.0,8216319754.893184,8216319754.893184,7350235908.807162,10233890355.296371,10714980385.74369,8216319754.893184,1.245556485213667,1.245556485213667,1.1904130379267543,0.0,0.0,0.0,False,False,False,baseline,True,1.0,8216319754.893184,10233890355.296371,0.0,,False,10233890355.296371,0.0,,False,9780814160.0,0.0,,False,,1.245556485213667,,,,,,,,,,
2021-02-01,854231,17742933078,8577393200.0,10227231376.666666,2,7750610840.388273,10246298452.555536,10606569937.38509,2855959096.9968166,2021-03-01,1,0.0,0.0,17.95,15.0,20.9,3,1.028460054826496,8577393200.0,8821506280.740414,8821506280.740414,7750610840.388273,10246298452.555536,10606569937.38509,8821506280.740414,1.1615134792711994,1.1615134792711994,2.011326922334945,0.0,0.0,0.0,False,False,False,baseline,True,1.0,8821506280.740414,10246298452.555538,0.0,,False,10246298452.555538,0.0,,False,17742933078.0,0.0,,False,,1.1615134792711996,,,,,,,,,,
2021-03-01,854231,12570026058,14312494355.0,10327516456.666666,3,9181949120.310806,10079348919.925247,10952597808.152725,1770648687.841919,2021-04-01,1,0.0,0.0,17.95,15.0,20.9,4,0.9440601236315116,14312494355.0,13511855190.25661,13511855190.25661,9181949120.310806,10079348919.925247,10952597808.152725,13511855190.25661,0.7459633616554342,0.7459633616554342,0.9302960904335503,3432506270.3313637,3432506270.3313637,941829132.2566109,True,True,False,baseline,True,1.0,13511855190.25661,10079348919.925247,0.0,,False,10079348919.925247,0.0,,False,12570026058.0,0.0,,False,,0.7459633616554342,,,,,,,,,,
2021-04-01,854231,14704496724,7340963178.0,10613386350.25,4,9652929197.724749,9652929197.724749,12438116168.785553,2785186971.0608044,2021-05-01,1,0.0,0.0,19.0,15.89,22.11,5,1.0509202615286986,7340963178.0,7714766942.896306,7714766942.896306,9652929197.724749,9652929197.724749,12438116168.785553,7714766942.896306,1.2512275833054278,1.2512275833054278,1.9060195638884179,0.0,0.0,0.0,False,False,False,baseline,True,1.0,7714766942.896306,9652929197.72475,0.0,,False,9652929197.72475,0.0,,False,14704496724.0,0.0,,False,,1.251227583305428,,,,,,,,,,
2021-05-01,854231,15480777499,8553109548.0,11049141590.25,5,8478967694.1885805,9260102317.46663,11254586745.859278,2775619051.670697,2021-06-01,1,0.0,0.0,19.0,15.89,22.11,6,1.017448821258098,8553109548.0,8702351227.703983,8702351227.703983,8478967694.1885805,9260102317.46663,11254586745.859278,8702351227.703983,1.0640919994112676,1.0640919994112676,1.778918948906229,0.0,0.0,0.0,False,False,False,baseline,True,1.0,8702351227.703983,9260102317.466633,0.0,,False,9260102317.466633,0.0,,False,15480777499.0,0.0,,False,,1.0640919994112679,,,,,,,,,,
2021-06-01,854231,12542491149,10728980477.0,11561757188.25,6,9216552093.664347,10239123229.211731,11639761540.883938,2423209447.219591,2021-07-01,1,0.0,0.0,19.0,15.89,22.11,7,0.9898857016834234,10728980477.0,10620464367.822895,10620464367.822895,9216552093.664347,10239123229.211731,11639761540.883938,10620464367.822895,0.9640937415348312,0.9640937415348312,1.1809738929119071,381341138.6111641,381341138.6111641,0.0,False,False,False,baseline,True,1.0,10620464367.822895,10239123229.211731,0.0,,False,10239123229.211731,0.0,,False,12542491149.0,0.0,,False,,0.9640937415348312,,,,,,,,,,
2021-07-01,854231,15422237298,7734991642.0,11957740273.416666,7,9181851786.699585,9885721261.662317,12100258405.210535,2918406618.51095,2021-08-01,1,0.0,0.0,18.35,15.32,21.41,8,1.0807059466328355,7734991642.0,8359251464.6646805,8359251464.6646805,9181851786.699585,9885721261.662317,12100258405.210535,8359251464.6646805,1.1826084313230874,1.1826084313230874,1.8449304178958135,0.0,0.0,0.0,False,False,False,baseline,True,1.0,8359251464.6646805,9885721261.662315,0.0,,False,9885721261.662315,0.0,,False,15422237298.0,0.0,,False,,1.1826084313230871,,,,,,,,,,
2021-08-01,854231,13564183498,10248217902.0,12358365232.333334,8,8778499633.32198,8904113627.86353,11511548307.225197,2733048673.9032173,2021-09-01,1,0.0,0.0,18.35,15.32,21.41,9,1.0260655103385352,10248217902.0,10515342931.676142,10515342931.676142,8778499633.32198,8904113627.86353,11511548307.225197,10515342931.676142,0.846773489530333,0.846773489530333,1.2899420956723733,1611229303.8126125,1611229303.8126125,0.0,False,False,False,baseline,True,1.0,10515342931.676142,8904113627.863531,0.0,,False,8904113627.863531,0.0,,False,13564183497.999998,0.0,,False,,0.8467734895303333,,,,,,,,,,
2021-09-01,854231,10211091043,11573013160.0,12789533515.333334,9,9248697142.401487,10612483148.389463,12260254271.550385,3011557129.148897,2021-10-01,1,0.0,0.0,18.35,15.32,21.41,10,1.0468016294450389,11573013160.0,12114649033.476877,12114649033.476877,9248697142.401487,10612483148.389463,12260254271.550385,12114649033.476877,0.8760041763540635,0.8760041763540635,0.8428713877540569,1502165885.0874138,1502165885.0874138,1903557990.4768772,False,False,False,baseline,True,1.0,12114649033.476877,10612483148.389463,0.0,,False,10612483148.389463,0.0,,False,10211091042.999998,0.0,,False,,0.8760041763540635,,,,,,,,,,
2021-10-01,854231,11167987454,11201719928.0,12955464376.833334,10,8899579674.886637,9745904706.841686,11715174555.581764,2815594880.6951275,2021-11-01,1,0.0,0.0,18.48,15.44,21.56,11,0.9869961007053311,11201719928.0,11056053890.129202,11056053890.129202,8899579674.886637,9745904706.841686,11715174555.581764,11056053890.129202,0.8814993851959051,0.8814993851959051,1.0101241876155047,1310149183.2875156,1310149183.2875156,0.0,False,False,False,baseline,True,1.0,11056053890.129202,9745904706.841684,0.0,,False,9745904706.841684,0.0,,False,11167987454.000002,0.0,,False,,0.8814993851959049,,,,,,,,,,
2021-11-01,854231,14637149253,10880135502.0,12872911969.75,11,8635372688.158552,9705533333.30059,11077031492.583612,2441658804.4250603,2021-12-01,1,0.0,0.0,18.48,15.44,21.56,12,1.075492432541878,10880135502.0,11701503397.431227,11701503397.431227,8635372688.158552,9705533333.30059,11077031492.583612,11701503397.431227,0.8294261859917247,0.8294261859917247,1.2508776655325522,1995970064.1306362,1995970064.1306362,0.0,False,False,False,baseline,True,1.0,11701503397.431227,9705533333.300592,0.0,,False,9705533333.300592,0.0,,False,14637149253.000002,0.0,,False,,0.8294261859917248,,,,,,,,,,
2021-12-01,854231,9392142152,11828645704.0,12896899632.416666,12,8086945111.602882,8913795479.525358,11016894413.47324,2929949301.8703575,2022-01-01,1,0.0,0.0,18.48,15.44,21.56,1,0.8786212457661585,11828645704.0,10392899424.175,10392899424.175,8086945111.602882,8913795479.525358,11016894413.47324,10392899424.175,0.8576812990983934,0.8576812990983934,0.9037075957988076,1479103944.649641,1479103944.649641,1000757272.1749992,False,False,False,baseline,True,1.0,10392899424.175,8913795479.525356,0.0,,False,8913795479.525356,0.0,,False,9392142152.0,0.0,,False,,0.8576812990983932,,,,,,,,,,
2021-01-01,854232,542343250,1196269097.0,779698776.3333334,1,620852328.4208785,673389777.2864295,740532913.3859605,119680584.96508193,2021-02-01,1,0.0,0.0,17.95,15.0,20.9,2,0.886406071809556,1196269097.0,1060380191.0989347,1060380191.0989347,620852328.4208785,673389777.2864295,740532913.3859605,1060380191.0989347,0.635045602453735,0.635045602453735,0.5114611292747158,386990413.8125051,386990413.8125051,518036941.09893465,True,True,True,baseline,True,1.0,1060380191.0989347,673389777.2864294,0.0,,False,673389777.2864294,0.0,,False,542343250.0,0.0,,False,,0.6350456024537348,,,,,,,,,,
2021-02-01,854232,692604863,863927862.0,727046242.5,2,606280567.0054625,699159306.7520492,728189983.2059206,121909416.20045805,2021-03-01,1,0.0,0.0,17.95,15.0,20.9,3,1.0431200135517729,863927862.0,901180443.1171942,901180443.1171942,606280567.0054625,699159306.7520492,728189983.2059206,901180443.1171942,0.7758260979717321,0.7758260979717321,0.768552922214192,202021136.36514497,202021136.36514497,208575580.11719418,True,True,True,baseline,True,1.0,901180443.1171942,699159306.7520492,0.0,,False,699159306.7520492,0.0,,False,692604863.0,0.0,,False,,0.7758260979717321,,,,,,,,,,
2021-03-01,854232,695969916,947960556.0,700247524.8333334,3,640266539.0237485,640266539.0237485,711173995.9534414,70907456.92969286,2021-04-01,1,0.0,0.0,17.95,15.0,20.9,4,1.0045233929007555,947960556.0,952248554.0492067,952248554.0492067,640266539.0237485,640266539.0237485,711173995.9534414,952248554.0492067,0.6723733381386298,0.6723733381386298,0.7308700160693931,311982015.0254582,311982015.0254582,256278638.04920673,True,True,True,baseline,True,1.0,952248554.0492067,640266539.0237484,0.0,,False,640266539.0237484,0.0,,False,695969916.0,0.0,,False,,0.6723733381386297,,,,,,,,,,
2021-04-01,854232,953435340,848113278.0,678967883.75,4,710173879.7105148,710173879.7105148,720424977.9546084,10251098.244093657,2021-05-01,1,0.0,0.0,19.0,15.89,22.11,5,0.9841858388438136,848113278.0,834701077.9430065,834701077.9430065,710173879.7105148,710173879.7105148,720424977.9546084,834701077.9430065,0.8508122230543058,0.8508122230543058,1.142247644329867,124527198.23249173,124527198.23249173,0.0,False,False,False,baseline,True,1.0,834701077.9430065,710173879.7105148,0.0,,False,710173879.7105148,0.0,,False,953435340.0,0.0,,False,,0.8508122230543058,,,,,,,,,,
2021-05-01,854232,997911927,874122677.0,666289270.25,5,618510313.3511974,689838089.2518919,724181439.6193373,105671126.26813996,2021-06-01,1,0.0,0.0,19.0,15.89,22.11,6,1.0261889160004019,874122677.0,897015002.3619994,897015002.3619994,618510313.3511974,689838089.2518919,724181439.6193373,897015002.3619994,0.7690374045422049,0.7690374045422049,1.1124807549174998,207176913.11010754,207176913.11010754,0.0,True,True,False,baseline,True,1.0,897015002.3619994,689838089.2518917,0.0,,False,689838089.2518917,0.0,,False,997911927.0000001,0.0,,False,,0.7690374045422048,,,,,,,,,,
2021-06-01,854232,936180082,704946657.0,672898658.8333334,6,715162015.8123207,807776825.8729875,845560527.7389834,130398511.92666268,2021-07-01,1,0.0,0.0,19.0,15.89,22.11,7,1.0399399365257673,704946657.0,733102181.7346319,733102181.7346319,715162015.8123207,807776825.8729875,845560527.7389834,733102181.7346319,1.1018611675137346,1.1018611675137346,1.2770117254116673,0.0,0.0,0.0,False,False,False,baseline,True,1.0,733102181.7346319,807776825.8729874,0.0,,False,807776825.8729874,0.0,,False,936180082.0000001,0.0,,False,,1.1018611675137344,,,,,,,,,,
2021-07-01,854232,1198253513,544270195.0,697312431.3333334,7,666349511.4507885,811339322.804688,899800327.126722,233450815.67593348,2021-08-01,1,0.0,0.0,18.35,15.32,21.41,8,1.0341581370688429,544270195.0,562861450.9232959,562861450.9232959,666349511.4507885,811339322.804688,899800327.126722,562861450.9232959,1.4414547691510917,1.4414547691510917,2.1288605056083196,0.0,0.0,0.0,False,False,False,baseline,True,1.0,562861450.9232959,811339322.8046881,0.0,,False,811339322.8046881,0.0,,False,1198253513.0,0.0,,False,,1.441454769151092,,,,,,,,,,
2021-08-01,854232,1253630927,784323750.0,729971588.5833334,8,683725912.5838897,762496080.5431023,841569924.0338937,157844011.45000398,2021-09-01,1,0.0,0.0,18.35,15.32,21.41,9,1.0233014017400692,784323750.0,802599592.7930276,802599592.7930276,683725912.5838897,762496080.5431023,841569924.0338937,802599592.7930276,0.9500329770784383,0.9500329770784383,1.5619630738129258,40103512.249925375,40103512.249925375,0.0,False,False,False,baseline,True,1.0,802599592.7930276,762496080.5431023,0.0,,False,762496080.5431023,0.0,,False,1253630927.0,0.0,,False,,0.9500329770784383,,,,,,,,,,
2021-09-01,854232,1332305835,636911176.0,764465735.5,9,945488539.9988406,945488539.9988406,1024975669.4074453,79487129.40860474,2021-10-01,1,0.0,0.0,18.35,15.32,21.41,10,1.0076880061437614,636911176.0,641807753.0341183,641807753.0341183,945488539.9988406,945488539.9988406,1024975669.4074453,641807753.0341183,1.4731647218798536,1.4731647218798536,2.075864351437922,0.0,0.0,0.0,False,False,False,baseline,True,1.0,641807753.0341183,945488539.9988407,0.0,,False,945488539.9988407,0.0,,False,1332305835.0,0.0,,False,,1.4731647218798536,,,,,,,,,,
2021-10-01,854232,1732576716,615658309.0,815859048.0833334,10,999357721.9254177,1032046028.0689995,1032046028.0689995,32688306.143581867,2021-11-01,1,0.0,0.0,18.48,15.44,21.56,11,0.9553558198134668,615658309.0,588172748.5196677,588172748.5196677,999357721.9254177,1032046028.0689995,1032046028.0689995,588172748.5196677,1.7546648168696806,1.7546648168696806,2.945693625487759,0.0,0.0,0.0,False,False,False,baseline,True,1.0,588172748.5196677,1032046028.0689996,0.0,,False,1032046028.0689996,0.0,,False,1732576716.0,0.0,,False,,1.7546648168696808,,,,,,,,,,
2021-11-01,854232,991191349,570494666.0,875579675.25,11,1143104041.1144662,1143104041.1144662,1216994468.02268,73890426.90821385,2021-12-01,1,0.0,0.0,18.48,15.44,21.56,12,0.931809483054692,570494666.0,531592339.81091917,531592339.81091917,1143104041.1144662,1143104041.1144662,1216994468.02268,531592339.81091917,2.1503395656924895,2.1503395656924895,1.864570413773371,0.0,0.0,0.0,False,False,False,baseline,True,1.0,531592339.81091917,1143104041.1144662,0.0,,False,1143104041.1144662,0.0,,False,991191349.0000001,0.0,,False,,2.1503395656924895,,,,,,,,,,
2021-12-01,854232,1133481025,769387093.0,972419846.0833334,12,1391246652.549891,1391246652.549891,1391246652.549891,0.0,2022-01-01,1,0.0,0.0,18.48,15.44,21.56,1,1.0633229825471011,769387093.0,818106978.4620038,818106978.4620038,1391246652.549891,1391246652.549891,1391246652.549891,818106978.4620038,1.7005681276125504,1.7005681276125504,1.3854924292797037,0.0,0.0,0.0,False,False,False,baseline,True,1.0,818106978.4620038,1391246652.549891,0.0,,False,1391246652.549891,0.0,,False,1133481025.0,0.0,,False,,1.7005681276125504,,,,,,,,,,
2021-01-01,854233,252895658,649675156.0,433803333.8333333,1,375346725.96842486,455774298.7193082,638009888.95729,262663162.9888652,2021-02-01,1,0.0,0.0,17.95,15.0,20.9,2,0.8955013242004534,649675156.0,581784962.4981362,581784962.4981362,375346725.96842486,455774298.7193082,638009888.95729,581784962.4981362,0.78340680508869,0.78340680508869,0.4346892310761817,126010663.77882797,126010663.77882797,328889304.49813616,True,True,True,baseline,True,1.0,581784962.4981362,455774298.71930826,0.0,,False,455774298.71930826,0.0,,False,252895658.0,0.0,,False,,0.7834068050886901,,,,,,,,,,
2021-02-01,854233,282103408,489440485.0,402654392.6666667,2,384208736.12360454,442328233.56949925,543071540.4842818,158862804.36067724,2021-03-01,1,0.0,0.0,17.95,15.0,20.9,3,1.0068416715341968,489440485.0,492789076.03390795,492789076.03390795,384208736.12360454,442328233.56949925,543071540.4842818,492789076.03390795,0.897601540053342,0.897601540053342,0.5724627872647667,50460842.464408696,50460842.464408696,210685668.03390795,False,False,True,baseline,True,1.0,492789076.03390795,442328233.5694992,0.0,,False,442328233.5694992,0.0,,False,282103407.99999994,0.0,,False,,0.8976015400533419,,,,,,,,,,
2021-03-01,854233,238372697,681107675.0,382942323.75,3,396468735.3743943,420099610.8987799,571126452.6730248,174657717.29863048,2021-04-01,1,0.0,0.0,17.95,15.0,20.9,4,0.9709436221613341,681107675.0,661317153.0463848,661317153.0463848,396468735.3743943,420099610.8987799,571126452.6730248,661317153.0463848,0.6352468085298766,0.6352468085298766,0.36045140505115636,241217542.14760488,241217542.14760488,422944456.0463848,True,True,True,baseline,True,1.0,661317153.0463848,420099610.89877987,0.0,,False,420099610.89877987,0.0,,False,238372697.0,0.0,,False,,0.6352468085298766,,,,,,,,,,
2021-04-01,854233,274710441,595656409.0,349691968.1666667,4,373245339.4596174,438237964.5453421,588916300.9004643,215670961.44084692,2021-05-01,1,0.0,0.0,19.0,15.89,22.11,5,0.9876144075928325,595656409.0,588278851.5034089,588278851.5034089,373245339.4596174,438237964.5453421,588916300.9004643,588278851.5034089,0.7449493780464461,0.7449493780464461,0.46697317147803014,150040886.95806682,150040886.95806682,313568410.5034089,True,True,True,baseline,True,1.0,588278851.5034089,438237964.5453421,0.0,,False,438237964.5453421,0.0,,False,274710441.0,0.0,,False,,0.7449493780464461,,,,,,,,,,
2021-05-01,854233,316570655,435038259.0,319918325.5,5,370623610.610626,427934290.2216761,581004455.6895163,210380845.07889032,2021-06-01,1,0.0,0.0,19.0,15.89,22.11,6,1.0198510311732338,435038259.0,443674217.0409584,443674217.0409584,370623610.610626,427934290.2216761,581004455.6895163,443674217.0409584,0.9645236837870405,0.9645236837870405,0.7135205131173429,15739926.819282293,15739926.819282293,127103562.0409584,False,False,True,baseline,True,1.0,443674217.0409584,427934290.2216761,0.0,,False,427934290.2216761,0.0,,False,316570655.0,0.0,,False,,0.9645236837870405,,,,,,,,,,
2021-06-01,854233,337167156,532757991.0,306557674.0,6,407539080.7729491,407539080.7729491,581668653.7754977,174129573.00254858,2021-07-01,1,0.0,0.0,19.0,15.89,22.11,7,0.9083297421062264,532757991.0,483919928.57006127,483919928.57006127,407539080.7729491,407539080.7729491,581668653.7754977,483919928.57006127,0.8421622188141528,0.8421622188141528,0.6967416221032637,76380847.79711217,76380847.79711217,146752772.57006127,False,False,True,baseline,True,1.0,483919928.57006127,407539080.77294916,0.0,,False,407539080.77294916,0.0,,False,337167155.99999994,0.0,,False,,0.8421622188141529,,,,,,,,,,
2021-07-01,854233,348782673,514803346.0,288542062.6666667,7,364562555.1666922,419627914.8650861,576921460.571165,212358905.40447277,2021-08-01,1,0.0,0.0,18.35,15.32,21.41,8,1.067619880055415,514803346.0,549614286.5086464,549614286.5086464,364562555.1666922,419627914.8650861,576921460.571165,549614286.5086464,0.7634952823565015,0.7634952823565015,0.6345953545268934,129986371.64356029,129986371.64356029,200831613.50864637,True,True,True,baseline,True,1.0,549614286.5086464,419627914.8650861,0.0,,False,419627914.8650861,0.0,,False,348782673.0,0.0,,False,,0.7634952823565015,,,,,,,,,,
2021-08-01,854233,343416372,291134002.0,273739046.8333333,8,330662039.91392237,330662039.91392237,504079049.0661274,173417009.15220505,2021-09-01,1,0.0,0.0,18.35,15.32,21.41,9,1.0095432834319742,291134002.0,293912376.2977709,293912376.2977709,330662039.91392237,330662039.91392237,504079049.0661274,293912376.2977709,1.1250361215783555,1.1250361215783555,1.1684311369456426,0.0,0.0,0.0,False,False,False,baseline,True,1.0,293912376.2977709,330662039.91392237,0.0,,False,330662039.91392237,0.0,,False,343416372.00000006,0.0,,False,,1.1250361215783555,,,,,,,,,,
