horizon_months,segment,track,mae,wape,coverage_q10_q90,pinball_q10,pinball_q50,pinball_q90,shortage_precision,shortage_recall,mae_baseline,mae_gated_stress,mae_ungated_stress,shortage_recall_baseline,shortage_recall_gated_stress,shortage_recall_ungated_stress,gated_mae_delta_vs_baseline,gated_recall_delta_vs_baseline
1,all,baseline,907905044.9578708,0.19290143611936408,0.6276595744680851,207844832.5546315,453952522.4789354,388242415.3604182,0.8095238095238095,0.6071428571428571,907905044.9578708,886175077.4046069,1143142815.3896742,0.6071428571428571,0.48214285714285715,0.6785714285714286,-21729967.553263903,-0.12499999999999994
1,all,ungated_stress,1143142815.3896742,0.24288210755391676,0.6117021276595744,221708953.69442162,571571407.6948371,540090844.8536518,0.6333333333333333,0.6785714285714286,907905044.9578708,886175077.4046069,1143142815.3896742,0.6071428571428571,0.48214285714285715,0.6785714285714286,-21729967.553263903,-0.12499999999999994
1,all,gated_stress,886175077.4046069,0.1882844974085033,0.6170212765957447,246509889.79061028,443087538.70230347,289373738.2594869,0.8181818181818182,0.48214285714285715,907905044.9578708,886175077.4046069,1143142815.3896742,0.6071428571428571,0.48214285714285715,0.6785714285714286,-21729967.553263903,-0.12499999999999994
1,low_risk,baseline,635529011.4842845,0.15211193337852913,0.8055555555555556,196952286.43840232,317764505.74214226,110648446.51017281,0.9166666666666666,0.4782608695652174,635529011.4842845,669638340.1519176,635496782.926606,0.4782608695652174,0.5652173913043478,0.4782608695652174,34109328.66763306,0.08695652173913038
1,low_risk,ungated_stress,635496782.926606,0.15210421957140172,0.8333333333333334,195883716.6838493,317748391.463303,110648446.51017281,0.9166666666666666,0.4782608695652174,635529011.4842845,669638340.1519176,635496782.926606,0.4782608695652174,0.5652173913043478,0.4782608695652174,34109328.66763306,0.08695652173913038
1,low_risk,gated_stress,669638340.1519176,0.1602758973142741,0.8611111111111112,169035280.66789973,334819170.0759588,137242462.88253394,0.8666666666666667,0.5652173913043478,635529011.4842845,669638340.1519176,635496782.926606,0.4782608695652174,0.5652173913043478,0.4782608695652174,34109328.66763306,0.08695652173913038
1,trigger_active,baseline,972415158.1489836,0.20125505174887137,0.5855263157894737,210424646.10847524,486207579.0744918,453988355.3512657,0.7666666666666667,0.696969696969697,972415158.1489836,937460094.1223494,1263374770.4467168,0.696969696969697,0.42424242424242425,0.8181818181818182,-34955064.02663422,-0.27272727272727276
1,trigger_active,ungated_stress,1263374770.4467168,0.2614732531406274,0.5592105263157895,227825457.1969256,631687385.2233584,641800886.5665809,0.5625,0.8181818181818182,972415158.1489836,937460094.1223494,1263374770.4467168,0.696969696969697,0.42424242424242425,0.8181818181818182,-34955064.02663422,-0.27272727272727276
1,trigger_active,gated_stress,937460094.1223494,0.19402060752963843,0.5592105263157895,264859139.31967333,468730047.0611747,325404829.7961337,0.7777777777777778,0.42424242424242425,972415158.1489836,937460094.1223494,1263374770.4467168,0.696969696969697,0.42424242424242425,0.8181818181818182,-34955064.02663422,-0.27272727272727276
3,all,baseline,1042652635.6703142,0.2214442727919853,0.6166666666666667,211261031.22296557,521326317.8351571,518309507.7909084,0.6,0.39622641509433965,1042652635.6703142,1039384937.4351686,1230254753.1550674,0.39622641509433965,0.3018867924528302,0.4716981132075472,-3267698.235145569,-0.09433962264150947
3,all,ungated_stress,1230254753.1550674,0.2612882371760966,0.6055555555555555,221684932.67747837,615127376.5775337,632676261.4185369,0.5681818181818182,0.4716981132075472,1042652635.6703142,1039384937.4351686,1230254753.1550674,0.39622641509433965,0.3018867924528302,0.4716981132075472,-3267698.235145569,-0.09433962264150947
3,all,gated_stress,1039384937.4351686,0.2207502611579762,0.6722222222222223,277573656.8415324,519692468.7175843,468504229.849711,0.5517241379310345,0.3018867924528302,1042652635.6703142,1039384937.4351686,1230254753.1550674,0.39622641509433965,0.3018867924528302,0.4716981132075472,-3267698.235145569,-0.09433962264150947
3,low_risk,baseline,1064665406.7798009,0.26218196177257097,0.8611111111111112,147600663.2041628,532332703.38990045,209288437.74372745,0.875,0.35,1064665406.7798009,1165612623.1879778,1064577773.871716,0.35,0.3,0.35,100947216.4081769,-0.04999999999999999
3,low_risk,ungated_stress,1064577773.871716,0.26216038150180115,0.8611111111111112,147850094.48437443,532288886.935858,209288437.74372745,0.875,0.35,1064665406.7798009,1165612623.1879778,1064577773.871716,0.35,0.3,0.35,100947216.4081769,-0.04999999999999999
3,low_risk,gated_stress,1165612623.1879778,0.28704098232948666,0.9444444444444444,175717124.0207857,582806311.5939889,262368105.89252695,0.46153846153846156,0.3,1064665406.7798009,1165612623.1879778,1064577773.871716,0.35,0.3,0.35,100947216.4081769,-0.04999999999999999
3,trigger_active,baseline,1037149442.8929422,0.21295269235097092,0.5555555555555556,227176123.2276663,518574721.4464711,595564775.3027036,0.5185185185185185,0.42424242424242425,1037149442.8929422,1007828015.996966,1271673997.9759052,0.42424242424242425,0.30303030303030304,0.5454545454545454,-29321426.895976186,-0.12121212121212122
3,trigger_active,ungated_stress,1271673997.9759052,0.26110644277677697,0.5416666666666666,240143642.22575438,635836998.9879526,738523217.3372394,0.5,0.5454545454545454,1037149442.8929422,1007828015.996966,1271673997.9759052,0.42424242424242425,0.30303030303030304,0.5454545454545454,-29321426.895976186,-0.12121212121212122
3,trigger_active,gated_stress,1007828015.996966,0.20693227085447607,0.6041666666666666,303037790.046719,503914007.998483,520038260.83900696,0.625,0.30303030303030304,1037149442.8929422,1007828015.996966,1271673997.9759052,0.42424242424242425,0.30303030303030304,0.5454545454545454,-29321426.895976186,-0.12121212121212122
6,all,baseline,1104498880.050115,0.23572619826595495,0.6785714285714286,221901651.57968494,552249440.0250576,519041281.69659513,0.7297297297297297,0.4909090909090909,1104498880.050115,1093576776.9774857,1250326182.9975102,0.4909090909090909,0.5272727272727272,0.5454545454545454,-10922103.072629452,0.03636363636363632
6,all,ungated_stress,1250326182.9975102,0.2668491956252709,0.6726190476190477,235342050.72646776,625163091.4987551,585593686.8097247,0.6666666666666666,0.5454545454545454,1104498880.050115,1093576776.9774857,1250326182.9975102,0.4909090909090909,0.5272727272727272,0.5454545454545454,-10922103.072629452,0.03636363636363632
6,all,gated_stress,1093576776.9774857,0.2333951630056358,0.625,320569545.8025109,546788388.4887428,453701638.2684317,0.8055555555555556,0.5272727272727272,1104498880.050115,1093576776.9774857,1250326182.9975102,0.4909090909090909,0.5272727272727272,0.5454545454545454,-10922103.072629452,0.03636363636363632
6,low_risk,baseline,1276318903.0779314,0.3102522165229185,0.8055555555555556,261438400.93222794,638159451.5389657,289010117.8011129,0.7272727272727273,0.32,1276318903.0779314,1245428495.8253384,1276258382.3149693,0.32,0.64,0.32,-30890407.25259304,0.32
6,low_risk,ungated_stress,1276258382.3149693,0.3102375049169011,0.8055555555555556,260541459.71394935,638129191.1574847,289010117.8011129,0.7272727272727273,0.32,1276318903.0779314,1245428495.8253384,1276258382.3149693,0.32,0.64,0.32,-30890407.25259304,0.32
6,low_risk,gated_stress,1245428495.8253384,0.30274326457031436,0.7222222222222222,226758795.54654798,622714247.9126692,357083916.0349133,0.7619047619047619,0.64,1276318903.0779314,1245428495.8253384,1276258382.3149693,0.32,0.64,0.32,-30890407.25259304,0.32
6,trigger_active,baseline,1057638873.7698017,0.21845562979026106,0.6439393939393939,211118901.7562641,528819436.88490087,581777053.6680903,0.7307692307692307,0.6333333333333333,1057638873.7698017,1052162671.8371624,1243253765.0018396,0.6333333333333333,0.43333333333333335,0.7333333333333333,-5476201.93263936,-0.19999999999999996
6,trigger_active,ungated_stress,1243253765.0018396,0.25679444180651756,0.6363636363636364,228469484.63897276,621626882.5009198,666480114.7211642,0.6470588235294118,0.7333333333333333,1057638873.7698017,1052162671.8371624,1243253765.0018396,0.6333333333333333,0.43333333333333335,0.7333333333333333,-5476201.93263936,-0.19999999999999996
6,trigger_active,gated_stress,1052162671.8371624,0.2173245186220517,0.5984848484848485,346154295.8723191,526081335.9185812,480051926.1503003,0.8666666666666667,0.43333333333333335,1057638873.7698017,1052162671.8371624,1243253765.0018396,0.6333333333333333,0.43333333333333335,0.7333333333333333,-5476201.93263936,-0.19999999999999996
