forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,segment
2012-02-01,1,12402666704,12542281988.957863,12461227938.541655,train_fitted_2010_2019
2012-03-01,1,14407339029,14162417287.045994,13985914243.285776,train_fitted_2010_2019
2012-04-01,1,12508837271,12534174433.485624,12520783979.796951,train_fitted_2010_2019
2012-05-01,1,13638829321,13540685048.938868,13477992661.069527,train_fitted_2010_2019
2012-06-01,1,13691511869,13647622196.307177,13688517363.121038,train_fitted_2010_2019
2012-07-01,1,13236516471,13251236880.682842,13251697222.1431,train_fitted_2010_2019
2012-08-01,1,13454126348,13395253094.543056,13349397464.689919,train_fitted_2010_2019
2012-09-01,1,13136362011,13111848895.380661,13130329675.91483,train_fitted_2010_2019
2012-10-01,1,13806343142,13611921167.478392,13611068554.092255,train_fitted_2010_2019
2012-11-01,1,12995830345,13031161488.567356,13004204974.203941,train_fitted_2010_2019
2012-12-01,1,12979986874,13003512719.839684,13081865213.28916,train_fitted_2010_2019
2013-01-01,1,13270087181,13263771655.201122,13341005752.46637,train_fitted_2010_2019
2013-02-01,1,12442104437,12395508504.269522,12355932859.710363,train_fitted_2010_2019
2013-03-01,1,13934248352,13750094588.90633,13698969244.408,train_fitted_2010_2019
2013-04-01,1,13877522014,13835805979.336288,13884849994.13181,train_fitted_2010_2019
2013-05-01,1,14885665265,13228171869.972603,13473177735.736267,train_fitted_2010_2019
2013-06-01,1,14063161830,14089561811.765125,14110868265.806135,train_fitted_2010_2019
2013-07-01,1,14890811919,14892119179.61869,14911088267.97184,train_fitted_2010_2019
2013-08-01,1,14526726621,14615565091.945122,14596195397.888582,train_fitted_2010_2019
2013-09-01,1,15218483480,15119947424.329851,14976334596.33765,train_fitted_2010_2019
2013-10-01,1,15160724733,15059804713.060764,15136860029.040976,train_fitted_2010_2019
2013-11-01,1,13704923064,13781864356.003258,13700070325.681309,train_fitted_2010_2019
2013-12-01,1,13322370066,13373861369.685383,13335563086.940474,train_fitted_2010_2019
2014-01-01,1,12042272680,12261114450.764702,12216395155.514168,train_fitted_2010_2019
2014-02-01,1,12129411973,12221805336.350975,12244098655.954096,train_fitted_2010_2019
2014-03-01,1,13642635317,13646343108.1141,13629227851.912113,train_fitted_2010_2019
2014-04-01,1,14739015105,14455674181.294289,14530875769.225191,train_fitted_2010_2019
2014-05-01,1,14441958963,14400851773.830082,14308472651.459911,train_fitted_2010_2019
2014-06-01,1,14131294655,14145291855.207024,14148902558.337954,train_fitted_2010_2019
2014-07-01,1,14115471456,14189995174.60173,14104499558.291042,train_fitted_2010_2019
2014-08-01,1,15314135510,15101640363.274471,15177523478.692415,train_fitted_2010_2019
2014-09-01,1,15311949482,14432730572.252146,14628765563.729214,train_fitted_2010_2019
2014-10-01,1,16135798066,15454157158.255053,15491721106.582989,train_fitted_2010_2019
2014-11-01,1,13401732288,13667478675.02774,13539364848.904297,train_fitted_2010_2019
2014-12-01,1,14489462174,14425413888.50183,14492558500.176456,train_fitted_2010_2019
2015-01-01,1,13320512109,13434193421.077648,13367639962.983246,train_fitted_2010_2019
2015-02-01,1,12147033380,12168228481.005829,12171584223.199287,train_fitted_2010_2019
2015-03-01,1,13640767734,13641939672.50697,13617070776.862833,train_fitted_2010_2019
2015-04-01,1,13846694397,13846957413.245672,13848248006.798336,train_fitted_2010_2019
2015-05-01,1,13586956224,13627593050.709253,13639367174.844261,train_fitted_2010_2019
2015-06-01,1,13610916537,13608907266.060581,13627221449.964937,train_fitted_2010_2019
2015-07-01,1,14322958353,14295965154.980326,14322783881.746044,train_fitted_2010_2019
2015-08-01,1,13125503297,13181001864.802578,13152864063.606731,train_fitted_2010_2019
2015-09-01,1,13861045488,13857488851.009335,13781640550.925129,train_fitted_2010_2019
2015-10-01,1,13554712255,13577876834.63831,13567527945.725674,train_fitted_2010_2019
2015-11-01,1,11855356229,12076538890.7922,12014566914.696018,train_fitted_2010_2019
2015-12-01,1,13581128076,13405092443.18243,13508085104.69035,train_fitted_2010_2019
2016-01-01,1,12456584762,12488368284.184937,12518304358.968792,train_fitted_2010_2019
2016-02-01,1,12005416664,12045515050.92396,12081491225.763302,train_fitted_2010_2019
2016-03-01,1,15882037156,14433577482.113132,13554922464.64356,train_fitted_2010_2019
2016-04-01,1,14256086284,13896007074.18695,13830396219.602198,train_fitted_2010_2019
2016-05-01,1,14436541054,14441221899.782772,14435979964.775526,train_fitted_2010_2019
2016-06-01,1,15024868444,14975736243.982162,14923370683.011435,train_fitted_2010_2019
2016-07-01,1,14551800842,14516569218.461964,14469695608.613802,train_fitted_2010_2019
2016-08-01,1,15153544611,15141890419.344408,15122761390.01629,train_fitted_2010_2019
2016-09-01,1,14511045046,14217363172.117996,14183127111.58574,train_fitted_2010_2019
2016-10-01,1,15428124242,15398562495.335464,15298270696.888475,train_fitted_2010_2019
2016-11-01,1,14306893703,14447401774.019342,14332892583.461248,train_fitted_2010_2019
2016-12-01,1,14995700048,15005381652.516981,15008247493.84827,train_fitted_2010_2019
2017-01-01,1,16015322383,15683140740.14564,15985541402.35345,train_fitted_2010_2019
2017-02-01,1,14640813035,14644643732.27608,14635323844.035858,train_fitted_2010_2019
2017-03-01,1,16666647849,16300884082.378134,16454460651.486288,train_fitted_2010_2019
2017-04-01,1,14313490890,14007653664.002977,14080251618.87976,train_fitted_2010_2019
2017-05-01,1,16206726644,16130120754.347818,16065511134.093473,train_fitted_2010_2019
2017-06-01,1,16221936802,16156695917.797316,16187203358.73375,train_fitted_2010_2019
2017-07-01,1,14538702735,14750329881.42111,14607458189.628939,train_fitted_2010_2019
2017-08-01,1,16321024221,16362506192.745138,16327929779.349998,train_fitted_2010_2019
2017-09-01,1,16528007735,16557368611.272682,16558375793.751495,train_fitted_2010_2019
2017-10-01,1,15792710618,15786191980.944563,15772104913.45184,train_fitted_2010_2019
2017-11-01,1,17919251284,17548715090.734596,17692748688.606205,train_fitted_2010_2019
2017-12-01,1,16555913336,16529583939.365875,16550976689.886581,train_fitted_2010_2019
2018-01-01,1,15792705183,15762872540.291695,15784782731.190401,train_fitted_2010_2019
2018-02-01,1,16027285171,16046030626.336128,16138022962.439522,train_fitted_2010_2019
2018-03-01,1,16269499964,16222287329.157627,16169346160.64997,train_fitted_2010_2019
2018-04-01,1,16735417807,16734275315.634308,16751333912.516594,train_fitted_2010_2019
2018-05-01,1,18659045468,17369670916.93091,17568728908.37378,train_fitted_2010_2019
2018-06-01,1,16734974592,16711442930.051577,16752618778.591408,train_fitted_2010_2019
2018-07-01,1,17091457368,17140320435.788897,17165742819.29255,train_fitted_2010_2019
2018-08-01,1,17662177999,17018963428.674397,17399449786.606613,train_fitted_2010_2019
2018-09-01,1,16163468299,16076697536.707968,16113315655.779518,train_fitted_2010_2019
2018-10-01,1,15018312664,14865507030.617407,14860623877.063702,train_fitted_2010_2019
2018-11-01,1,16089025644,16092505576.28214,16078111756.817766,train_fitted_2010_2019
2018-12-01,1,17686714202,17413670820.030064,17213891989.644264,train_fitted_2010_2019
2019-01-01,1,14564220624,14731034204.969692,14655782813.374231,train_fitted_2010_2019
2019-02-01,1,12938284687,12952969048.409538,12970282773.084732,train_fitted_2010_2019
2019-03-01,1,16715625564,16759554588.505053,16795107310.078716,train_fitted_2010_2019
2019-04-01,1,12718876580,12932002129.740711,12786645346.984632,train_fitted_2010_2019
2019-05-01,1,15572264308,15585306992.0634,15630811620.610268,train_fitted_2010_2019
2019-06-01,1,15266537991,15296271998.050167,15298043276.24792,train_fitted_2010_2019
2019-07-01,1,14621505917,14667301673.942944,14712372904.027628,train_fitted_2010_2019
2019-08-01,1,18700004068,16866738658.558498,16835847599.07241,train_fitted_2010_2019
2019-09-01,1,15128612959,15109511478.287434,15147543260.155727,train_fitted_2010_2019
