forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,module1_q50_calibrated
2012-02-01,1,12402666704.0,12542281988.957865,12461227938.541656,18988575626.0587
2012-03-01,1,14407339029.0,14162417287.045994,13985914243.285776,18996341353.057484
2012-04-01,1,12508837271.0,12534174433.485624,12520783979.796951,18988878964.493683
2012-05-01,1,13638829321.0,13540685048.938868,13477992661.069529,18993754341.99035
2012-06-01,1,13691511869.0,13647622196.307177,13688517363.121038,18994826613.288086
2012-07-01,1,13236516471.0,13251236880.682842,13251697222.1431,18992601745.16154
2012-08-01,1,13454126348.0,13395253094.543056,13349397464.68992,18993099364.513783
2012-09-01,1,13136362011.0,13111848895.38066,13130329675.91483,18991983580.47574
2012-10-01,1,13806343142.0,13611921167.478392,13611068554.092257,18994432141.123272
2012-11-01,1,12995830345.0,13031161488.567356,13004204974.20394,18991341186.038116
2012-12-01,1,12979986874.0,13003512719.839684,13081865213.28916,18991736735.085495
2013-01-01,1,13270087181.0,13263771655.201122,13341005752.46637,18993056622.77341
2013-02-01,1,12442104437.0,12395508504.269522,12355932859.710363,18988039323.716393
2013-03-01,1,13934248352.0,13750094588.90633,13698969244.408,18994879848.144627
2013-04-01,1,13877522014.0,13835805979.336288,13884849994.13181,18995826599.71719
2013-05-01,1,14885665265.0,13228171869.972605,13473177735.736267,18993729817.997746
2013-06-01,1,14063161830.0,14089561811.765123,14110868265.806135,18996977784.84235
2013-07-01,1,14890811919.0,14892119179.61869,14911088267.97184,19001053567.55021
2013-08-01,1,14526726621.0,14615565091.945122,14596195397.888582,18999449714.97062
2013-09-01,1,15218483480.0,15119947424.329851,14976334596.33765,19001385888.48218
2013-10-01,1,15160724733.0,15059804713.060764,15136860029.040976,19002203497.116074
2013-11-01,1,13704923064.0,13781864356.003258,13700070325.681309,18994885456.31238
2013-12-01,1,13322370066.0,13373861369.685385,13335563086.940474,18993028901.494297
2014-01-01,1,12042272680.0,12261114450.764702,12216395155.514168,18987328612.46159
2014-02-01,1,12129411973.0,12221805336.350977,12244098655.954096,18987469715.467934
2014-03-01,1,13642635317.0,13646343108.1141,13629227851.912111,18994524632.377975
2014-04-01,1,14739015105.0,14455674181.294289,14530875769.225191,18999117020.696205
2014-05-01,1,14441958963.0,14400851773.830082,14308472651.459911,18997984248.73461
2014-06-01,1,14131294655.0,14145291855.207024,14148902558.337954,18997171505.95828
2014-07-01,1,14115471456.0,14189995174.60173,14104499558.291042,18996945346.927914
2014-08-01,1,15314135510.0,15101640363.274471,15177523478.692415,19002410609.390804
2014-09-01,1,15311949482.0,14432730572.252146,14628765563.729214,18999615605.49868
2014-10-01,1,16135798066.0,15454157158.255053,15491721106.582989,19004010920.87407
2014-11-01,1,13401732288.0,13667478675.02774,13539364848.904297,18994066930.65502
2014-12-01,1,14489462174.0,14425413888.50183,14492558500.176456,18998921858.288147
2015-01-01,1,13320512109.0,13434193421.077648,13367639962.983246,18993192279.535763
